,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.67,200347.0,5006.9,5.719901784,16.43511983,1
1,1.38,367727.0,2917.35,6.548180151,19.31217377,1
2,3.0,95857.0,1672.09,5.818079697,15.88343968,1
3,0.98,253189.0,2015.24,6.911004819,17.79816382,1
4,1.05,338765.0,1396.38,6.260508311,18.2417577,1
5,2.75,274367.0,3183.82,7.339670866,18.12657313,1
6,2.38,250989.0,1750.92,5.615718835,18.74676849,1
7,1.63,248331.0,1638.06,6.251376961,18.7175156,1
8,2.85,209858.0,2205.25,4.802204604,16.909219,2
9,2.03,254786.0,2931.27,6.586839431,16.99908295,2
10,1.79,234772.0,3659.7,6.336636435,16.04447079,1
11,2.32,187193.0,1802.2,6.255047569,16.87968499,1
12,1.69,262036.0,1818.11,6.179627761,15.86864518,1
13,1.98,195782.0,996.35,6.140041044,18.33397884,0
14,2.43,391127.0,1867.61,5.899331271,16.40661123,1
15,3.33,260335.0,2748.78,5.77633988,17.30976199,2
16,1.87,190538.0,2985.58,6.045945017,16.00567791,1
17,1.33,349463.0,996.35,7.365298385,14.49081435,0
18,2.06,142569.0,2321.14,7.232125271,17.59186237,1
19,0.77,336804.0,3449.73,5.912777788,16.84818993,2
20,0.71,371241.0,1451.08,5.428324983,17.29552278,0
21,1.79,195950.0,1353.45,5.302730456,17.64485062,0
22,1.79,260521.0,1386.31,5.878978848,19.630501,2
23,2.27,254965.0,1732.1,5.600645899,18.83843845,1
24,2.03,251174.0,996.35,5.425863967,19.630501,1
25,1.34,191804.0,1655.03,7.246643452,15.42780318,2
26,1.88,206629.0,1095.18,7.047168023,17.59010505,1
27,2.91,245531.0,4662.83,5.603624922,18.458319,2
28,3.23,228470.0,1956.19,5.455265154,17.98701115,1
29,1.16,253199.0,996.35,7.175421483,18.208117,0
30,1.73,285868.0,1839.63,6.539451967,17.38959227,1
31,0.99,198129.0,996.35,6.093527937,17.93577955,1
32,2.13,236645.0,2244.86,5.89410797,15.25756093,2
33,2.95,198456.0,3433.02,5.068720664,17.49583246,0
34,1.1,130093.0,1025.95,4.662255814,18.29421209,0
35,0.41,212179.0,3901.0,6.331713004,17.93529983,1
36,2.2,191301.0,2023.77,5.998580102,17.6941117,0
37,1.93,238293.0,1707.14,4.900334918,18.13712701,0
38,2.09,339030.0,2043.58,5.625386976,14.52707875,1
39,1.24,143194.0,1965.26,4.951091618,18.3255872,1
40,2.41,210628.0,4183.73,4.894562197,17.05657891,1
41,3.37,79772.0,3279.17,5.613092203,16.29294705,1
42,1.0,209402.0,3038.77,6.612428886,17.25597081,2
43,1.32,245738.0,996.35,5.039677793,17.90887746,0
44,3.15,227826.0,2944.23,4.763379045,16.43490312,1
45,3.42,205459.0,2674.02,3.79232796,15.7209546,1
46,1.67,250924.0,3525.49,6.705268171,17.94186432,1
47,1.81,273577.0,2294.84,5.421679111,18.03759664,1
48,2.34,296096.0,2375.76,5.375942288,18.94500531,1
49,0.8,321414.0,3163.36,4.789613046,16.13894771,2
50,2.51,232623.0,4086.36,5.511461725,19.630501,0
51,1.56,246179.0,1646.16,6.810635707,16.44086443,1
52,2.04,322954.0,996.35,6.25063886,15.18010509,1
53,2.14,218256.0,996.35,6.923517104,17.21143575,2
54,1.68,353933.0,2987.55,5.73592062,15.16326563,2
55,1.25,231083.0,1289.83,6.464998876,15.09746431,1
56,1.75,229920.0,4194.24,5.609505656,17.46451012,1
57,1.63,234397.0,2534.03,5.47115645,17.93267994,1
58,2.66,197381.0,2178.98,8.579391481,17.45192539,1
59,2.14,199499.0,5006.9,5.530210981,16.88520951,1
60,0.61,87418.0,1676.84,5.366864635,16.52195767,1
61,1.74,199646.0,1661.23,5.727140979,15.47135213,1
62,2.16,312551.0,3762.36,6.558220998,16.66829783,0
63,1.75,185650.0,3672.67,7.467217371,18.94269835,1
64,3.42,83448.0,996.35,5.631575345,15.3969235,1
65,0.3,79772.0,2796.65,5.561919148,14.44610304,1
66,1.35,79772.0,3531.68,8.579391481,15.78010427,1
67,1.58,259479.0,4757.74,6.163426922,19.630501,1
68,1.76,379837.0,2070.41,6.138658593,16.87134894,1
