,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,3.39,265034.0,5006.9,8.579391481,17.6597839,0
1,1.52,375868.0,3778.63,7.762951807,18.78270495,1
2,0.76,215209.0,3137.31,4.994940023,18.558129,1
3,2.1,322620.0,2155.75,5.598212143,18.46902844,2
4,1.97,322261.0,2315.36,6.846802999,17.14184105,2
5,2.54,242220.0,2564.19,4.524578226,18.3799749,0
6,2.9,266087.0,3115.16,6.610851708,17.20777892,0
7,1.24,402811.0,2344.54,5.123814162,17.65548176,2
8,3.39,228235.0,1542.71,5.244819993,19.08972973,0
9,2.98,216650.0,863.26,5.213083226,15.93439372,2
10,0.75,130102.0,2225.51,5.629514282,17.19673081,0
11,3.07,129208.0,1745.88,4.87544044,18.51987971,0
12,0.8,211851.0,2782.64,6.18149678,17.16819432,1
13,2.39,295234.0,2394.97,5.328544519,16.90202666,0
14,3.39,79780.0,3077.51,3.517326142,17.44791427,1
15,1.58,309930.0,4192.52,7.393081221,16.62742628,1
16,2.58,344778.0,3047.24,6.78761582,16.91698906,0
17,1.44,273969.0,1785.97,8.579391481,17.46993611,1
18,2.78,155047.0,4334.36,3.253768116,17.58735184,0
19,1.31,327467.0,2457.91,5.635408052,18.30531322,0
20,1.65,250184.0,2752.97,7.405468791,18.40237411,1
21,2.72,311849.0,2738.17,5.177789259,17.39235135,1
22,3.39,304918.0,933.57,6.754039573,16.7588609,0
23,2.97,256283.0,3444.05,4.437278746,17.87122432,0
24,3.39,78065.0,1950.85,4.437743899,17.15566541,1
25,1.5,332078.0,1275.85,6.0826356,17.65321556,1
26,1.69,210396.0,2964.76,4.830430779,17.15422512,2
27,2.64,327949.0,1692.65,5.640397122,17.01805912,0
28,1.79,323254.0,924.36,6.037789717,16.19514565,1
29,1.59,132334.0,1591.21,7.341253674,16.50712722,0
30,1.58,189651.0,1755.5,4.1546599,15.97019786,1
31,0.38,321186.0,5006.9,5.528850912,16.65450828,2
32,2.63,307684.0,1053.19,5.617894287,16.22095083,2
33,3.39,324526.0,4822.32,7.341559816,17.15021383,0
34,2.68,314980.0,3003.89,5.311524145,16.96131896,1
35,1.19,410796.0,1733.9,5.450856205,17.72331121,2
36,1.34,260215.0,3092.82,6.12754176,16.98371591,0
37,2.05,277377.0,2508.03,4.656838226,19.08972973,2
38,2.26,337071.0,3456.86,4.897396982,19.08972973,2
39,2.86,385832.0,3176.71,5.6199354,16.52825875,0
40,1.12,216274.0,1686.2,7.664556957,17.3481321,2
41,1.79,148191.0,1641.58,5.607750259,17.52970117,2
42,1.99,413203.0,4686.32,6.733235794,18.1589618,0
43,1.27,296191.0,1000.32,5.860930527,19.08972973,0
44,2.04,248009.0,1475.0,5.886082557,16.83349786,0
45,3.05,469473.0,2462.13,5.126849402,17.61933287,0
46,1.13,302060.0,2202.15,6.296750011,17.57103884,1
47,2.1,305859.0,2749.09,7.085491293,16.784539,0
48,1.95,418860.0,4992.91,4.761706075,17.94007665,1
49,1.69,322429.0,2255.1,8.579391481,19.08972973,1
50,1.83,332391.0,4952.88,5.925952063,17.98570025,1
51,0.29,469473.0,2618.74,6.659253172,18.38907017,1
52,2.43,221859.0,1864.95,4.690079682,18.20274145,1
53,3.39,393005.0,2735.14,4.436670021,17.30271975,1
54,2.93,469473.0,1917.16,4.927797036,16.45258876,1
55,3.38,449089.0,3015.23,4.34071051,15.96265948,0
56,2.98,392110.0,1109.53,6.129454645,16.52874233,0
57,1.26,198914.0,1833.37,4.952402383,18.85195429,1
58,2.07,405944.0,4078.2,5.673693622,16.09488512,0
59,2.27,240091.0,5006.9,4.802236897,16.62702189,0
60,1.21,344907.0,5006.9,6.300844213,18.85823036,0
61,2.21,337046.0,2865.44,5.384683971,16.59985039,2
62,1.45,188509.0,5006.9,4.345438077,18.55213405,0
63,0.4,193813.0,3704.54,3.857199609,17.54357943,1
64,2.87,279425.0,3645.44,6.533955726,18.70486987,0
65,1.98,78065.0,620.61,5.210964344,16.60126373,1
66,1.39,264899.0,2179.21,4.014216174,17.38864212,1
67,1.43,266378.0,3904.09,5.481760932,18.67882486,1
68,2.98,98566.0,1678.42,7.614836839,17.25519415,0
69,1.14,432778.0,2351.66,5.685837211,16.69432088,1
70,1.27,329546.0,2437.92,5.738912941,17.7752695,2
71,1.47,329131.0,4710.81,6.446250066,18.17922019,2
72,1.08,235322.0,1228.43,5.770451531,16.04262959,2
73,2.56,206968.0,4702.28,7.669258779,18.03445066,2
