,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.11,154246.0,1139.75,2.91617061,15.0897779
1,0.77,129972.0,1485.23,3.941898393,16.93017956
2,2.25,236157.0,1335.57,3.116043589,15.08255393
3,2.5,334515.0,2840.99,5.070911309,16.0738444
4,2.33,120875.0,1351.02,4.057895968,14.76270715
5,1.06,272576.0,2046.88,4.594858726,16.10943508
6,1.43,229181.0,1882.5,5.644872987,16.5469096
7,1.63,260611.0,3603.07,5.623855598,16.51646465
8,2.24,255304.0,1905.26,5.418938358,16.27006656
9,1.96,354758.0,2360.75,3.103529473,15.02582188
10,1.13,261809.0,3171.36,7.018414976,17.54298655
11,0.75,165884.0,1475.8,7.760928692,18.82662024
12,1.3,252883.0,2786.07,6.671367894,17.8266221
13,1.26,135260.0,892.57,4.904818153,17.24621649
14,0.58,368887.0,2432.25,2.513590352,12.79755588
15,0.27,156759.0,1638.25,4.045405708,16.40624679
16,1.23,263418.0,1882.63,2.842550614,14.44058
17,2.41,146429.0,1048.32,4.803169774,16.96452905
18,1.86,243760.0,2353.08,2.835122911,15.22352514
19,1.18,239189.0,1537.11,0.274730605,12.84914489
20,1.66,142123.0,1848.59,5.434301377,17.95795415
21,1.31,354846.0,2325.0,2.965928037,15.35660598
22,1.54,341087.0,1714.97,1.704887747,14.85862384
23,1.74,257724.0,1537.81,2.874263917,14.66944374
24,0.62,177639.0,2208.87,6.419217561,17.84378979
25,1.22,330681.0,4019.36,6.278752334,16.53910265
26,1.8,142470.0,1526.29,6.384346955,17.06931353
27,1.03,254935.0,1385.87,0.764083418,12.99639247
28,1.44,253139.0,1768.19,2.966775835,13.23420914
29,0.94,357373.0,2274.25,1.617193381,12.75217195
30,1.3,357319.0,2374.82,1.09677936,12.87467347
31,2.33,128157.0,1982.08,6.440899237,17.39105574
32,1.5,274328.0,2578.02,6.266404436,18.16947214
33,1.23,359432.0,1687.94,1.541067747,13.43417555
34,2.11,116725.0,777.83,3.653420634,15.1156551
35,1.28,259186.0,1428.51,1.472440283,13.57022124
36,1.11,357275.0,2729.5,1.321715528,14.79548678
37,1.24,157496.0,613.89,7.807415084,18.14345306
38,0.77,279027.0,2615.21,3.612609657,16.09446102
39,1.92,253544.0,1679.29,3.64558407,15.93628845
40,1.37,132654.0,965.39,1.120596296,12.86696319
41,1.43,229275.0,2557.64,5.814033211,16.98105583
42,0.82,265214.0,1557.37,2.862560426,14.44862887
43,1.08,155803.0,865.13,3.137555185,14.84993066
44,1.34,147178.0,1482.63,-0.326393035,12.42464379
45,1.77,256678.0,1729.49,4.011816751,16.45338845
46,1.53,162363.0,2253.54,6.821542233,16.70249077
47,1.06,249826.0,2110.01,6.570121056,18.53607057
48,1.12,371346.0,2763.58,6.719537756,17.32035742
49,1.63,156040.0,1473.47,5.764083366,17.13738116
50,1.37,369409.0,1777.78,2.864304213,15.29424275
51,1.23,365921.0,2180.57,1.916552757,13.05915117
52,1.46,370681.0,2840.67,6.558185239,17.18676184
53,2.66,155373.0,1619.78,4.665749777,16.25959114
54,0.71,151836.0,1753.67,3.048676796,15.86134714
55,1.37,260460.0,1857.4,6.612986519,17.34678296
56,1.34,130490.0,641.55,2.497843466,14.00671129
57,0.94,355514.0,2464.12,2.184054375,12.74152335
58,1.49,254998.0,1266.61,0.838713264,13.55677783
59,1.77,140860.0,1805.56,5.505250157,16.7068882
60,2.6,233521.0,1524.13,3.669511562,15.92319291
