,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.26,260975.0,1920.7,2.298477863,15.47129862
1,1.47,229105.0,1445.89,1.76290633,13.01154832
2,1.61,345353.0,2552.18,6.042367849,16.81568817
3,1.66,251258.0,1379.82,1.498413661,13.71693146
4,2.48,280491.0,2894.0,3.855733906,15.55475964
5,1.67,135764.0,820.32,6.645242784,17.93316241
6,1.78,142598.0,2114.96,7.731295211,18.51884817
7,0.79,167647.0,1066.58,7.318038324,18.80998864
8,1.63,246963.0,1668.79,1.148792636,13.35620633
9,1.23,144177.0,884.4,3.35988317,15.68569706
10,0.81,366918.0,1799.75,1.101034994,13.20780503
11,1.45,262493.0,1882.02,1.497176319,13.06012915
12,0.51,156497.0,1098.24,3.47741015,15.75104915
13,2.2,361290.0,2170.18,1.279528012,13.27795619
14,1.44,247977.0,1698.3,6.050931973,16.71805514
15,2.19,359132.0,2241.41,5.791476052,16.46504929
16,1.33,272754.0,1406.6,3.992892767,15.99742556
17,1.61,145429.0,1118.49,6.364059546,17.58390977
18,0.9,358107.0,2203.54,0.807035138,11.91648204
19,0.6,142818.0,1241.54,1.939755563,15.33090479
20,2.64,341110.0,2120.66,3.98947277,15.61320954
21,0.81,271424.0,1913.51,5.463770997,16.6996682
22,1.53,258457.0,1773.25,5.111752711,16.6578184
23,1.85,143693.0,906.7,7.432468396,17.77479924
24,1.25,144785.0,979.15,6.093759674,17.22672553
25,3.09,364530.0,2209.75,3.344819415,15.5139309
26,0.71,362712.0,1645.07,0.845535613,14.1845642
27,0.66,142020.0,647.71,1.30282518,15.30609447
28,1.1,264834.0,1835.85,1.608415758,13.6524263
29,1.39,130245.0,1083.56,2.711608533,15.20851947
30,2.07,133990.0,1311.44,3.136469044,15.75151345
31,1.68,147430.0,1279.65,5.579141497,18.77840979
32,1.31,146090.0,932.13,1.5689326,15.26218598
33,1.57,365395.0,2012.39,1.471566916,12.570698
34,1.74,144530.0,1471.2,6.662502786,17.85681408
35,1.22,245324.0,1516.84,1.591521174,12.92473337
36,1.69,259759.0,2453.4,5.97359806,17.1307227
37,2.07,350180.0,2845.99,5.674830701,16.27558738
38,1.28,127315.0,728.99,3.541733176,15.64794392
39,2.51,140781.0,955.64,3.135825756,15.68970421
40,0.74,247560.0,1415.78,1.508575482,13.21321206
41,0.37,146938.0,1128.26,3.660198,16.03161724
42,2.66,131791.0,911.52,4.427333866,16.99283039
43,1.72,138156.0,906.67,1.406110611,13.52725307
44,0.91,283318.0,2246.61,3.705737824,17.14814719
45,1.04,376950.0,2662.85,4.481970954,16.53288655
46,1.16,382446.0,1946.63,2.342038881,13.76178248
