,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.23,1220,383516.0,3641.25,6.787815741,16.98570507
1,2.56,397,126898.0,1109.19,3.628017616,15.70495767
2,1.8,422,132411.0,868.2,5.926468958,17.2683185
3,1.03,482,151097.0,690.98,2.726515189,15.45963225
4,1.82,815,255183.0,1690.45,1.625554423,15.74100615
5,2.31,767,246016.0,2498.24,5.452428444,16.36113868
6,3.37,832,362211.0,2003.1,2.276358516,14.89532649
7,0.97,1183,380753.0,2258.79,3.22697133,15.19497713
8,2.96,1141,358791.0,1815.41,1.981383733,13.86555114
9,2.85,802,299081.0,1974.78,6.645556738,16.2431123
10,2.62,383,115099.0,667.16,2.998611993,15.56758269
11,1.99,748,239113.0,935.62,1.485555554,15.28350424
12,0.69,1182,375637.0,2567.98,3.965486524,15.98174704
13,1.88,759,245938.0,1652.45,3.219742887,15.10089402
14,1.71,784,251011.0,1047.38,0.771505241,15.83339975
15,1.2,1092,265355.0,2745.95,6.838454789,18.10555443
16,0.84,1219,385815.0,4363.89,6.153598591,17.80973363
17,1.13,838,268670.0,1991.42,3.841066369,16.35783916
18,0.89,892,272785.0,2599.89,7.269397954,18.10019553
19,2.37,410,129929.0,1154.75,1.917918276,15.40137001
20,1.8,1126,352801.0,1802.95,1.902925549,15.51255162
21,1.5,403,127422.0,812.56,2.581995184,15.79164099
22,1.07,492,151601.0,1416.44,4.642944394,16.29129781
23,2.56,786,232463.0,2031.63,6.663774491,16.08994973
24,2.31,452,155796.0,1172.9,6.880605,16.82423773
25,3.7,1135,353166.0,2310.35,2.096489475,15.71093641
26,4.09,1138,251010.0,2151.94,1.912576093,14.69420566
27,1.95,778,246153.0,3033.76,4.971855708,15.55296102
28,1.28,452,149373.0,1251.66,2.74157621,15.66997326
29,0.87,782,354698.0,2571.93,5.828402587,16.38847892
30,1.81,831,259748.0,2336.14,6.315153084,16.92394981
31,2.82,729,118504.0,1395.69,2.103722352,15.5724309
32,1.89,459,148235.0,953.97,2.4362124,15.52147614
33,0.65,858,268671.0,1797.67,3.236548856,16.15634474
34,1.55,458,133760.0,1753.78,6.296630124,17.60092523
35,0.94,1158,367800.0,3444.94,5.162531755,16.75931724
36,1.28,468,159228.0,1932.87,4.42904703,16.58934144
37,1.06,475,138799.0,1233.86,8.434600145,18.66646953
38,2.79,781,124071.0,1579.55,3.031950448,15.17003049
