,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.88,233373.0,2475.43,5.88008651,17.22540433,1
1,2.66,236922.0,2340.36,4.90088012,16.15429769,2
2,2.52,230502.0,2561.1,4.79483111,15.28070364,2
3,2.34,251992.0,2334.19,4.746258663,14.94833422,2
4,1.45,263728.0,2700.49,6.048398713,17.3006365,1
5,1.39,242657.0,2465.18,6.894434023,17.05616532,1
6,1.2,147323.0,2240.75,6.643227507,17.8771229,1
7,2.13,116157.0,1210.24,5.674804747,15.76081456,1
8,1.37,147304.0,2339.95,5.983554771,18.18446732,1
9,1.47,251137.0,2302.24,5.817580958,15.63670635,1
10,1.63,230873.0,2407.71,5.175105605,15.71808414,1
11,1.1,133075.0,1601.64,6.955272636,18.70878352,1
12,0.72,381963.0,4924.9,6.960904755,16.97477396,0
13,2.75,142682.0,1187.36,4.5454539,15.61842689,2
14,1.62,240321.0,2759.19,4.219235653,15.47067167,1
15,1.48,357912.0,3491.11,5.532465888,16.3380257,1
16,1.19,244627.0,2348.93,6.358321855,16.69087941,1
17,2.0,408673.0,4306.83,4.915470997,15.94228018,1
18,0.93,399452.0,3946.39,5.442509773,17.42683929,0
19,0.82,245492.0,3777.32,6.229809149,17.18225611,1
20,1.35,164194.0,1373.31,6.717657202,16.80784391,1
21,1.87,136753.0,1360.41,4.69932527,15.52118679,1
22,1.44,233282.0,1651.25,4.476000288,15.79880871,1
23,1.64,122824.0,1313.19,4.740180455,15.60389008,1
24,1.09,140334.0,2424.16,6.811091167,17.12303285,0
25,1.4,128818.0,1186.34,3.904706409,14.91527765,1
26,1.11,287431.0,3683.86,6.039508176,17.11717361,0
27,0.9,347789.0,3365.5,5.356745806,16.0670721,0
28,2.27,228188.0,2355.11,4.467631025,15.50225745,2
29,1.19,358802.0,3589.92,5.264377521,15.71092844,1
30,0.69,339170.0,3574.88,5.980105086,16.6996759,1
31,2.23,256860.0,2248.03,5.494624187,15.81064121,1
32,1.24,278816.0,2735.93,5.822530428,17.87213586,1
33,2.48,232193.0,3414.94,4.476358156,15.68962137,2
34,1.64,229104.0,2208.34,4.290842502,15.65326543,2
35,0.76,381765.0,3636.2,6.486051398,16.20294971,0
36,2.62,248409.0,2258.02,4.922040426,15.47497074,2
37,2.11,144337.0,2289.97,5.346658741,16.15198225,2
38,1.04,256626.0,2567.74,5.715398024,16.48474776,1
39,2.23,114970.0,1203.6,4.325552841,15.16133578,2
40,1.49,151850.0,2360.06,6.056334096,16.62213097,1
41,1.17,253507.0,2537.68,6.624458346,17.1210858,0
42,0.81,298089.0,2373.04,6.985496992,17.25212882,0
43,1.69,254942.0,2436.39,6.595048942,17.20666823,1
44,1.69,251106.0,2481.13,5.57860623,16.29609526,1
45,2.09,104281.0,1525.45,6.180317649,15.82262611,2
46,1.26,242086.0,2070.04,5.826107695,15.411686,1
47,0.74,355541.0,3519.93,6.18229725,16.75181676,0
48,2.45,135626.0,996.35,4.309152241,15.35428977,2
49,2.19,133647.0,1146.23,5.231792829,16.25719032,2
50,0.98,298056.0,2696.46,6.34643989,17.50507742,1
51,1.77,259597.0,2555.7,7.113419834,17.3266438,1
52,1.49,256999.0,2700.66,5.723605853,17.44543388,1
53,1.64,143322.0,1442.79,6.506195607,16.99458045,1
54,1.23,362076.0,4514.57,5.853926428,16.0582679,1
55,0.57,158034.0,4358.96,6.883091801,18.57836598,0
56,0.69,418439.0,5006.9,3.775774278,17.65080189,0
57,0.85,305948.0,2434.62,6.304464342,16.2739397,0
58,1.45,160911.0,1474.71,6.617131626,17.19128658,1
59,2.49,353641.0,3342.05,4.753853524,15.36461667,2
60,0.8,327518.0,4284.37,5.737387224,17.21780281,0
61,1.13,397693.0,3366.85,5.439243982,16.27155534,1
62,1.26,238737.0,2560.1,6.063627623,16.73847764,1
63,0.8,273423.0,2747.44,7.033694951,17.85756007,0
64,0.87,280457.0,3011.75,6.446979396,17.35752954,0
65,1.06,358631.0,3559.58,5.527842044,15.95133408,1
66,2.13,236805.0,2386.89,4.921274225,16.27692235,2
67,2.51,245411.0,2265.56,4.453022565,16.14043221,2
68,0.88,124643.0,2641.13,6.478306204,17.97968871,1
69,1.29,242135.0,2517.7,6.408820487,16.83467149,0
70,1.9,243031.0,2656.61,4.783493445,15.01793155,2
71,1.37,229097.0,2585.06,5.847646126,15.41420254,1
72,1.41,265290.0,3692.09,5.703678685,16.91873081,1
73,2.43,154562.0,2510.26,6.289978311,16.32368305,2
74,2.13,137340.0,1437.19,6.33146716,17.11275798,1
75,1.63,253924.0,2368.98,5.730735435,17.19123466,1
76,1.06,286011.0,3651.92,6.755081026,17.77245645,0
77,2.46,99689.0,2179.65,5.16932206,16.72581411,2
78,2.44,241632.0,2598.29,5.637795405,16.43826396,2
79,1.78,141913.0,2349.16,4.169529506,16.22188381,2
80,0.6,146678.0,1652.0,8.523342239,18.76083322,0
81,1.72,135410.0,1288.9,5.80209107,16.30559354,1
82,1.88,135334.0,1253.23,6.189094265,16.80344428,1
83,1.74,254118.0,2577.13,6.247466168,17.18229536,1
84,2.85,363522.0,3354.11,4.525758592,14.93584045,1
85,0.81,241336.0,2314.29,5.194994861,15.93483303,0
86,2.64,150350.0,1192.07,6.317839421,18.04416535,1
87,2.39,136236.0,1217.91,4.132948381,15.78573033,2
88,2.59,206196.0,2054.1,3.417953615,15.67729978,2
89,2.07,389443.0,3279.56,4.348256232,16.04593974,2
90,2.2,239334.0,2364.59,5.839346088,15.73965358,1
91,2.38,242303.0,2362.99,4.070888998,15.19550268,2
92,2.2,80141.0,996.35,3.601089952,15.13361858,2
93,2.32,138495.0,2574.26,6.381451692,16.28873373,1
94,2.85,255096.0,2314.51,5.615688512,16.08222475,2
95,0.99,396039.0,3356.72,5.504317783,16.84981774,0
96,3.07,129931.0,1150.63,4.329151127,15.37192041,2
97,1.66,255689.0,3477.75,4.460245724,17.67997605,1
98,1.61,227136.0,3456.6,5.470782697,15.27998526,1
99,0.94,277830.0,2710.58,6.440069265,17.66068849,0
100,2.39,254963.0,2359.63,5.266557484,15.48516829,2
101,1.37,236027.0,1930.35,6.259023639,16.8245488,1
102,1.14,136295.0,2540.58,5.918872159,16.21296375,1
103,0.65,161314.0,1272.19,6.73215863,19.00638557,0
104,1.72,374057.0,3177.12,4.412978186,15.22940527,1
105,2.79,121037.0,1250.71,5.898681057,16.09458921,2
106,1.64,257075.0,2597.39,5.003529905,16.05418349,1
107,1.22,267917.0,2386.16,6.392949043,17.6550852,1
108,0.87,398842.0,3968.39,5.805999515,17.15037499,0
109,2.09,368684.0,3307.73,5.285899578,16.58224302,2
110,1.43,278882.0,2315.74,6.064859118,16.97714712,1
111,2.55,221134.0,2043.98,4.33634076,16.17833701,2
112,2.35,261641.0,2558.94,4.183268242,15.73672885,2
113,1.55,266524.0,2602.67,4.800465686,16.09792325,1
114,1.21,276163.0,2504.39,6.936275257,17.08558748,1
115,1.85,249129.0,2463.72,6.62929627,17.18145744,1
116,2.65,118613.0,1283.44,4.951660488,15.491926,2
117,0.9,277553.0,2797.77,7.196405178,18.95393839,0
118,2.62,283058.0,2506.65,5.491717123,16.30610889,2
119,1.76,342383.0,3468.01,4.758113593,16.14915526,1
120,0.93,270873.0,2751.73,7.083168034,17.21646672,0
121,1.13,255594.0,2472.9,6.384628254,17.61944319,1
122,0.85,262821.0,2541.86,6.375604366,17.74502963,1
123,0.94,261007.0,2587.4,3.754423616,17.29767384,1
124,1.53,260136.0,2323.83,6.424975759,17.02074798,1
125,0.73,398292.0,3536.36,6.50469846,16.35795858,1
126,2.17,232620.0,2481.18,4.000164457,15.66666537,2
127,2.29,261172.0,2286.79,5.501254054,16.1579901,2
128,0.87,342386.0,3560.16,5.170785936,16.20092274,1
129,1.53,337862.0,3469.5,5.005733782,15.47661432,1
130,2.68,246366.0,2560.48,3.253768116,15.51260953,2
131,2.66,95784.0,1187.5,4.334574446,15.61573803,2
132,1.34,357234.0,3710.42,5.802311937,16.08294985,0
133,2.82,136417.0,2414.58,4.287315172,16.64970579,2
134,0.91,269033.0,2411.7,6.38028572,16.494028,0
135,1.97,266570.0,2494.82,5.789777312,16.70105848,1
136,0.89,251085.0,2697.27,5.856790041,17.1957869,1
137,1.77,218904.0,2257.42,4.454880367,16.04642497,1
138,1.58,348469.0,3883.9,4.734441257,15.03798792,1
139,0.67,132375.0,1328.33,6.619808545,18.3389482,1
140,2.57,207038.0,2549.57,4.361321825,15.79844367,2
141,1.71,246317.0,2052.47,5.620404674,16.31599247,1
142,1.72,254682.0,2483.08,6.501124102,15.63041947,1
143,1.63,138309.0,1278.88,5.720197402,16.04813872,1
144,1.17,151289.0,2003.35,6.677562185,17.44985909,0
145,0.94,370012.0,3722.57,5.950899743,16.97221433,0
146,2.37,123507.0,996.35,5.35105075,16.59000203,2
147,1.53,259128.0,2296.17,5.829145225,15.96494954,1
148,0.75,149979.0,1550.44,7.770949107,18.36113976,1
149,1.44,79772.0,2211.17,4.515679611,15.82324341,1
150,2.86,368736.0,3376.48,4.384657456,15.46480208,2
151,1.09,136044.0,1769.83,6.886419266,17.94092879,1
152,1.25,127663.0,2328.52,6.060867276,17.73345399,1
153,1.04,323888.0,3657.1,4.422318893,15.96164885,1
154,1.88,243496.0,2162.93,5.384856079,16.29745609,1
155,2.05,119617.0,2612.1,6.070621639,16.05197751,1
156,1.36,351986.0,3689.21,5.043320978,16.56760527,1
157,1.55,248271.0,2307.4,4.376052707,15.6972818,1
158,1.89,247600.0,2139.19,4.142500548,15.05054513,2
159,0.8,279857.0,2809.0,6.658373105,16.55507002,0
160,2.33,253272.0,3536.04,4.93014302,15.1792827,2
161,1.87,269604.0,2274.7,6.520930599,16.73078911,1
162,0.62,245657.0,2958.86,6.614376325,17.5805527,0
163,1.48,228535.0,2650.17,6.252267522,16.2680627,1
164,1.87,260105.0,2662.42,4.83898989,18.80631508,1
165,0.93,132637.0,1644.1,6.942622022,19.630501,1
166,2.0,105075.0,1396.28,5.007663086,17.67039282,1
167,1.12,234450.0,2398.84,4.880017633,17.97973259,1
168,1.04,143349.0,2169.38,6.655731308,17.44369783,1
169,0.88,140508.0,2086.6,6.595598886,18.35897917,0
170,0.81,274717.0,3779.14,6.821490436,16.86038801,0
171,1.47,266148.0,2503.38,5.860859718,16.86928422,1
172,1.6,271494.0,2540.4,6.690963517,16.8058136,1
173,2.47,263586.0,2209.03,5.684422072,16.69037093,2
174,2.28,112836.0,2251.23,4.479156931,15.69857808,1
175,1.65,265555.0,3619.26,5.998853981,17.07042959,1
176,1.09,279418.0,2760.76,6.196326186,17.25373034,0
177,1.62,147121.0,1167.37,5.98239323,16.0142324,1
178,0.83,137896.0,2181.04,6.732998,16.99777289,0
179,0.89,352998.0,3647.72,5.60634997,16.2575122,1
180,1.26,273430.0,2597.57,5.282994506,17.47940545,1
181,1.49,379625.0,3171.65,5.447226359,16.10217537,1
182,2.1,163112.0,3118.08,5.000709962,16.90367818,2
183,0.97,385008.0,3533.64,5.045474708,16.09201962,1
184,0.79,266779.0,2562.04,6.517926312,17.31792501,0
185,2.01,271621.0,3472.84,4.774635814,15.87275576,1
186,0.88,377808.0,3267.58,5.624682724,17.12339798,0
187,1.16,151224.0,1774.93,6.617740137,16.55943523,1
188,0.52,285868.0,2569.94,6.26270765,17.02545497,0
189,1.77,158767.0,1605.66,6.232860313,15.91887094,2
190,1.82,227659.0,2320.52,4.877761682,15.31575387,1
191,1.66,225781.0,2486.86,4.818620283,17.05757674,1
192,0.31,267006.0,2533.58,6.8388724,18.04254396,0
193,1.44,162952.0,2134.05,7.260547906,17.19058612,1
194,1.72,250581.0,2448.55,6.753984149,17.2523415,1
195,1.67,145256.0,1516.75,6.915569236,16.9773911,1
196,0.44,374062.0,3788.5,6.493526979,17.28040273,0
197,1.62,160818.0,1319.28,5.397072059,17.65835769,1
198,2.61,237824.0,2246.82,4.386174057,15.3444734,2
199,2.93,127234.0,1318.38,5.979482108,15.86827147,2
200,0.96,263079.0,2697.48,6.418708925,16.40797949,1
201,2.16,94355.0,1620.71,4.988023821,15.27045726,2
202,1.15,271677.0,2495.76,5.928639683,16.77084115,1
203,1.87,251167.0,2467.12,4.405819956,15.48101416,1
204,1.52,117442.0,1124.59,5.417323927,17.39668891,1
205,1.73,225396.0,2390.64,4.695102105,16.83821494,1
206,2.18,339942.0,3409.95,4.331395487,15.27094912,2
207,0.95,383598.0,3318.12,5.800672939,17.41306864,0
208,2.54,145028.0,2609.21,4.643244182,16.21199681,2
209,1.14,243327.0,2732.13,5.941070059,17.25502349,1
210,2.51,265563.0,2683.56,5.963557658,15.87271307,2
211,1.1,386586.0,5006.9,4.665939322,15.72948825,0
212,2.32,142031.0,1177.42,4.875585215,15.54355711,2
213,0.61,461400.0,4978.68,7.003974171,17.11312398,0
214,1.06,242351.0,2340.86,4.699882111,17.93331943,1
215,2.11,138979.0,1734.33,6.367318606,14.77968557,2
216,0.6,365548.0,4006.97,6.103806117,17.11582859,0
217,0.87,347055.0,3789.59,5.325127719,16.24976389,1
218,1.01,359189.0,3650.22,4.216356702,15.20018208,0
219,1.54,261167.0,2018.94,5.381411363,16.24018718,1
220,1.06,243998.0,2192.54,5.556516938,17.39986215,1
221,2.51,241462.0,2314.59,6.168671444,16.71396059,2
