,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.11,334181.0,2567.82,6.452390893,17.15954816,1
1,1.31,161809.0,982.46,6.011703807,18.37428287,1
2,1.13,124098.0,1086.88,6.134719806,16.28063751,1
3,2.37,249334.0,2727.42,6.546374481,16.04765209,2
4,3.37,110357.0,1767.47,6.368920788,17.38414181,1
5,1.2,306871.0,3439.2,6.602964898,16.89736574,1
6,0.91,358567.0,2786.8,6.794201146,17.31044876,0
7,0.23,395632.0,2816.46,6.042799054,17.25543703,0
8,2.21,123125.0,902.26,4.745673813,15.24836286,2
9,2.52,122688.0,2038.94,6.411336634,17.26821531,2
10,2.3,115231.0,2157.62,6.997867687,17.24025995,1
11,0.59,261459.0,2826.86,6.736179858,16.95765387,1
12,2.76,228432.0,2557.61,6.65202441,17.81467017,1
13,1.72,248744.0,2046.31,6.199629573,17.90029449,2
14,1.18,375335.0,2904.24,3.551616358,16.96491006,1
15,0.37,398233.0,3130.7,6.166140301,17.13315548,1
16,1.72,339674.0,4304.88,6.433049496,16.47903082,1
17,2.11,268243.0,1448.23,5.968909142,15.87989965,2
18,1.13,118323.0,745.01,7.192326057,17.93963032,1
19,1.85,150968.0,1717.26,6.003660574,16.17601559,2
20,0.81,323411.0,2943.87,6.068188509,16.86923613,1
21,3.39,225609.0,1970.36,4.778290791,15.7297274,2
22,1.8,299221.0,3397.76,6.31488743,16.10959235,2
23,2.35,224464.0,1570.67,6.241310502,17.10474727,2
24,1.26,358828.0,3233.51,5.498855531,16.24676894,1
25,2.63,251508.0,2145.0,6.471656667,17.15176972,2
26,2.6,278309.0,3115.13,5.987762404,15.9334306,2
27,0.74,272125.0,2216.08,5.978023216,16.86437295,0
28,2.0,295447.0,1604.96,6.46714257,16.50724272,1
29,0.69,97111.0,1853.02,5.987239533,16.69324045,1
30,1.46,114067.0,1219.1,5.573818266,17.05976138,1
31,1.38,183348.0,2008.66,5.913255716,17.46864396,1
32,2.41,119913.0,1677.64,6.89054249,17.3959971,2
