,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,2.07,196944.0,2778.3,4.029086411,19.630501,1
1,2.79,350468.0,2881.91,4.360016677,17.46445865,2
2,2.85,220947.0,3245.94,3.642574278,15.99262808,2
3,1.9,186557.0,3137.66,4.652334714,17.82708218,0
4,1.52,163302.0,3828.11,5.508959685,18.49257537,1
5,1.51,223759.0,2020.23,3.778751462,15.87780141,2
6,1.69,353008.0,2467.58,5.767277776,16.93490334,2
7,2.34,398401.0,3832.34,3.555392857,19.630501,2
8,1.96,398401.0,2569.95,6.404785415,17.33347919,1
9,1.4,382178.0,3485.07,3.555392857,18.02495972,1
10,1.85,216514.0,3633.24,3.555392857,17.25611404,2
11,1.87,308167.0,3832.34,4.945693373,17.22554976,1
12,1.9,392407.0,2110.66,5.008722793,14.09046429,2
13,1.1,185189.0,3832.34,6.361832895,15.86773298,1
14,3.27,171235.0,3409.05,5.575669365,18.65567228,2
15,2.52,155990.0,2197.05,3.939185383,17.58088054,2
16,1.78,184303.0,2822.14,4.28982424,15.87871891,2
17,0.61,166291.0,1616.8,4.301618763,19.630501,1
18,1.21,303954.0,2087.14,4.176069215,17.51633644,1
19,1.22,119710.0,2077.43,5.326432635,17.2913872,2
20,2.24,388242.0,2786.26,4.640137808,17.32585574,1
21,0.91,171038.0,3526.52,4.123200536,16.85204103,1
22,2.06,166977.0,2808.65,4.869391908,16.59655993,2
23,1.65,398401.0,2626.52,7.24864765,16.99992409,2
24,1.43,216884.0,2672.65,5.907790894,19.57864298,2
25,1.0,176313.0,3200.77,4.608227176,15.26979599,1
26,1.82,221352.0,2876.97,6.280015522,15.76139275,2
27,1.94,260905.0,2786.89,5.883236006,18.39723146,2
28,1.06,190611.0,1674.62,3.555392857,17.48016431,1
29,2.05,109351.0,1210.45,4.509656912,19.630501,1
30,1.39,310819.0,1098.16,6.366865124,19.39699902,2
31,1.79,123143.0,2260.47,6.900614822,17.56678015,2
32,2.47,398401.0,2938.87,5.909723805,15.68552338,1
33,1.74,148874.0,1906.74,3.874349834,16.26779826,1
34,3.42,226314.0,3641.14,4.474178991,17.83332329,2
35,3.04,398401.0,2495.36,3.738229608,17.11024994,2
