,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.03,870,286276.0,2912.96,7.510606831,17.82625958
1,1.16,490,156702.0,1645.79,7.005222434,17.62281187
2,2.48,432,131904.0,1236.84,5.882397782,16.33118525
3,2.46,1117,346606.0,3450.97,3.332644037,15.31532939
4,0.75,1159,381394.0,2186.51,1.324643993,15.20505383
5,1.91,782,238620.0,1103.54,1.283656175,12.8310699
6,1.09,835,272060.0,2988.41,5.997687307,16.66761258
7,0.7,1161,373716.0,3953.97,5.487694864,15.36644975
8,2.5,803,247094.0,1783.49,4.136280006,15.83648569
9,1.55,455,151728.0,1928.76,6.716159152,17.05584938
10,0.88,1189,370619.0,2586.72,1.097383052,12.98144418
11,1.14,808,244498.0,1469.13,1.940055634,12.95684251
12,1.7,792,249190.0,1450.73,0.943046702,12.98693089
13,1.84,421,132693.0,1677.72,2.202211301,15.5488907
14,1.18,1133,361718.0,2180.99,2.186608698,14.68293283
15,1.9,770,361827.0,2335.19,5.870950828,16.06458055
16,1.9,764,251048.0,1194.16,1.709031873,13.86925953
17,1.83,433,152785.0,1519.3,4.157301081,17.24605384
18,2.32,421,173842.0,1387.96,6.172104927,17.27330657
19,0.86,496,155675.0,822.67,3.384908501,15.31912441
20,0.63,474,252025.0,1463.35,2.010126307,13.69501003
21,1.08,1157,369280.0,3221.82,5.448693508,16.07013677
22,1.41,357,139389.0,1249.32,3.363760338,16.00513454
23,1.53,423,229038.0,1339.06,5.070561923,15.89232852
24,1.49,820,252758.0,2326.81,6.382456913,17.4670386
25,2.47,322,94424.0,1402.84,6.437127941,16.74577038
26,1.65,797,261466.0,1071.46,1.687991387,15.20658899
27,0.89,1161,364415.0,3809.02,5.879840219,16.81183919
28,1.18,346,127087.0,1252.57,3.734332795,16.66488916
29,1.1,814,257028.0,1388.96,1.623980285,13.46140482
30,1.17,1163,251128.0,3939.88,7.277217789,17.96297093
31,1.29,402,123980.0,770.31,2.44727298,15.50156625
32,1.74,811,261472.0,2188.84,5.900183425,16.63714668
33,1.29,433,246539.0,2238.68,7.639565947,17.48615894
34,1.35,837,255703.0,2003.43,7.130844425,16.44639871
35,1.19,1106,361747.0,3287.41,6.631579426,16.79348565
36,1.35,770,312692.0,2032.94,1.871364419,13.19963776
