,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.46,356966.0,2378.3,4.648246793,16.0517641
1,1.22,158217.0,1452.85,5.22923428,16.99648829
2,1.44,246472.0,1038.95,1.054903233,13.34979414
3,2.18,142834.0,866.8,3.637009924,15.81114513
4,1.86,131593.0,1915.9,6.245973788,16.82777417
5,0.95,279383.0,2509.73,5.778957771,16.96289257
6,0.59,385550.0,1869.01,1.149726346,12.18241004
7,0.58,156768.0,692.67,3.004438522,16.73484454
8,2.24,358020.0,1926.54,1.726199987,13.5962938
9,1.19,381001.0,2439.41,3.545480222,15.66635437
10,1.99,349918.0,1839.8,1.480995639,12.83082102
11,1.78,134932.0,1092.02,2.059685796,14.2656809
12,1.17,270227.0,2680.67,7.100090488,17.55110934
13,2.32,129887.0,792.24,1.875950374,14.93748271
14,1.04,281998.0,1591.17,4.064093106,16.79576162
15,1.19,377166.0,2180.55,4.32791222,16.3501075
16,1.07,261817.0,1793.48,2.537538581,15.14289692
17,0.66,151692.0,1186.0,5.570271716,17.09009349
18,3.22,357322.0,2507.85,2.179475805,13.54175775
19,2.28,137065.0,1099.46,1.942212602,14.70872386
20,1.01,139669.0,848.7,1.373683735,13.24600268
21,0.5,381941.0,2284.38,2.047519676,12.6829936
22,0.86,380228.0,2463.15,3.920632656,15.65615689
23,0.97,381134.0,1849.11,1.902683317,15.06995022
24,3.67,370605.0,2557.25,3.196716772,15.41343136
25,2.47,121652.0,1050.57,4.324523391,16.57014496
26,0.68,390159.0,2543.96,1.286459215,14.82366759
27,1.12,269172.0,2685.07,6.979206668,17.36906402
28,1.35,349586.0,2133.06,5.213243294,15.84757307
29,2.21,348187.0,2242.13,4.303210417,15.73209675
30,0.91,163214.0,812.39,3.722297123,16.91533304
31,1.4,149045.0,798.18,2.334064166,12.68689748
32,0.82,376811.0,2628.5,3.884633393,15.30736666
33,1.52,139013.0,865.59,3.327409357,15.83205396
34,2.07,127765.0,869.79,1.590259414,13.79460094
35,1.76,140909.0,939.66,3.679233657,16.33864049
36,1.69,250571.0,2295.56,6.660424789,16.80245776
37,1.66,236744.0,3432.65,5.489067732,16.12641686
38,0.43,138708.0,782.99,3.865876685,17.80602237
39,3.34,132457.0,1281.63,2.771720508,15.23749707
40,1.69,248765.0,1433.86,3.952283311,16.37179357
41,1.48,256970.0,1017.43,1.385954469,12.43196634
42,1.22,240130.0,2309.54,6.890534485,17.01022391
43,1.54,143016.0,760.23,1.963692246,15.32515729
44,1.81,366405.0,2284.29,0.970076088,14.11873816
45,0.67,149904.0,642.76,1.945402613,16.17783087
46,1.12,262585.0,1615.65,2.080480298,14.78550917
47,0.98,384362.0,2366.95,2.232824893,15.76820326
48,1.28,245760.0,2680.33,6.633734771,17.54889012
49,4.59,357877.0,2516.87,3.177182469,15.47086548
50,0.4,178305.0,1101.84,4.9686191,17.03566573
51,1.22,156777.0,1481.37,3.007695406,15.38319247
52,0.95,386008.0,2159.66,2.776412034,15.38916433
53,1.85,248491.0,2556.91,4.668988264,17.01355124
54,2.11,354488.0,2295.47,2.536169136,15.35638051
55,0.59,379772.0,2495.71,3.394362978,15.13342779
56,0.6,382369.0,2386.31,1.450741693,13.33449881
57,1.31,257620.0,1263.33,1.15947842,13.80163995
58,1.76,123816.0,773.0,1.629736282,13.18034015
59,0.5,143642.0,690.7,3.388045578,16.7610575
60,1.14,394335.0,1931.76,3.148777962,15.60233862
61,1.49,363165.0,2511.19,7.087439726,16.6884967
62,1.44,363016.0,2142.19,5.354852962,16.50871928
63,1.77,121465.0,602.22,2.135137923,14.58108085
64,1.37,265711.0,1674.65,3.221222923,15.79460194
65,0.92,276658.0,2356.06,5.998959139,17.47291049
66,1.62,117487.0,731.68,2.844414461,14.88209161
67,1.07,382508.0,2303.92,4.698216769,16.53398893
68,1.11,281371.0,2410.86,7.902168616,17.91036845
69,0.71,143711.0,956.96,3.852910811,16.75460259
70,2.34,138355.0,1617.52,5.548510814,16.63261714
71,0.93,338501.0,2191.11,6.862799508,17.10413338
72,0.78,143471.0,817.39,2.86857741,15.66210708
73,1.1,272583.0,1858.74,4.533027171,16.71939626
74,0.98,158252.0,1337.0,5.045400599,16.67697169
75,0.84,144880.0,914.86,2.719902238,15.42187786
76,1.97,349890.0,2011.27,1.781651807,12.36070228
77,2.06,136652.0,1082.89,3.066570861,14.93268246
78,2.96,140508.0,877.77,2.363918655,15.61735131
79,1.64,371673.0,2531.13,4.152586569,15.55194793
80,0.54,161157.0,998.01,4.35983696,16.4569892
81,1.05,356422.0,2560.19,1.610285078,12.10553259
82,1.48,155484.0,2205.51,4.098437861,16.85728511
83,1.73,242606.0,2287.39,5.340861655,16.47349629
84,1.28,160677.0,2599.47,7.72392838,17.97096487
85,2.27,351429.0,2140.55,1.577771519,15.02281314
86,1.47,136417.0,748.58,2.1876977,15.1111156
87,1.55,130709.0,1525.8,4.697399165,17.00785742
88,0.64,145482.0,826.49,4.101881355,17.06407832
89,2.44,237825.0,1373.11,1.5022346,13.57546889
90,1.77,366651.0,1778.63,1.65882843,12.98034767
91,0.77,154768.0,707.63,2.123489743,15.67237578
92,1.48,139309.0,1506.92,4.886302965,16.88075979
93,0.36,274143.0,1454.58,4.449684122,16.75985299
94,2.54,126778.0,961.33,2.551115364,14.09204474
95,2.18,360412.0,2328.13,2.34465048,15.08199698
96,0.72,349564.0,1917.43,1.165184529,12.81785999
97,1.02,266770.0,1326.96,1.31453027,13.33908679
98,2.22,346708.0,2173.71,3.099329477,15.36989785
99,1.7,372284.0,2283.53,4.016550361,15.11526507
100,1.54,243088.0,2549.74,6.552792278,17.58936004
101,1.77,126338.0,765.02,5.14641661,16.19639556
102,0.82,150931.0,1474.37,6.284973875,17.87312296
103,1.53,137090.0,1036.24,1.191713827,13.52848808
104,3.53,347908.0,2404.35,4.482740492,15.08887945
105,0.93,370997.0,1896.28,2.21175716,15.66567351
106,1.24,379994.0,1918.47,2.13277934,13.33214953
107,0.88,363101.0,2279.69,3.11710515,14.95615359
108,0.88,139583.0,874.09,3.057753909,15.76060322
109,1.58,246648.0,1989.47,5.749679867,17.07550877
110,0.63,387909.0,2634.57,5.28829905,16.89383284
111,1.23,257709.0,1296.51,2.318397332,13.24918989
112,1.08,264815.0,1230.25,3.203969694,15.9461483
113,1.59,132812.0,1892.26,6.349664877,17.40658821
114,1.37,365127.0,3618.31,4.4585016,16.44254611
115,0.78,377529.0,2219.62,1.562323622,13.36601655
116,0.62,266777.0,1265.44,1.650993599,14.0471566
117,1.66,253298.0,2299.04,4.191458901,15.96914866
118,0.86,266298.0,2311.53,4.78474761,16.124879
119,1.13,364972.0,2628.71,3.300976776,15.63334086
120,2.08,228987.0,1964.63,4.384133527,15.9732163
121,0.64,267713.0,1712.13,3.208999807,15.85260703
122,1.15,272237.0,1355.81,1.786378699,13.72583777
123,1.4,381110.0,1981.52,1.93258509,13.89346427
124,0.69,270433.0,1839.11,3.180760741,16.06695378
125,2.19,131360.0,935.61,1.902376689,14.95487867
126,1.72,131805.0,1105.58,5.377049604,15.78526726
127,1.47,141063.0,788.23,1.9741809,15.335412
128,1.8,250094.0,1701.56,3.8018343,15.59990635
129,1.76,128210.0,671.94,1.854849863,14.55038483
130,1.15,142771.0,829.72,2.880144361,15.89888525
131,2.44,123814.0,836.34,1.402010319,14.57687228
132,0.91,362976.0,1886.46,0.557836799,13.66453654
133,1.4,357016.0,1732.74,0.997993797,13.21824739
134,1.6,251838.0,1680.64,1.838212197,13.46584803
135,1.28,147093.0,888.07,2.559909729,15.58782437
136,1.74,141116.0,1913.11,6.526302045,17.11926142
137,1.14,369049.0,2039.3,1.670869916,14.62219434
138,2.62,150500.0,1805.03,4.88368316,15.9152789
139,1.71,130329.0,715.91,1.768862281,13.48971662
140,1.08,273864.0,1728.37,3.555414079,16.14830287
141,1.84,244165.0,940.28,1.660345516,13.38963969
142,0.91,357809.0,2329.56,5.711902325,16.53078235
143,1.3,249552.0,1771.31,1.8235177,13.72878232
144,0.65,351209.0,1785.93,1.841931432,12.88093478
145,1.85,348687.0,2012.37,1.825028874,13.4732435
146,0.72,283489.0,1958.34,3.755468535,16.38935119
147,1.3,164712.0,1420.65,7.939333516,16.521595
148,1.22,380747.0,2432.42,5.452703563,16.7024935
149,0.42,153974.0,592.88,3.208785787,16.63429042
150,1.28,160255.0,1812.41,6.997647456,17.7590475
151,1.49,131711.0,1374.75,3.101540872,15.62827603
152,1.09,146161.0,733.7,3.037361553,15.35906637
153,2.02,369845.0,1864.21,1.475185342,13.77195538
154,0.91,268288.0,1488.02,1.960882397,13.9660108
155,2.24,131562.0,1104.03,4.05012804,16.40902963
156,1.72,357993.0,1594.9,1.9525738,12.33375959
157,2.93,370092.0,2488.11,2.324629639,14.94523502
158,1.21,364189.0,2593.06,5.600343441,16.1276599
159,0.99,153619.0,938.39,4.220666808,17.13458186
160,1.43,257024.0,2585.5,5.091751685,17.05229454
161,4.34,339488.0,2339.0,1.505399354,12.98753352
162,1.11,452071.0,2282.62,5.953198398,16.30857291
163,1.63,248434.0,1061.81,2.007393402,13.44823327
164,1.63,370314.0,2007.97,2.17726135,13.8622711
165,1.45,373722.0,1896.48,1.907392347,15.09223889
166,1.84,240581.0,1891.38,2.201374328,15.38715137
167,2.32,353866.0,2074.16,1.271949187,13.07101
168,2.78,239148.0,1183.36,2.985963138,14.96840279
169,1.23,365692.0,2408.98,5.979794543,17.13940732
170,1.4,369057.0,2288.85,3.612274733,15.83937999
171,1.15,265422.0,2541.5,7.051585601,17.3699856
172,1.27,145588.0,1329.74,5.064333201,17.37730903
173,1.69,374164.0,2272.36,6.490689732,16.84056682
174,0.35,153814.0,586.86,3.608102886,16.32096427
175,1.16,162319.0,1081.4,2.790721339,15.56609345
176,1.7,254179.0,1519.75,2.97247191,15.38833776
177,1.39,262789.0,1542.46,1.057756344,14.37538467
178,1.77,248403.0,1418.37,1.385519187,14.09946932
179,0.53,387967.0,2441.67,3.560446818,16.05850998
180,1.72,259836.0,1306.71,3.093881421,15.79707344
181,1.28,250171.0,947.96,1.959209444,13.10038394
182,1.55,149063.0,871.62,2.964055006,14.98291956
183,1.25,384322.0,2313.84,6.354848448,17.00149642
184,1.65,234772.0,1788.93,2.63204907,14.60772831
185,0.63,143287.0,825.74,4.026295872,17.13385399
186,1.22,250713.0,862.57,1.380700532,13.54663436
187,1.23,263979.0,1324.57,1.911703836,15.56950997
188,3.41,350975.0,2353.14,1.651078211,14.53799454
189,1.27,140301.0,1621.6,7.531952397,18.1189738
190,3.84,357366.0,2407.93,2.248220534,15.33898811
191,0.35,163224.0,675.66,3.364551888,16.11117518
192,1.31,382173.0,1983.64,2.270348195,13.43577115
193,1.84,361007.0,2035.64,1.749634733,14.84042494
194,0.68,129782.0,586.86,1.209764551,13.79037914
195,1.21,369293.0,2143.31,6.855715948,16.95782867
196,1.53,146827.0,1138.4,2.832179384,15.15064239
197,2.33,242652.0,1052.3,3.445339515,15.69226478
198,1.36,149070.0,1592.81,7.202056236,16.88859428
199,2.13,353070.0,3248.46,3.348825909,15.49895169
200,1.58,140217.0,868.97,2.084685922,14.04818219
201,1.66,129221.0,707.14,2.316151822,14.58547137
202,1.58,255757.0,1741.54,3.222090896,15.30789678
203,0.58,263187.0,1337.08,2.737013479,15.43358104
204,1.55,140920.0,733.23,1.827093809,13.22765595
205,2.45,251332.0,1779.6,2.962768154,15.95502212
206,1.62,135046.0,914.04,5.010913092,16.93506349
207,2.81,145311.0,1783.85,4.393890167,16.14389711
208,0.97,382588.0,2062.87,2.750515812,15.08004085
209,0.93,361767.0,2854.18,0.993865962,11.76014759
210,1.1,158270.0,929.88,1.789676946,15.68795122
211,1.4,134457.0,1356.82,3.268099332,16.79390416
212,0.26,271969.0,1982.97,4.476155791,16.76998553
213,2.29,144748.0,1686.59,5.51510992,16.44966044
214,1.16,364556.0,2667.02,3.120786098,15.87570926
215,0.4,274678.0,1928.04,4.507222533,17.314852
216,2.21,234952.0,1428.44,2.929776207,14.69435674
217,0.67,161455.0,845.39,3.245561547,16.10143984
218,0.74,384149.0,2404.07,4.065973455,16.45391401
219,1.47,149154.0,938.66,3.854285822,16.43904218
220,1.95,268555.0,1947.0,4.58117078,15.73506823
221,0.96,284937.0,1598.7,4.075341039,16.64292734
222,1.04,361474.0,2446.57,6.583523858,16.96287277
223,2.25,132916.0,613.17,2.842222019,14.89970412
224,1.72,131221.0,1240.43,6.675280834,17.70606754
225,0.42,392190.0,2241.7,5.11380798,16.45975409
226,1.96,238787.0,1621.13,1.664114034,13.13310316
227,1.38,360918.0,1902.18,1.916546496,13.34078476
228,2.09,254911.0,1992.43,5.01303671,16.72851772
229,1.62,223244.0,2071.72,5.727414969,16.68463551
230,1.71,143665.0,1195.84,5.901548889,16.60404612
231,1.43,263982.0,1875.05,3.882252255,16.48382325
232,1.97,120895.0,927.58,2.676834981,13.85210385
233,2.72,132492.0,961.51,2.859562516,14.70998963
234,1.6,243914.0,2210.05,4.753231857,16.30793357
235,2.48,220848.0,2077.25,4.61417826,15.74973528
236,0.56,371487.0,1776.27,1.807306447,13.62779196
237,1.46,156599.0,1228.13,5.484180938,16.79117391
238,0.99,160954.0,787.06,3.414799159,16.15055256
239,1.7,143340.0,1559.15,7.062050986,17.69013928
240,0.64,161775.0,887.34,5.749027607,18.02638751
241,0.97,381772.0,2672.27,3.622904687,15.59972387
242,1.16,262889.0,1442.95,2.233559756,12.90836425
243,0.81,276371.0,1444.65,4.250091708,16.00178483
244,1.28,256798.0,1612.3,1.328183251,13.54287584
245,2.62,222162.0,1713.95,4.180602159,15.51032485
246,2.28,136925.0,651.82,4.082187996,16.89159881
247,0.48,379077.0,2232.41,2.618386633,15.63405905
248,2.61,349129.0,1901.46,2.735582588,13.84059903
249,1.98,346983.0,1695.36,0.798972959,14.72864129
250,0.61,377351.0,2409.99,2.917656623,15.50218411
251,1.24,265492.0,1896.64,4.471148174,16.59893273
252,1.27,358307.0,2103.98,4.662138723,15.71319807
253,1.64,126744.0,879.96,1.208721501,13.45770137
254,1.36,386620.0,2348.22,3.273517185,14.84155158
255,3.68,361326.0,2729.04,2.093091104,14.56414807
256,1.99,125617.0,1435.22,5.53815027,16.91588476
257,0.92,145461.0,770.85,1.744974305,13.98307376
258,0.93,160920.0,912.65,3.776002068,16.18711807
259,1.65,132245.0,1096.63,2.902883812,15.304021
260,1.37,249098.0,1270.29,2.217255469,14.21946484
261,1.68,256414.0,1275.42,3.920011318,16.32416317
262,0.41,360737.0,1772.82,1.571236712,13.6062602
263,1.69,347742.0,1784.16,1.726511593,13.59691354
264,0.85,394692.0,2565.98,5.329458669,16.81642863
265,2.73,352816.0,2485.83,2.880972482,15.36421621
266,2.02,248907.0,2317.23,5.167554313,16.26992584
267,0.34,157601.0,691.85,3.543046214,16.98393735
268,1.04,381923.0,2322.63,5.846996806,17.74040684
269,2.34,339972.0,2209.4,2.536385864,15.13886829
270,0.64,145158.0,815.44,2.045191686,15.58423109
271,1.83,117817.0,918.69,5.045576537,16.9467289
272,1.76,128871.0,849.33,2.796521124,15.06743812
273,1.83,142371.0,1361.93,5.080526254,16.78487623
274,0.6,168234.0,1846.46,5.007302179,17.45426701
275,0.85,155695.0,820.69,3.107138077,15.96936294
276,3.54,359280.0,2410.22,2.965887608,15.44859655
277,1.34,136329.0,1362.9,2.093460659,13.2827603
278,1.49,358488.0,1795.9,2.129052032,13.13461421
279,1.45,139094.0,988.61,5.960589024,17.80346933
280,1.51,362107.0,2023.46,2.901189345,15.36010136
281,2.5,122550.0,800.83,1.522908527,14.11783216
282,0.86,154392.0,1108.99,3.933673262,16.5680363
283,1.77,357315.0,2317.21,1.904473206,13.73953679
284,1.9,370425.0,1923.46,2.70179489,15.52439735
285,1.13,367175.0,2499.86,3.22029468,15.30884497
286,2.26,220906.0,2059.65,1.616439778,13.75931779
287,1.36,148759.0,1895.51,6.65776958,16.92388295
288,0.69,160234.0,679.79,2.355374529,16.01315432
289,0.72,156607.0,647.45,1.827539607,14.03943833
290,1.58,130525.0,836.73,1.948180796,13.91269336
291,1.64,131299.0,760.66,3.364522403,15.77476158
292,1.61,354697.0,2082.46,5.416707632,16.54839101
