,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.15,359204.0,3503.1,5.246583443,16.16286177
1,0.83,155431.0,1183.48,5.806941065,17.1663298
2,1.98,124401.0,844.54,1.658496767,12.78043163
3,0.59,385506.0,2771.09,4.274588248,16.60673591
4,1.04,101069.0,697.0,3.921379029,16.49260968
5,1.91,343560.0,2437.2,2.782384824,14.91553147
6,1.7,133375.0,790.21,2.236206634,15.28468481
7,0.22,371412.0,2161.59,5.149924502,16.99234154
8,0.78,164686.0,965.83,2.978872603,16.34124331
9,1.98,110767.0,799.13,4.489178313,15.72776772
10,1.79,260302.0,1713.01,3.1984266,16.17406975
11,0.73,258992.0,1907.59,1.856401186,14.14116995
12,1.35,375638.0,2364.05,6.211424536,16.76329451
13,2.02,233852.0,1830.1,4.243445313,15.79211681
14,0.77,351835.0,2304.6,2.138876074,14.12179033
15,1.05,390179.0,2308.28,2.64257765,14.52303895
16,1.49,246997.0,788.79,1.097659203,12.75261015
17,0.44,166977.0,721.84,5.190048298,17.04240546
18,0.54,265114.0,1853.99,2.127189276,14.4089714
19,0.95,106480.0,725.98,4.209537812,17.30999031
20,0.86,272661.0,1820.21,3.643882001,16.7287558
21,0.79,264386.0,1555.32,1.095382653,13.78373925
22,1.14,381357.0,1975.59,2.706908616,14.17967394
23,0.86,372065.0,3951.89,4.282749495,16.07860496
24,2.41,257479.0,1820.34,5.49597142,16.40986697
25,0.83,140165.0,843.85,2.895773745,15.94618487
26,2.28,158547.0,1788.41,6.877308004,18.07425224
27,0.39,370366.0,1735.92,4.436960701,17.13861845
28,0.78,144514.0,942.06,3.819933027,17.52715015
29,0.78,369038.0,2068.96,1.332210503,13.73369679
30,2.02,355296.0,1891.72,1.538909654,12.9590399
31,1.3,252133.0,1564.89,2.127405677,15.99603625
32,2.75,347924.0,2348.65,1.485804022,13.44148721
33,1.36,361262.0,2804.11,5.241127069,15.7723975
34,1.13,368835.0,3574.85,6.320315683,16.53002084
35,1.03,355813.0,1719.74,2.111037856,12.74496053
36,0.61,157707.0,1263.62,4.068742255,17.23936521
37,2.46,344306.0,2054.85,2.185788262,15.46531085
38,1.85,360833.0,1886.31,1.498585148,13.30057462
39,2.15,356185.0,1624.81,1.703324227,13.83544246
40,0.6,377788.0,3574.61,6.524426502,16.62920097
41,1.13,348806.0,3496.65,4.309804673,16.15448287
42,1.01,146718.0,780.91,3.262217271,15.89114187
43,1.95,122372.0,711.95,2.163648024,13.63001665
44,0.63,359964.0,4185.1,5.971870259,16.73576283
45,1.99,243484.0,1385.36,3.847938173,15.97761085
46,1.65,371038.0,2326.46,1.609219586,14.66057825
47,2.16,150105.0,1445.37,5.245625127,16.6341851
48,1.01,326524.0,3646.03,4.812545431,15.94989887
49,2.93,124180.0,912.96,2.605586146,15.22860456
50,0.75,277689.0,2846.73,7.344245219,17.30860761
51,1.36,144343.0,2021.22,6.917411397,16.4508861
52,2.16,251071.0,1973.38,4.707357466,16.03372607
53,1.94,134141.0,771.64,3.41741764,16.29474064
54,0.4,281063.0,1881.39,5.670762705,17.24256852
55,1.8,132362.0,833.47,0.897704758,11.66292691
56,0.89,389479.0,2903.87,2.445100977,15.25222533
57,2.34,132409.0,1590.75,6.338880652,16.83123956
58,0.32,261817.0,1206.28,4.574896426,16.27052611
59,1.74,379445.0,2287.87,0.441077295,12.77787615
60,1.16,370848.0,1826.57,2.022816939,13.31148843
61,0.74,267527.0,1802.55,1.897094842,12.71671647
62,0.59,133448.0,841.95,2.84217738,14.44219692
63,0.79,269328.0,2050.31,5.328122624,16.89095724
64,0.67,271374.0,1604.14,3.669103363,16.41446394
65,2.22,119463.0,1459.24,6.92808195,16.39810075
66,1.39,141352.0,1821.6,7.60373873,17.57426166
67,1.51,353090.0,2167.11,1.201319037,14.73786724
68,1.51,127526.0,671.17,2.400231868,15.11975428
69,1.17,110340.0,843.81,3.247486376,16.32524034
70,2.09,133994.0,1013.98,2.72031301,15.25843004
71,2.55,247173.0,1686.98,1.737767158,15.23997546
72,1.07,255104.0,1446.71,1.493083262,13.31720266
73,0.69,370309.0,2189.79,2.080435693,13.00325324
74,1.83,126055.0,1683.55,6.401814818,16.85443568
75,1.83,136421.0,656.27,2.393021399,16.122159
76,1.95,366022.0,1819.23,0.914279578,15.00233657
77,1.93,259748.0,1374.49,2.364397339,15.80474079
78,1.25,244138.0,1356.57,1.961189304,14.54365566
79,2.69,238153.0,1742.74,4.495417873,16.03440327
80,1.53,345546.0,3221.45,3.68580068,15.58410163
81,0.68,263791.0,1413.76,1.242607855,13.09732547
82,0.75,262688.0,1709.95,1.492442758,13.3809548
83,2.55,125443.0,979.84,1.838171362,14.86836727
84,2.09,130796.0,1531.85,4.362716826,16.93781605
85,1.2,128515.0,1778.68,6.432218874,16.54286443
86,2.17,143992.0,997.44,3.219905043,16.2795619
87,1.65,144488.0,906.94,2.738953389,15.52598886
88,1.45,249474.0,1781.91,2.770490107,16.20347225
89,2.14,362225.0,2177.48,2.111994152,14.87187663
90,0.6,137429.0,1275.61,5.605564667,17.50218179
91,1.34,361063.0,2076.27,1.550713711,15.00556909
92,1.7,364179.0,2476.32,4.649863962,16.53140176
93,1.9,125791.0,687.46,2.266759084,15.13186322
94,1.65,101887.0,950.0,3.240822728,15.30924194
95,1.01,260418.0,1936.54,4.26716284,16.09179023
96,0.94,275152.0,1885.24,3.451578618,15.77771085
97,1.39,369991.0,2258.24,3.495240775,16.16750703
98,0.91,363999.0,2146.85,2.233081076,13.66109628
99,1.3,249698.0,1655.27,1.31451718,15.2818515
100,2.21,110148.0,1551.57,5.941629012,17.03838946
101,2.94,366139.0,3164.12,5.065226117,16.28900371
