,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.37,371760.0,2649.3,4.352366358,17.2100334
1,0.68,163785.0,1137.43,2.530494085,15.53286968
2,1.05,270530.0,1927.99,4.259874352,15.32598849
3,0.94,385322.0,967.85,3.455472369,16.60392098
4,1.31,376138.0,2284.25,1.491442478,18.76074968
5,3.17,242094.0,3350.62,4.20933761,14.96655252
6,1.54,244399.0,1566.58,3.074398235,18.34034627
7,1.67,259506.0,1779.44,6.909012944,16.10881572
8,2.86,266209.0,1706.5,4.849917888,14.11965532
9,0.63,145786.0,616.68,1.420667659,16.97798369
10,1.84,375632.0,2143.14,0.689564848,13.29885353
11,3.67,384392.0,2379.85,3.367954062,16.33575678
12,2.39,147496.0,1214.58,2.400579987,16.0836234
13,1.83,375876.0,1906.29,1.943890264,15.14514013
14,3.41,372840.0,1806.11,1.699615632,15.71478479
15,0.87,376913.0,1879.79,1.871218029,14.08148625
16,1.34,264230.0,952.14,3.748416217,13.88124381
17,0.93,129421.0,2041.63,5.304103061,16.44156906
18,1.76,373885.0,2933.88,2.202218036,15.83770761
19,1.84,266062.0,3817.92,1.462963577,14.29829758
20,2.47,280550.0,1928.78,2.476125559,17.82445278
21,1.13,130637.0,2252.82,5.938036753,15.47711851
22,1.22,203802.0,2464.55,2.076427181,11.81247031
23,1.45,255384.0,2532.14,3.431294164,17.66532014
24,0.89,145763.0,1057.44,6.594419581,14.98570442
25,0.89,144530.0,4006.49,2.42276652,13.13152661
26,1.42,387783.0,3034.83,4.540915093,15.88736116
27,1.69,376454.0,1995.24,4.14263276,15.6753039
28,1.25,310207.0,2201.27,2.521053531,15.70977555
29,2.58,242979.0,2423.68,3.410461798,16.52180216
30,1.81,354771.0,1393.98,2.583301232,15.93906855
31,2.05,377873.0,2696.29,1.133718221,15.64903425
32,1.71,253459.0,2273.43,1.872476308,15.12796587
33,1.12,405108.0,858.27,4.460435376,16.02613541
34,2.04,156867.0,751.28,4.315850721,17.88020063
35,0.96,252774.0,1915.22,1.866980559,15.58890536
36,1.09,302332.0,2493.0,3.47884513,16.6191158
37,1.45,384496.0,1535.39,6.397496742,16.33727003
38,2.51,269118.0,1775.56,3.940706961,19.08972973
39,1.14,356825.0,1950.64,0.320737546,15.11278928
40,2.17,150121.0,2455.73,5.78846083,17.45637725
41,2.25,385269.0,2110.08,1.772630824,16.10151922
42,1.69,365367.0,1456.6,1.769382815,16.15238616
43,1.29,370329.0,1930.3,2.404925346,15.8894552
44,0.97,363712.0,1348.9,2.214114618,14.58253159
45,0.83,256230.0,1999.46,3.190653736,17.06621955
46,3.32,173670.0,1007.85,3.254353994,17.11218191
47,2.04,381288.0,889.57,1.303790414,16.3729347
48,2.26,400565.0,2042.43,3.854277245,13.94506489
49,2.06,374499.0,3932.96,0.965423913,14.39472237
50,1.57,376327.0,919.3,3.551489869,15.72506632
51,0.53,367455.0,2200.78,6.683295369,14.46280441
52,1.48,369298.0,2959.31,3.153443778,15.80269549
53,0.83,403017.0,586.86,4.044054269,17.41866442
54,3.31,262717.0,1972.89,1.737184844,17.37456445
55,1.35,387726.0,1871.5,3.762812805,15.18132301
56,0.63,380004.0,2082.77,2.677235172,15.59816681
57,1.83,364484.0,1172.93,4.24811616,15.28173125
58,1.69,369249.0,1012.49,4.246956794,15.67925334
59,1.3,389538.0,1087.26,3.889925557,16.38294628
60,1.83,365154.0,931.78,1.55822487,12.79764909
61,1.38,367761.0,1380.28,4.062656691,14.07315217
62,2.34,381743.0,1382.45,2.958575903,17.06666074
63,0.45,164871.0,3506.08,4.602180759,16.99444913
64,1.27,166905.0,2292.37,3.545507079,17.58997373
65,0.76,265930.0,2208.24,1.241233181,13.65733217
66,1.28,388930.0,1888.38,7.701784553,17.94409918
67,2.03,377590.0,2217.58,3.933244999,15.49556747
68,0.72,443092.0,1640.23,6.126115232,18.06962133
69,0.81,141737.0,4073.81,2.055412647,15.61440758
70,1.01,261188.0,2425.0,4.651983087,15.38261964
71,1.76,380981.0,852.74,2.109110586,12.37418581
72,1.91,354985.0,1636.79,0.182410799,17.98620974
73,3.38,334446.0,798.66,2.752231035,16.57107703
74,0.97,269779.0,3998.22,3.408278484,17.45794697
75,2.29,139900.0,1905.1,4.71530591,15.82916972
76,1.62,283969.0,2138.69,4.598427008,15.97411196
77,2.08,354989.0,1976.94,2.373712249,15.09422534
78,1.67,289624.0,1994.1,4.19197415,18.38601674
79,1.06,356355.0,2071.87,1.522813389,15.36299525
80,2.53,394721.0,1497.83,5.366293065,18.1617723
81,1.34,142292.0,1359.68,1.017239259,19.08972973
82,0.82,147030.0,1202.84,1.101737929,15.17603695
83,0.65,169117.0,1591.45,7.3349405,16.99997323
84,0.47,364205.0,4308.45,6.458629879,16.0262555
85,4.11,362534.0,1681.75,2.820407869,12.41962486
86,1.19,352499.0,2403.88,0.349326023,15.33686597
87,1.61,377129.0,2443.09,1.858192579,16.3685426
88,1.61,374329.0,2202.46,5.92035779,15.20336779
89,1.16,376303.0,1690.85,2.673193521,15.48156794
90,1.51,178983.0,2093.79,0.510644447,17.07502452
91,1.43,332146.0,2139.24,3.280999446,17.1722509
92,1.34,151135.0,3821.97,2.735703812,16.43335392
93,1.7,256972.0,1491.29,-0.161196433,17.09200284
94,2.73,265961.0,1916.27,3.544195101,17.3549007
95,1.42,169361.0,4552.95,3.096973639,16.00180551
96,1.96,374498.0,2452.04,6.748120848,15.82713721
97,2.07,381541.0,1944.59,5.746996641,18.00735829
98,1.68,128148.0,1529.86,2.036495985,15.42774595
99,1.49,280321.0,2972.09,2.052049346,16.28389115
100,1.85,249872.0,2187.01,5.457707986,13.54124864
101,1.69,380414.0,2132.29,1.778176384,16.07264383
102,1.06,160293.0,2220.54,1.161940381,16.90503347
103,2.0,282121.0,1924.63,6.02487834,16.47840324
104,0.48,265565.0,3104.92,3.59742542,15.72600648
105,1.96,157791.0,1705.17,1.658134087,14.72253326
106,2.04,232873.0,2448.3,0.616913165,15.01315695
107,2.11,119362.0,2052.44,1.315991644,16.29173518
108,1.83,153656.0,2420.82,1.820587887,15.87366231
109,1.6,392748.0,1873.2,2.619570708,15.47676342
110,1.22,324134.0,1483.48,4.658626879,19.08972973
111,1.14,346281.0,1979.5,1.959025901,18.3139372
112,1.83,262407.0,2038.05,1.423376158,16.29243938
113,0.45,377373.0,3811.45,1.083976651,15.78533175
114,0.66,363047.0,658.6,2.55354641,14.34059226
115,1.24,158949.0,1969.11,4.864558683,16.04984149
116,0.83,356143.0,652.69,2.688407367,15.06823006
117,1.39,148816.0,2912.45,5.235712395,15.67647673
118,0.85,168996.0,885.28,2.639633939,16.93456523
119,0.88,369044.0,1613.8,2.87891358,14.55308968
120,0.97,245084.0,1516.48,4.785277156,15.36552561
121,1.29,132391.0,1304.62,6.690614183,15.94430166
122,1.47,253509.0,2778.54,1.417214903,15.03687984
123,1.7,267319.0,2377.43,4.065693526,14.67166104
124,2.02,388651.0,2396.61,6.3073101,16.20016042
125,1.03,386275.0,2269.93,5.284974508,17.69063036
126,1.0,248495.0,2770.97,2.337839706,16.74050807
127,1.13,366803.0,1800.45,4.978904473,15.45143247
128,1.89,354343.0,2991.86,0.676669978,15.11122566
129,1.82,149953.0,1310.95,3.174042908,15.39237969
130,0.75,365921.0,2539.51,2.638149169,14.73448765
131,1.26,356029.0,2330.09,4.262213137,12.99874447
132,0.7,370370.0,2097.86,0.560793653,12.60327539
133,2.71,168732.0,2000.38,3.039596849,16.46408801
134,2.3,361669.0,2673.01,7.740335237,18.40401068
135,1.1,156975.0,917.31,5.542958526,14.55728684
136,1.54,397889.0,1949.73,3.13680527,17.65746231
137,1.6,365093.0,1156.79,0.641143509,13.88048095
138,1.43,150012.0,1581.79,0.098238895,12.51331473
139,1.82,129400.0,1049.38,1.033332069,16.25755433
140,2.78,146957.0,3062.97,2.487554824,13.57185736
141,0.46,454317.0,1761.56,1.692144671,15.49873855
142,2.21,373374.0,4335.93,5.523524267,17.55758329
143,2.29,241258.0,1817.44,1.835754157,17.30383983
144,1.18,391403.0,2475.24,5.077725347,17.08908787
145,0.89,385828.0,1032.58,2.80844398,12.92696979
146,1.25,367424.0,4606.93,1.40416543,15.27478414
147,1.57,371181.0,2179.88,1.12812903,14.7971588
148,0.35,156719.0,1770.51,3.708889275,13.95456018
149,0.61,124077.0,2056.83,1.601241853,15.53640148
150,1.08,124772.0,1877.54,5.584829893,17.39144308
151,0.81,138990.0,1548.35,2.786387879,14.81956567
152,0.69,394819.0,1810.86,3.512226166,17.13066087
153,1.29,281308.0,1934.63,5.084972659,16.66589452
154,0.69,378687.0,2316.65,5.479460557,15.45156569
155,0.59,375909.0,1786.04,2.768980058,15.85723584
156,0.57,359717.0,866.55,1.203691535,17.23800416
157,1.52,404697.0,3216.91,0.553510966,15.96887669
158,1.94,253652.0,1955.87,2.18326786,13.71562735
159,1.09,368080.0,2291.55,0.937418321,16.52746098
160,0.8,149198.0,794.96,2.872451792,17.63090509
161,0.84,351753.0,1535.68,3.07726533,16.57725528
162,0.95,381036.0,2157.64,3.131155351,12.7096846
163,0.54,277166.0,1594.01,1.741843191,18.17699463
164,1.49,256419.0,692.76,5.382050684,17.76513778
165,1.35,153141.0,1637.56,2.733186874,18.07918496
166,1.46,165429.0,1042.43,5.066763729,15.27248219
167,1.49,374477.0,2559.06,2.081639602,14.94989803
168,0.89,469473.0,1959.61,2.798157102,17.31962363
169,1.23,264516.0,1625.46,2.26775445,16.08543387
170,1.72,150320.0,1791.7,5.315088263,13.56477837
171,0.49,382244.0,2505.71,1.475381026,12.88937448
172,0.61,389220.0,3146.51,1.767674876,18.71172163
173,0.59,390699.0,4160.68,-0.326393035,14.68048096
174,2.79,381741.0,2028.47,2.835688661,17.38923664
175,1.14,378792.0,3838.81,2.56476941,15.21427302
176,2.6,396116.0,3128.53,5.809300075,18.58311019
177,0.88,371102.0,2278.97,1.51182715,15.54274339
178,1.48,134973.0,1460.83,2.641859736,15.99088281
179,1.62,382425.0,776.52,6.078373019,15.83084664
180,2.14,394233.0,1949.61,3.459562463,16.55314705
181,0.97,255488.0,1905.57,6.223915491,13.95161648
182,2.61,172197.0,1797.05,6.48894241,16.36514986
183,2.44,374284.0,4547.19,0.627633558,14.42884836
184,0.64,379145.0,1812.76,3.285094442,13.68147635
185,0.58,366457.0,948.75,6.979569806,16.77740846
186,1.87,371749.0,1753.94,1.318635906,14.78202324
187,1.57,158294.0,3133.78,0.956900413,15.26887072
188,1.03,144121.0,4033.25,2.360326069,14.94748232
189,0.62,160120.0,1929.41,0.606037778,15.49990974
190,2.21,382906.0,2428.62,2.157143142,16.59735539
191,1.5,157155.0,2409.35,5.472034711,16.23816375
192,1.09,146001.0,2812.14,2.988573059,15.61774287
193,1.12,382768.0,1614.84,2.084873582,15.57894179
194,1.7,140738.0,1895.24,3.830714541,15.15577229
195,1.93,126349.0,649.61,1.639839884,16.2150466
196,3.41,386538.0,1574.97,1.534626374,16.03519511
197,0.84,157486.0,1585.08,3.5755821,16.48518114
198,0.96,177119.0,2591.04,3.618371632,18.12817429
199,1.73,386962.0,1924.03,1.847757315,16.37442256
200,2.61,173532.0,2287.21,1.301199632,15.21514802
201,1.6,345758.0,2564.21,2.058069151,16.8594792
202,1.03,364472.0,1895.14,1.068836754,15.19956731
203,1.91,177629.0,1707.57,3.303412978,15.89768135
204,0.52,368167.0,1768.46,2.31555289,16.44734516
205,2.2,375648.0,2326.92,3.943190308,14.82541547
206,2.07,349795.0,2127.67,3.07416046,15.78636214
207,1.06,141945.0,3182.62,6.69295258,15.02786421
