,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.26,235134.0,3305.68,3.123637028,15.82810945
1,0.79,378791.0,3999.91,5.247872704,11.2583727
2,1.3,373846.0,3120.37,4.506445201,17.90213237
3,0.91,396290.0,1938.43,2.277392381,15.98365202
4,1.39,161550.0,1515.19,6.965300402,14.06185862
5,1.56,258499.0,1523.67,4.958357681,17.34317173
6,1.6,366937.0,3573.95,4.412830243,15.78661496
7,1.67,128568.0,1022.79,-0.029688665,14.33680062
8,2.07,258302.0,2471.39,5.34671048,15.59823369
9,2.7,265975.0,1157.18,3.09610324,15.10841812
10,1.29,310757.0,613.89,3.172743667,16.93611125
11,1.63,130927.0,773.27,4.169994074,15.09428564
12,2.33,140729.0,1795.77,5.446869345,14.15228501
13,1.06,309928.0,1716.91,3.677957647,15.54024821
14,1.2,350892.0,1430.78,4.059312186,17.06553006
15,0.63,113693.0,757.07,5.751670504,16.617305
16,1.76,394498.0,1824.01,2.467658045,15.55110616
17,2.42,254487.0,1729.15,6.180382864,15.0205404
18,4.93,256882.0,2778.25,4.328050009,15.30573388
19,1.59,100473.0,847.87,4.471403392,15.64608587
20,1.72,147076.0,1745.62,6.297041307,15.99609261
21,2.07,148794.0,824.09,5.34021872,12.90362447
22,1.06,263037.0,1006.38,2.879153131,15.17427622
23,1.98,147129.0,936.08,4.983018024,13.10927
24,1.42,254902.0,1213.66,5.386030574,12.70928316
25,2.23,271590.0,2084.46,5.757275833,16.9055416
26,0.78,150991.0,919.39,4.873648962,13.29899591
27,1.4,252960.0,1765.76,0.284348538,14.97995052
28,2.91,464692.0,1481.81,4.606050141,13.1324537
29,0.69,169256.0,2532.45,6.794218892,15.52377202
30,0.32,377224.0,1350.01,3.109166919,14.48106529
31,1.47,420899.0,1944.38,4.988106365,17.07211299
32,2.17,381707.0,975.22,4.56921628,14.66805483
33,0.66,117949.0,1549.66,4.191076257,18.26126287
34,1.24,262539.0,1127.03,1.686044267,18.03273564
35,1.45,281491.0,1884.62,0.775460331,15.02582462
36,2.76,136223.0,1931.23,-0.039277611,16.46478588
37,2.32,137812.0,1499.18,3.221639918,13.56854987
38,0.68,374903.0,1732.56,4.611187514,15.40222254
39,2.65,265070.0,1602.31,2.58718684,15.49174916
40,1.86,406551.0,911.08,4.312025217,12.13110703
41,1.53,272799.0,1809.98,2.818982484,13.9448818
42,2.06,131585.0,1650.03,4.139836677,14.19287698
43,0.45,167594.0,613.89,1.942350498,17.1043556
44,2.03,144817.0,2230.32,6.988000441,17.27237757
45,2.18,149553.0,1788.46,5.245868906,11.94879775
46,1.67,129614.0,1438.96,5.569939368,16.89352226
47,1.35,363857.0,1037.84,1.829103118,16.03566759
48,1.77,364084.0,2268.52,4.240550289,15.00354734
49,1.16,167293.0,849.71,3.893164366,17.10265864
50,2.49,156450.0,2374.93,5.735564719,12.7433755
51,1.29,381014.0,1008.73,4.037308569,15.13081955
52,1.65,377144.0,689.84,6.337686854,15.55567838
53,1.51,376869.0,1499.23,0.839358156,15.3727999
54,0.7,157425.0,889.82,2.303651481,16.32821148
55,2.66,398966.0,2250.52,1.064106899,16.13600561
56,1.15,137561.0,963.76,3.293028065,15.81436568
57,0.89,173451.0,1742.88,5.776550129,15.49841668
58,1.19,138248.0,2509.73,6.664472554,17.88229799
59,2.67,307141.0,2916.52,4.009209763,16.68772533
60,1.59,258705.0,1708.87,2.374786809,14.54413124
61,1.27,266713.0,1268.04,1.707126129,17.93759076
62,0.8,376092.0,1271.31,3.365170374,16.56847847
63,2.84,374078.0,1645.85,4.937809133,15.15416125
64,2.78,357741.0,1043.15,5.09207185,14.70481638
65,1.68,144309.0,973.89,2.074811408,14.54085339
66,1.26,238553.0,1547.02,4.724117413,15.95231071
67,0.71,269614.0,1276.91,3.251185774,12.74957542
68,2.43,171977.0,613.89,6.582170368,15.03231352
69,1.24,150290.0,1124.23,6.106496134,15.62639204
70,1.64,137072.0,1536.6,6.294543589,16.75610379
71,0.77,193526.0,2198.82,2.901084034,15.33482501
72,1.68,351673.0,796.37,0.714279918,12.41093502
73,2.48,124287.0,1195.15,5.388553863,16.80806224
74,1.48,256535.0,942.91,5.585764826,15.11676151
75,1.35,394583.0,906.26,2.796101955,15.23119241
76,1.93,157926.0,3878.27,5.619040641,16.42207254
77,0.72,125591.0,3255.65,3.319676929,14.94741423
78,2.06,246047.0,799.68,1.734205354,16.46932798
79,2.12,378602.0,1022.16,6.15323252,15.64098398
