,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2.91,388855.0,708.36,5.722901951,15.75646089
1,2.68,139149.0,991.66,2.285271772,16.18919852
2,2.43,124527.0,1953.29,6.36848955,14.84686817
3,1.11,350430.0,831.31,1.28863019,15.44403939
4,1.13,140641.0,1335.31,3.975045669,13.52721192
5,0.97,335665.0,2664.82,1.78891692,15.29637402
6,0.33,262746.0,1895.35,3.353855631,17.32384325
7,2.13,230298.0,2528.57,0.101796844,13.09257066
8,0.61,378544.0,2205.51,1.119283431,14.90013676
9,3.43,232294.0,2645.12,4.361964321,14.76260547
10,1.65,371646.0,1836.85,0.657910218,15.84881685
11,1.22,238930.0,1254.24,0.292950359,17.35442738
12,2.29,155147.0,1166.95,2.517056813,16.25841158
13,1.68,131839.0,2318.1,4.145230708,15.40903519
14,1.44,277409.0,1680.01,3.534292064,15.4253922
15,0.8,336413.0,1320.8,6.992331058,14.28639534
16,0.78,159518.0,2784.83,3.962221102,17.49499801
17,0.96,265937.0,2136.82,6.075284607,18.35709593
18,0.75,258092.0,2379.97,3.482825478,15.20521204
19,1.88,135438.0,956.38,2.660511185,16.15850561
20,1.56,373611.0,2491.16,0.264228774,15.31522573
21,1.83,365821.0,1331.54,1.714471621,15.03069579
22,0.78,353571.0,1698.91,3.724073272,13.75956346
23,0.56,261441.0,1534.11,0.946010373,12.58263754
24,1.93,225274.0,1905.08,3.340120624,16.71351061
25,1.95,165945.0,1504.82,4.824959304,16.45459863
26,2.19,361927.0,2941.32,1.906843025,13.7413252
27,2.14,137756.0,1402.08,2.510271502,15.72266842
28,1.73,117054.0,2049.19,4.626413671,11.2583727
29,0.55,144067.0,2580.66,2.22983458,17.44346721
30,1.22,252101.0,1451.44,4.827137299,14.90829322
31,2.09,159482.0,1358.08,5.477297728,15.69874913
32,1.69,251408.0,2352.84,0.977793523,15.4829672
33,1.79,374383.0,2064.43,1.903575711,14.77841079
34,0.52,256733.0,1315.36,1.914336182,13.99861235
35,2.06,145841.0,2958.68,1.034525628,15.52903331
36,2.03,253165.0,2441.22,2.913756588,14.98734982
37,0.85,261407.0,586.86,6.835002284,15.2334262
38,1.13,365507.0,1716.15,2.227511212,14.81288797
39,0.96,266620.0,1222.72,2.061109785,14.45962146
40,1.57,362918.0,2047.92,1.700138335,11.9852537
41,1.09,138543.0,2512.1,1.631790801,16.05398372
42,2.75,223552.0,2344.1,1.888287603,14.78049482
43,2.49,260985.0,1597.34,1.080578511,15.5023761
44,0.82,370197.0,3395.52,4.919088014,14.77922334
