,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.27,246068.0,3648.11,3.632539917,15.71444799
1,0.95,135167.0,702.51,0.682366607,14.25883654
2,1.2,79772.0,611.96,1.047897655,16.23074501
3,1.14,237671.0,993.21,3.027608753,15.63788522
4,1.34,158843.0,1965.63,6.763738304,18.65545647
5,1.35,113330.0,905.71,3.522480617,16.08384945
6,0.87,358764.0,3659.03,0.317758907,15.80338954
7,1.11,111499.0,850.34,4.359225259,16.33832505
8,1.99,156946.0,586.86,3.058647292,15.87949458
9,0.66,389954.0,1566.18,3.83560618,15.97083834
10,0.67,157346.0,2585.5,3.113631713,16.62269138
11,2.4,351079.0,2412.37,5.630829669,15.65895945
12,1.41,133366.0,1442.38,6.448231973,15.48459196
13,1.48,155432.0,1305.14,7.569354786,17.62271465
14,1.1,158130.0,1465.35,4.714367501,14.10267304
15,1.71,347132.0,893.56,1.223107976,16.26136182
16,1.21,359777.0,892.13,4.230019705,16.64722263
17,0.55,137483.0,1385.97,2.065376165,14.31043294
18,2.41,241551.0,1099.38,6.422092265,13.7810104
19,0.97,145354.0,1612.56,4.578866083,17.11381811
20,1.08,143867.0,1112.1,3.855250582,15.61738061
21,0.84,139791.0,1285.6,6.28624531,13.2827682
22,2.06,105270.0,1434.54,4.542867843,15.44819783
23,1.36,245141.0,3775.23,4.867157019,15.98874637
24,1.39,304587.0,1160.73,3.691055481,16.99068863
25,1.61,375934.0,731.65,3.260392396,16.16383961
26,1.79,145514.0,4030.35,3.592328393,13.95777985
27,1.72,352530.0,1953.99,0.622819923,13.7431386
28,1.32,120508.0,1365.58,4.889057175,16.34349778
29,1.09,121477.0,890.8,6.165304038,15.78965018
30,0.67,135391.0,3139.49,3.160385306,13.26946684
31,1.4,252574.0,2069.24,2.542004529,15.93683539
32,0.98,376136.0,3706.52,4.214130144,15.98512048
33,1.07,142540.0,1992.9,4.390487233,13.40010977
34,1.35,110433.0,1319.01,1.914391988,16.82066893
35,2.01,127956.0,1212.27,4.634740301,16.54513084
36,2.69,341874.0,2768.37,2.738783574,14.14875286
37,1.08,361212.0,1386.37,4.695548922,17.57968464
38,1.28,132206.0,658.83,3.328915833,16.44249535
39,0.79,123228.0,1147.75,6.530195077,17.56074684
40,1.95,257891.0,929.14,6.038671555,16.40219188
41,0.73,79772.0,586.86,1.781792439,13.58230059
42,1.24,139256.0,1932.91,4.032558101,13.70746527
43,1.31,131415.0,894.5,4.595130985,16.66232805
44,0.93,117276.0,677.67,3.111403749,15.56822852
45,0.81,259576.0,2091.09,3.505527978,17.17517282
46,0.96,124566.0,1984.34,4.087232373,15.57265968
47,0.93,253513.0,686.03,2.180565212,15.53222345
48,1.11,148364.0,1849.82,6.108399851,16.86353695
49,0.98,356929.0,1074.15,1.733583447,15.69262308
50,2.19,137767.0,1632.32,0.044889727,11.29305953
51,0.58,151589.0,3151.82,6.608146242,18.07326892
52,1.07,118874.0,1635.72,0.831328586,16.05505725
53,0.89,241945.0,2343.35,2.756570915,16.01853251
54,1.98,244550.0,2173.94,5.480342404,16.81340581
55,1.1,135250.0,1212.68,3.403362482,19.00925026
56,1.17,339350.0,2311.8,5.155760183,16.5905435
57,0.62,217780.0,1160.52,2.875571603,11.86748673
58,2.64,141348.0,1231.4,4.969605333,16.99864799
59,1.3,154932.0,903.1,2.235756249,12.82952845
60,0.52,368996.0,2093.54,6.822725616,15.99158678
61,2.65,128429.0,3519.21,3.294829432,15.22106877
62,1.66,128572.0,1556.11,1.846409107,14.8005478
63,1.3,101133.0,2273.96,5.30167074,16.70241427
64,0.94,116743.0,1587.66,5.835202427,16.94647998
65,1.2,120409.0,607.51,0.647362844,16.17047188
66,1.23,131536.0,723.07,4.870313502,16.94005767
67,1.29,227143.0,1179.81,1.431048915,14.25138807
