,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.08,284,120613.0,1811.0,3.948089799,15.31073442
1,1.73,434,285869.0,2513.07,0.404131103,12.76330907
2,2.65,499,265887.0,1511.27,6.686218409,16.00361284
3,1.21,440,165780.0,1399.17,1.175013994,17.8460991
4,1.0,489,159092.0,2274.05,5.247527589,17.30883297
5,1.29,483,159452.0,1819.76,7.531440746,16.40855
6,1.62,398,355074.0,1140.19,2.451529063,15.32977808
7,2.52,1152,247329.0,2948.72,4.35828137,16.05265096
8,2.53,303,205797.0,3350.9,5.8528066,13.09342079
9,1.11,837,118393.0,2219.09,6.21553981,17.64325588
10,2.52,431,352183.0,3140.94,5.395334867,17.89882171
11,1.32,696,243531.0,1273.86,6.776948228,11.73071796
12,1.25,396,238580.0,2089.08,4.089611487,13.48605785
13,1.61,1143,121825.0,941.28,0.645844682,12.43431166
14,1.56,840,136034.0,5006.9,5.098615468,16.3895555
15,1.86,839,282168.0,2337.39,7.144005836,15.65109567
16,1.96,1147,240465.0,1904.34,1.47617668,18.6300583
17,1.11,1192,296459.0,3810.47,2.384583888,17.50717956
18,2.83,829,125885.0,2880.14,2.458244793,16.60118846
19,1.54,424,139520.0,2290.24,6.172387447,12.1558313
20,0.94,854,260680.0,2786.79,5.379892372,18.11170538
21,0.54,449,188182.0,1203.55,5.855691108,17.32583628
22,1.2,823,377493.0,3762.47,3.560810984,14.51002361
23,2.76,1116,359174.0,2652.78,0.935431617,16.01339259
24,1.59,825,271711.0,1974.11,6.043160929,17.91427117
25,1.71,467,155052.0,798.34,8.39822976,18.46309878
26,2.34,785,469473.0,1981.24,6.30527975,13.31668259
27,1.69,494,149161.0,2331.52,5.491816799,16.05182672
28,1.39,420,166106.0,1292.93,5.946243428,16.83820273
29,1.57,278,155755.0,2620.5,4.130892667,15.26424673
30,1.73,407,153023.0,1963.9,4.022799736,17.77599211
31,0.73,1200,119425.0,1160.0,7.530760681,16.34859793
32,1.39,1180,273116.0,2776.08,1.959155509,16.75878862
33,2.82,1157,281639.0,1962.2,2.501915708,12.07967639
34,1.29,339,151258.0,2431.14,6.744401631,18.55046605
35,1.47,808,238536.0,3586.09,6.242817733,16.93495453
36,1.72,1146,137186.0,2463.45,1.204580647,15.3632409
37,0.46,418,154584.0,832.84,7.685341532,17.19589544
38,1.16,402,137276.0,4386.33,5.380801656,14.61367816
39,1.94,1104,125282.0,909.16,1.573108246,12.57881107
40,1.22,421,255668.0,2139.28,6.854511269,17.04411965
41,1.08,401,126930.0,586.86,6.818373955,17.65395001
42,1.38,457,139847.0,822.84,4.207781875,17.03122638
43,2.16,639,142451.0,924.14,7.270766275,13.97897569
44,1.29,1137,144669.0,2217.38,7.181018499,16.33507961
45,0.63,467,180785.0,690.49,7.26533662,19.17408473
46,1.62,360,274604.0,1521.38,5.443448142,17.55521693
47,0.9,1017,153661.0,847.7,6.907090584,14.54495586
48,0.86,821,141805.0,620.66,3.955690803,19.22890314
49,2.5,1179,185246.0,2185.48,2.244154021,18.25214662
50,1.92,1171,238962.0,2428.2,1.982494703,13.68499583
51,1.59,385,146476.0,3280.73,5.439798645,16.33161383
52,0.52,415,259736.0,718.5,5.160181332,15.80996958
53,0.78,460,139743.0,1830.1,6.932828159,16.78931204
54,0.93,357,141656.0,665.24,4.657473289,18.11643558
55,2.67,1143,255317.0,3953.21,2.194663349,15.50543281
56,0.88,1177,193451.0,1230.51,5.937980868,14.17265926
57,0.82,804,147927.0,1918.44,3.600326051,15.95458057
58,1.98,814,225083.0,1530.83,1.831037838,12.79674398
59,1.49,446,377894.0,3772.51,3.84244124,17.18402579
60,1.09,431,161224.0,3754.37,2.918814246,16.36442566
61,0.66,1225,132507.0,1353.88,7.09845906,13.86866989
62,1.45,1217,141244.0,2040.98,5.547599829,17.71465585
63,1.64,396,391628.0,606.8,8.579391481,16.71924262
64,2.1,417,156629.0,645.89,8.363711718,18.95231277
65,0.88,698,129115.0,656.8,5.229619167,16.66015028
66,1.16,1178,360651.0,2019.66,5.901099956,15.90740073
67,1.22,383,368699.0,1438.15,3.028304237,13.17994277
68,1.05,449,132104.0,1896.79,7.480108289,17.02173653
69,1.56,331,138931.0,3369.82,2.188290491,13.96217841
70,1.27,987,166430.0,1838.3,3.195744781,18.96770578
71,1.51,1146,360416.0,645.43,7.231833907,16.08116982
72,1.51,1176,262596.0,762.98,4.046540716,17.50982963
73,1.5,778,244054.0,2088.39,6.443589659,14.9506293
74,1.42,813,138475.0,1316.6,7.435694243,17.27976206
75,1.14,334,240889.0,2997.91,1.630807461,17.18666754
76,1.52,663,126793.0,1822.32,5.564238112,17.36138654
77,1.34,794,244826.0,4603.48,1.289275488,15.79489001
78,1.48,840,240625.0,1331.53,4.619220266,15.19670511
79,2.68,445,128662.0,1873.82,7.005089843,17.65454745
80,1.75,1170,210325.0,1444.31,0.816446892,18.45173467
81,1.08,1110,248978.0,711.22,6.535252971,16.4777557
82,1.48,811,333870.0,4988.73,3.985193291,16.50891878
83,1.66,699,360287.0,2786.61,6.901104978,17.14420726
