,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2.25,501,252903.0,1529.54,1.880457963,16.30856598
1,1.65,859,384447.0,1930.93,5.166142245,16.90056182
2,2.18,809,350416.0,856.22,3.094053315,16.46917589
3,2.03,735,78065.0,3015.62,0.707046411,16.9659333
4,1.0,475,160640.0,1617.65,2.235645212,17.20549165
5,1.45,784,111899.0,2783.12,4.78841381,16.04426399
6,1.5,1197,376582.0,2052.93,3.288189248,13.29007921
7,1.32,465,113826.0,586.86,5.656878564,16.32064711
8,1.42,1177,381808.0,5006.9,2.558041569,17.1242863
9,0.58,501,178864.0,586.86,6.665729884,18.1559466
10,1.04,1174,125219.0,1966.71,2.519904961,18.73962141
11,1.41,487,372602.0,1280.32,3.274812154,16.656438
12,4.04,727,124320.0,586.86,4.436558664,18.34676963
13,1.67,1247,375557.0,980.93,1.5826062,15.45340824
14,1.59,804,266315.0,3100.8,6.119979078,16.38313357
15,1.62,388,125241.0,919.86,2.330554781,17.61261037
16,1.2,904,146345.0,1918.88,2.667995451,19.45183242
17,0.86,436,276590.0,3647.18,1.788116999,15.44901458
18,1.87,390,246787.0,1143.16,5.398372977,17.77593686
19,2.27,452,125667.0,1090.52,1.536418068,16.4402276
20,1.54,1179,262930.0,4118.37,2.563438843,16.47324221
21,1.58,1143,279633.0,2066.02,1.604876009,16.28690562
22,2.49,840,120197.0,2571.59,3.943298918,16.33758205
23,1.54,841,253409.0,1491.28,6.350106866,17.28402192
24,1.83,400,135313.0,2346.6,2.468812723,15.08248439
25,4.14,766,342995.0,2994.86,4.888602541,17.52935717
26,1.78,486,163206.0,1602.14,5.359238701,16.19391441
27,0.87,1202,377289.0,1156.37,3.176384095,15.76170186
28,1.15,1145,365260.0,4992.49,1.352377003,16.48453272
29,1.8,1203,100072.0,1019.26,2.53000278,18.19114598
30,1.46,495,469473.0,2016.34,6.810996191,16.82548724
31,2.29,801,382258.0,823.19,2.200805309,15.46108744
32,1.65,744,334739.0,1021.11,3.259039744,17.07263761
33,2.22,876,154140.0,1217.6,7.228754678,17.29687176
34,2.8,367,348106.0,688.18,4.887952444,16.41197871
35,1.11,450,248407.0,2879.65,2.169145646,17.12580735
36,0.75,1194,253340.0,2321.72,4.589448081,17.20466585
37,1.3,748,326442.0,1622.11,5.588319918,15.38193143
38,2.34,461,136590.0,2304.0,5.065492406,17.09915601
39,2.58,1132,119282.0,1662.79,3.047758029,13.96368439
40,1.16,1232,145040.0,1103.63,3.539190295,18.62854906
41,1.49,303,370013.0,1981.17,1.267493077,15.11841055
42,1.6,475,298791.0,1570.4,1.69397777,16.85453308
43,1.46,746,233471.0,1781.75,2.991544983,15.67738003
44,1.63,1172,340948.0,1338.34,1.320995419,15.29539857
45,1.38,1391,376497.0,2082.16,3.608147852,15.87686402
46,0.99,761,136104.0,1923.28,2.6293708,15.77165642
47,2.35,800,416575.0,1788.92,0.597732265,15.41363779
48,2.12,1191,262176.0,2270.39,2.268774735,16.03094735
49,1.43,821,380120.0,3758.25,4.984875832,15.60185114
50,1.35,1096,373895.0,949.05,3.495597698,16.20953448
51,3.27,474,143026.0,1455.81,3.365247738,15.86335886
52,0.63,1163,253738.0,2408.2,6.173921719,17.63060264
53,1.69,845,440393.0,1597.1,6.238418274,15.93624692
54,0.7,475,344113.0,2318.84,3.394267638,16.59919903
55,1.11,777,135395.0,2024.29,4.895336736,15.77881589
56,2.5,416,248575.0,1630.26,1.232644038,16.11966595
57,0.71,753,363620.0,1085.45,2.724805881,16.59575681
58,0.47,520,158080.0,3451.18,2.788757905,16.87287736
59,1.23,396,252691.0,1640.02,1.682190234,16.66132915
60,1.34,461,372238.0,2354.57,7.009736998,17.24982175
61,1.08,795,267442.0,1184.6,4.359979672,15.63192616
62,1.58,471,152513.0,797.68,4.208314023,16.92494158
63,0.51,1123,167630.0,1993.78,5.389963789,16.39360436
64,1.4,842,354629.0,2090.76,3.728370541,15.60211889
65,1.16,525,291919.0,1786.22,4.536088982,16.1696107
66,1.57,399,142268.0,1712.2,4.164109874,17.14016749
67,1.19,525,143824.0,795.47,0.734023997,16.40498022
68,2.06,823,274682.0,3629.44,3.274963991,17.50513705
69,1.43,823,266049.0,1659.83,1.519467565,18.07563584
70,0.94,1122,141533.0,2853.07,4.073008642,16.01818428
71,0.99,428,127038.0,855.27,0.923291139,16.30883967
72,1.78,1104,349632.0,1687.01,1.185885484,15.62775725
73,2.63,397,110745.0,1268.26,3.531333118,15.84054603
74,1.55,780,342701.0,2077.7,2.769517242,13.65403464
75,0.85,484,374381.0,3694.15,4.640181153,16.09104644
76,1.64,444,262810.0,1673.71,3.974050231,18.07587297
