,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.94,79772.0,1242.31,3.749210518,16.49066404
1,3.14,118234.0,1513.34,2.126469789,15.658731
2,2.62,94544.0,1462.46,3.932131319,15.73947156
3,2.06,254605.0,1752.04,3.383300516,15.80427118
4,2.87,351050.0,2044.51,3.253797864,15.78357657
5,2.31,226149.0,1533.65,1.959269936,13.30015839
6,2.07,249698.0,2494.4,5.633235406,16.79825311
7,1.75,368720.0,2522.2,3.229579171,15.55163401
8,2.09,371101.0,2086.47,4.473785679,16.26372218
9,0.97,364100.0,3812.87,4.514150611,16.44268063
10,0.94,338182.0,4598.81,5.804412993,16.4959954
11,1.07,254374.0,1354.09,0.471227575,11.96463063
12,1.43,187821.0,1742.78,4.607127617,16.73091475
13,0.52,374766.0,1969.93,3.655795991,15.88904268
14,1.46,358329.0,4345.25,5.976934827,17.25065024
15,1.97,255209.0,2393.47,4.145978794,15.10747057
16,1.88,365389.0,3790.86,4.847838392,16.20284081
17,2.29,361033.0,2226.04,1.340534283,13.37439978
18,2.28,346411.0,2007.77,2.701774508,15.13627979
19,1.72,133151.0,1784.69,7.018837339,17.74187934
20,1.22,232832.0,1332.99,0.900459832,13.32827128
21,2.67,136784.0,1454.54,3.687031338,16.77154085
22,2.94,365380.0,2605.18,3.24483477,15.16629904
23,1.99,227787.0,1389.07,1.894491438,13.66538188
24,2.23,371822.0,2344.25,2.968209545,16.16295009
25,1.31,372125.0,2069.67,1.3529029,13.12267423
26,0.84,260996.0,1510.03,3.471903057,16.19587723
27,0.61,376956.0,2515.19,3.947021217,15.88447726
28,1.54,256212.0,1778.39,2.660974497,15.78541943
29,0.87,260724.0,3513.17,5.089803563,16.69486222
30,1.36,187726.0,949.61,4.481681818,16.89470785
31,2.12,79772.0,1357.32,2.915433651,14.93892626
32,1.76,144003.0,1468.93,6.143168647,17.23889575
33,0.98,379959.0,3149.5,3.6614918,16.16086599
34,1.71,256625.0,1592.56,3.49822042,15.49346815
35,1.65,138540.0,1235.17,2.285762451,15.39755734
36,0.54,252438.0,1316.13,1.150017178,13.26649057
37,2.46,132300.0,1572.06,4.167301801,16.58697527
38,0.67,256178.0,1393.84,3.872828588,16.36278622
39,1.85,380010.0,4380.82,3.311755615,16.01866434
40,0.74,270277.0,1990.77,4.216238683,16.31981857
41,1.23,269729.0,1213.16,1.303243072,13.90358283
42,0.47,371295.0,2285.25,1.35301022,14.87527029
43,1.24,353983.0,1883.85,2.024242687,15.52538595
44,0.59,167174.0,1094.6,3.914913254,16.64056222
45,2.44,343529.0,2035.7,2.657899163,15.17767012
46,3.03,79772.0,1581.54,4.556061629,16.46551255
47,1.46,176680.0,2037.71,6.758678171,17.4178656
48,0.83,272552.0,1545.5,1.164025453,13.21917532
49,0.38,385710.0,1889.54,1.596676168,13.92304659
50,1.72,241709.0,2420.08,5.379109397,16.75807781
51,1.1,156357.0,1273.74,4.091295364,16.99069395
52,1.94,119572.0,1358.19,2.394363252,15.01017531
53,0.9,255587.0,982.44,4.487221466,17.27442406
54,0.81,383663.0,1843.22,1.799751021,15.23179436
55,1.79,253555.0,2087.69,4.925922822,16.71005398
56,2.32,360380.0,3123.88,3.421865811,15.6710929
57,2.36,145293.0,1250.52,7.344105874,18.2468233
58,2.15,122343.0,1141.4,4.519168612,16.50058368
59,2.45,346520.0,1898.52,2.275145979,15.24194961
60,2.03,247377.0,1322.03,2.29321541,13.6828881
61,1.82,377444.0,3775.46,5.019312185,16.13311324
62,1.43,363479.0,1847.61,0.974189424,12.86834176
63,1.28,374159.0,3833.24,5.360679213,16.89911008
64,0.67,170905.0,1817.04,2.914336698,15.74297895
65,4.33,360644.0,2430.12,1.385646921,13.59444101
66,1.5,231795.0,1853.44,4.280528273,16.53197852
67,2.3,246133.0,1387.93,2.927868874,15.16444648
68,1.46,255260.0,1711.36,1.390195828,13.12151891
69,1.6,141542.0,1766.52,4.974306705,18.0551325
70,0.65,270896.0,1325.57,2.036378772,14.09745447
71,0.91,352998.0,2552.29,2.994016757,15.66348088
72,1.71,373439.0,2419.34,1.869169473,15.1921965
73,1.28,244999.0,1232.24,0.609900213,14.68117309
74,0.88,397939.0,2688.89,3.343205389,15.55982637
75,2.45,247439.0,2333.52,4.265937318,15.27715854
76,1.57,363306.0,2436.61,2.770874953,15.42677618
77,1.11,174228.0,1305.72,3.213457468,16.83371088
78,0.99,383998.0,2442.8,3.547130686,15.52082593
79,1.37,255645.0,1718.14,2.598100876,15.91254226
80,1.74,151377.0,1505.31,3.977295306,15.92312501
81,0.78,166178.0,1312.14,3.109137299,16.26859353
82,0.52,253029.0,1206.03,1.599738214,15.13353066
83,1.64,253804.0,1513.57,1.935813041,13.93925587
84,1.69,245035.0,2253.98,5.146897763,16.92121223
85,0.93,172504.0,1415.66,4.173940958,16.35007459
86,1.27,199258.0,1849.18,3.678167766,16.25915262
87,0.78,196444.0,1173.12,4.307554206,17.37198019
88,1.35,251300.0,2434.66,5.972868252,17.84944433
89,3.56,343369.0,2398.84,1.290599664,15.08108512
90,1.66,233252.0,1724.82,0.854553717,12.413525
91,2.08,364044.0,2544.72,3.556983862,15.5355802
92,2.66,121457.0,789.23,3.223600688,16.0029055
93,0.57,144392.0,1225.31,2.173190765,14.64599428
94,0.9,384647.0,2242.69,3.384872208,15.88974412
95,1.74,243543.0,2004.09,7.427486925,16.64187007
96,0.69,137205.0,978.48,3.874178735,15.12841234
97,1.8,134320.0,807.49,1.348453632,13.60307617
98,1.88,233527.0,3622.8,6.484104798,16.02593384
99,0.93,361412.0,2225.84,1.353302537,12.86609809
100,1.6,362069.0,1571.16,2.630686361,15.0229053
101,0.94,275319.0,2732.15,5.24442119,16.37521988
102,1.25,249363.0,2259.24,6.211049678,17.55304664
103,0.64,269131.0,1980.51,3.570174076,15.93114395
104,0.89,384482.0,3324.48,3.990804778,15.84296656
105,1.37,133270.0,1296.9,1.983623347,15.33970395
106,2.21,343960.0,2167.15,1.576675267,13.71989091
107,1.29,368320.0,1937.79,2.164114028,15.48615978
108,0.7,357144.0,2399.57,2.004219517,12.11327314
109,1.08,275457.0,2101.78,3.703928181,16.1704029
110,1.98,341634.0,2028.3,3.677406518,15.03479832
111,0.83,356481.0,1775.84,2.123378636,13.08706885
