,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.31,261110.0,2449.14,6.771236338,17.55350086
1,1.39,135721.0,1477.1,1.949554397,13.98987986
2,1.42,120205.0,586.86,2.227336956,13.94658543
3,1.77,258038.0,1658.33,4.208514605,16.41722562
4,0.63,162915.0,1613.93,4.753069357,16.95299381
5,2.1,255111.0,2110.42,4.979742996,16.37504579
6,1.98,258335.0,2284.97,6.190821087,17.04509153
7,2.05,271686.0,2163.41,6.139947711,16.68697495
8,1.63,258503.0,1940.61,6.189234692,16.39582554
9,1.17,357574.0,2133.86,2.633712629,14.9807008
10,1.64,221496.0,2640.9,6.480326964,17.4368215
11,0.73,395132.0,2580.67,3.716598713,15.89901193
12,1.39,153785.0,1497.26,2.175024034,15.72050073
13,1.1,350972.0,3133.22,5.741474727,17.04495585
14,2.78,140494.0,1855.32,5.771170523,17.36289094
15,2.57,351457.0,1857.68,4.391427257,15.89140522
16,0.69,254176.0,1348.25,0.84254113,14.34687197
17,1.18,358752.0,2545.21,3.4679294,16.23913509
18,0.69,368492.0,1443.33,1.52706095,13.3933414
19,2.29,256772.0,2546.67,4.676820376,16.03668112
20,1.27,122581.0,1283.43,3.836852456,16.81748665
21,2.3,361513.0,3598.26,4.248834351,16.13709735
22,1.01,356460.0,3787.29,6.140495495,17.18824231
23,2.29,238701.0,1083.09,2.126022928,15.42608201
24,2.5,235443.0,2216.91,5.991461113,16.3560031
25,1.22,153822.0,1135.01,7.231937026,17.2509468
26,2.07,230872.0,1299.61,1.836812835,14.75451723
27,1.05,384836.0,1806.68,2.078625415,14.17763338
28,1.51,343950.0,2435.46,4.14437687,15.69641208
29,0.74,259492.0,1817.89,5.07575507,16.54038262
30,1.66,114236.0,1293.04,1.65158918,14.47960008
31,1.45,344272.0,3309.68,4.306630347,16.04131693
32,1.21,140850.0,633.56,3.910453081,16.3819074
33,1.44,348079.0,2378.88,3.308883135,15.9634963
34,1.35,137318.0,1313.55,5.206578545,17.78421776
35,2.62,227861.0,1549.3,2.085653903,13.71164321
36,1.84,229069.0,1788.23,1.609458165,13.17615715
37,0.52,380062.0,2457.71,4.21575846,16.26092599
38,0.96,367368.0,2498.6,6.956215431,17.45712347
39,1.49,369971.0,2259.47,0.382627326,13.24552982
40,2.83,138119.0,1314.63,4.948031047,16.65725496
41,1.05,370609.0,2994.3,6.99353406,17.02500219
42,1.54,254284.0,1883.98,4.969743711,16.56963483
43,0.72,367118.0,1394.04,0.650508959,12.0113029
44,2.31,365817.0,2331.06,3.271350364,16.02079211
45,1.53,266512.0,3520.2,5.790686495,16.41784722
46,1.63,230389.0,1282.17,3.502870202,15.86211641
47,2.19,242147.0,1705.67,1.444094646,12.88010061
48,1.77,253004.0,1104.9,1.926688707,15.69990673
49,2.27,251857.0,2335.76,5.875970065,16.66410224
50,2.02,362592.0,2522.45,2.473210787,15.88821716
51,1.46,365209.0,2396.18,2.155094017,13.8422251
52,1.52,140507.0,1180.28,1.993350741,14.8189535
53,2.34,356492.0,2195.29,2.156335937,15.54687353
54,1.33,245536.0,2862.58,6.402995026,16.57746479
55,1.73,359728.0,1822.35,1.100668308,15.12495274
56,2.52,123288.0,767.59,5.884944854,16.32488278
57,1.91,139201.0,1412.34,5.511483955,17.0870493
58,0.59,151766.0,1083.19,2.830527994,15.74147758
59,0.59,141300.0,1119.11,2.699698572,15.66149622
60,0.64,154020.0,1035.19,1.298424391,13.25381728
61,0.96,362382.0,3492.29,6.210333933,16.49619302
