,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.9,776,241861.0,1855.85,5.96619492,17.56556004
1,1.73,788,255267.0,1427.58,2.847573149,15.49453927
2,1.64,417,123464.0,718.96,3.267987356,15.08815284
3,2.17,753,126952.0,1121.23,3.211079996,15.36651496
4,2.0,1104,327996.0,2540.29,5.62474158,16.7577005
5,0.91,1178,368750.0,2042.86,1.405358193,13.66808287
6,1.7,771,240848.0,1580.59,1.031924009,13.29777244
7,0.5,1147,441780.0,1852.53,1.69905373,13.02482708
8,1.32,411,81264.0,1394.3,2.040511317,13.6800721
9,2.4,789,250497.0,1923.35,4.915787686,16.10157766
10,1.77,1142,361169.0,3381.47,5.467388282,15.86065068
11,2.26,761,232350.0,1437.12,1.918589735,15.35424512
12,0.88,843,265751.0,1293.64,1.550943204,13.48114145
13,1.42,1170,364914.0,1992.91,1.169257955,13.13370071
14,1.1,375,114492.0,1119.47,1.851070476,15.16869238
15,0.29,788,252634.0,1350.35,3.109582643,15.42839689
16,0.71,1164,363706.0,1921.93,0.932093452,12.89785504
17,2.95,788,209307.0,2991.15,6.099912711,15.84084126
18,2.87,387,124373.0,1252.95,4.206043892,15.02651652
19,3.17,767,124449.0,1294.41,4.236367875,14.26340716
20,0.53,797,253033.0,1454.61,0.596202333,12.56465139
21,2.29,793,244588.0,2404.66,6.248045153,18.10435856
22,0.73,756,236598.0,2151.46,5.992848108,17.48225487
23,1.81,459,129605.0,1489.01,6.905443405,17.7579774
24,0.66,847,273810.0,2559.04,6.732203712,16.64243205
25,1.12,1190,375910.0,2057.17,1.299265385,14.50595333
26,1.51,823,265927.0,2713.75,5.472195561,16.84807022
27,0.63,477,151734.0,1299.58,6.02366175,17.40421983
28,0.9,836,267350.0,1699.17,2.426715679,13.35845458
29,1.68,755,226113.0,1565.0,2.238563323,13.78985877
30,0.94,849,386192.0,3184.62,4.32452203,16.98316599
