,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.66,137712.0,789.08,2.885507751,15.28035086
1,0.54,381305.0,2449.67,1.826477098,13.3568051
2,1.14,336957.0,3571.84,5.902705555,16.79563659
3,1.37,144175.0,851.67,6.322409967,16.13770321
4,0.58,172368.0,894.87,4.520994096,17.12023506
5,1.88,246647.0,1429.28,0.906493425,12.67321086
6,1.84,252917.0,1595.31,5.295139985,15.93795039
7,1.4,361248.0,1981.03,-0.004532266,13.6656042
8,1.7,370522.0,3376.69,4.480815667,15.4962588
9,1.47,274241.0,2544.12,5.652814386,16.7392709
10,1.17,268248.0,2163.64,6.393899631,16.54855531
11,1.16,137766.0,1899.33,5.816566912,16.17940861
12,0.92,249557.0,1673.04,0.811053813,12.06110507
13,1.98,232904.0,1832.18,0.915037958,12.46615359
14,2.12,244306.0,2105.02,5.595288609,16.28348624
15,1.24,364066.0,1645.37,1.228642351,13.23638648
16,1.92,242680.0,1611.59,3.194384856,15.7735177
17,0.85,375742.0,1866.23,3.091928948,15.66974521
18,2.38,136511.0,1153.31,3.066281937,15.95713664
19,1.37,250999.0,2015.48,3.903495817,15.78549013
20,0.62,129221.0,613.89,2.527104849,15.47099683
21,1.7,131368.0,724.95,3.037186088,15.3936592
22,0.98,192601.0,1075.42,3.714110393,16.38244567
23,1.91,263013.0,1983.5,2.76106395,15.53396457
24,2.11,165920.0,2396.03,5.045312343,17.2260802
25,1.17,255923.0,2438.77,6.795678324,17.13761816
26,1.26,365523.0,3552.4,6.329167103,16.92157918
27,1.89,138731.0,1091.45,5.734740997,16.79972292
28,1.76,239998.0,1809.42,2.884581621,15.32706809
29,1.55,242256.0,1822.23,2.624990615,14.85728622
30,0.77,280291.0,1523.41,3.810252256,16.0954187
31,1.34,147889.0,977.31,4.029995319,16.69318329
32,0.92,384467.0,4366.57,3.67857164,15.82084226
33,0.99,275106.0,2210.21,3.724102593,16.3379835
34,0.75,385252.0,3392.06,6.988202217,17.62582459
35,1.09,259091.0,2486.65,7.11457176,17.25249148
36,0.96,370126.0,2885.25,2.256998713,14.79638285
37,2.54,128194.0,1500.81,5.658101213,17.15575283
38,1.62,236913.0,1704.82,3.164571036,15.71652988
39,0.93,373387.0,2077.38,1.687743126,12.71423304
40,1.83,256763.0,1548.04,1.798036098,12.90482257
41,1.95,104257.0,715.32,3.31635381,15.37253681
42,0.96,278740.0,2403.99,6.074324952,17.3641503
43,2.28,238918.0,2264.51,3.303058399,15.54207109
44,0.72,379489.0,2682.45,4.495347392,15.92513123
45,1.85,241817.0,2014.21,5.636227791,16.37640116
46,2.24,129214.0,859.72,2.001047166,12.96597336
47,2.62,146264.0,1650.18,6.023348867,17.58121526
48,1.16,377574.0,3978.58,5.982841565,16.9010404
49,1.25,253735.0,1333.0,1.662068301,13.54957241
50,1.55,219419.0,2343.3,6.141909655,16.65097036
51,0.89,278088.0,1963.05,6.992606104,17.25125126
52,1.87,362884.0,1821.47,2.333896187,14.98174718
53,1.23,290426.0,2361.66,6.102113845,17.06593109
54,1.2,143791.0,1023.78,0.634565481,13.29335617
55,0.98,257328.0,1591.89,2.487935741,14.07516647
56,1.75,134621.0,767.45,1.996722081,14.19549156
57,2.06,358501.0,1965.75,2.030583413,12.96240082
58,1.84,161189.0,1751.67,5.198893794,16.3324686
59,2.17,84065.0,872.1,1.990870276,13.54519108
60,0.8,144157.0,808.8,1.983594431,15.26003138
61,1.49,363139.0,3768.69,6.097654027,16.68508542
62,1.57,255932.0,1125.28,3.408885098,15.64299294
63,1.99,127235.0,1050.99,3.228453149,15.84256727
64,1.97,374951.0,3735.44,2.524100846,15.32971959
65,2.25,239687.0,2103.79,2.274753968,14.95705007
66,2.24,117262.0,891.87,6.23263077,16.56920586
67,0.97,371863.0,3414.15,6.227709605,17.30425227
68,1.28,152677.0,1309.84,4.282455574,16.54663514
69,1.13,268869.0,3500.41,7.084899116,16.51831253
70,1.63,151280.0,1359.84,5.839658828,16.93651005
71,1.24,108152.0,737.27,4.904239323,16.33439823
72,1.44,368931.0,3923.01,3.436645213,15.59152422
73,2.7,267579.0,2141.7,3.356537718,15.68109757
74,0.89,375458.0,3449.52,6.874009913,17.49352385
75,1.41,251156.0,1378.95,2.068282319,12.93833051
76,1.12,149504.0,1429.82,6.653176755,17.94474307
77,1.2,369114.0,3687.32,5.798341471,16.81993978
78,0.5,382852.0,4161.5,3.213896279,15.80717237
79,1.08,360887.0,1796.41,2.574947366,15.45328743
80,0.63,365901.0,3617.55,1.561393803,12.78794623
81,1.93,244935.0,1621.44,5.501613881,16.52134614
82,2.24,119845.0,701.62,1.557229924,14.80902559
83,1.28,270423.0,2811.5,5.513127782,16.78484567
84,1.52,367475.0,3028.8,5.496922699,15.91650334
85,1.93,343953.0,1840.56,1.656899936,12.26393669
86,2.79,351682.0,2562.33,3.913660956,15.88745292
87,1.89,239239.0,1703.67,0.65784137,13.22873797
88,1.23,368531.0,2026.99,8.131118517,17.60162877
89,0.72,126912.0,761.95,2.465051484,14.67139067
90,0.62,375178.0,2661.44,4.310052423,16.3804488
91,1.87,256239.0,3185.43,5.728312219,16.54430577
92,0.76,365289.0,2387.53,1.615339222,11.87546527
93,1.7,131774.0,1013.75,6.946471816,17.95506635
94,1.21,260663.0,2056.36,3.880000585,16.08866346
95,2.19,78065.0,681.85,2.25735129,13.52888666
96,1.73,129389.0,1061.91,2.877033753,15.33470878
97,1.15,369068.0,2273.09,4.763440879,16.75224921
98,1.18,379198.0,2509.45,6.07321586,16.64340121
99,1.62,241821.0,1448.02,3.641962989,15.9545869
100,1.19,162691.0,944.57,6.933524946,18.08976448
101,1.36,347461.0,1682.79,1.360740252,12.32700892
102,0.88,270510.0,2120.69,3.123266809,15.53131973
103,1.63,107737.0,1516.31,5.196106178,15.76633147
104,0.81,124892.0,860.01,2.012352823,14.65212293
105,1.96,252953.0,1943.51,4.885573627,15.5713277
106,1.81,155333.0,2340.91,6.193496627,16.92021217
107,2.67,107275.0,1034.1,5.704246543,16.50662302
108,1.04,164568.0,1146.53,7.260346789,17.93082619
109,1.91,253692.0,2715.7,5.523973818,16.40964096
110,2.07,347154.0,2248.33,3.485099441,15.34231998
111,0.45,133183.0,696.99,7.891906543,18.39233774
112,1.53,127571.0,776.37,2.073424412,13.80172616
113,1.17,362713.0,2069.24,2.120557204,15.0826661
114,0.83,262270.0,1485.42,3.908181936,16.73266059
115,1.84,138520.0,1465.51,3.774770453,16.33618019
116,2.23,120492.0,790.37,1.89178436,13.41183966
117,1.18,376739.0,1944.8,3.113931511,15.05391379
118,1.02,151157.0,1447.74,5.829135312,16.4377386
119,1.1,108048.0,613.89,3.468301229,16.17442936
120,0.86,260985.0,1024.5,2.985807383,15.62851781
121,1.21,366780.0,1656.09,2.273147223,13.62399657
122,2.05,125370.0,1375.72,4.327707039,15.95671909
123,1.92,128703.0,925.43,5.7891326,16.74351041
124,1.34,251377.0,2104.99,3.064762851,15.57809259
125,1.15,371901.0,2682.28,2.482371815,15.71115731
126,0.85,370350.0,3336.72,3.219595542,15.84748936
127,1.82,229838.0,1003.14,3.303959677,15.45484338
128,0.83,135959.0,613.89,3.285981552,15.58649749
129,0.95,374648.0,5006.9,4.126122756,15.65031584
130,1.22,364584.0,2745.89,2.905150073,15.73506696
131,2.13,232707.0,1666.98,5.198162493,16.10121031
132,0.92,381422.0,2471.63,4.806171727,17.08752593
133,1.0,143124.0,885.31,4.862725866,17.16325589
134,1.65,244319.0,1593.03,2.063301276,15.14442037
135,0.5,147438.0,947.35,1.967019851,15.20520477
136,1.45,246481.0,2226.19,5.530178723,17.26021431
137,2.13,253234.0,2521.93,6.486507734,15.98231035
138,1.45,251388.0,2194.21,3.980109814,15.9733551
139,0.49,353621.0,3588.94,6.467986505,17.32739977
140,1.84,241901.0,2503.73,5.240919097,16.91285316
141,1.18,262890.0,2259.82,3.44248525,15.55303004
142,1.61,274758.0,1689.79,4.54493992,16.42354775
143,0.87,376289.0,2344.72,3.298536695,15.58446153
144,1.86,248701.0,1423.11,1.963253433,12.84466517
145,1.78,142913.0,1698.02,6.603043623,17.75818206
146,1.88,248173.0,872.79,2.694323111,15.36519931
147,0.53,365319.0,1993.3,1.994601125,13.10101174
148,0.8,175634.0,763.81,5.973344436,18.37010561
149,2.07,128809.0,1143.9,6.710589154,17.95192232
150,0.86,364795.0,2107.18,2.951540715,15.65340226
151,0.86,344818.0,2858.13,5.789013221,15.84375186
152,1.39,109662.0,857.56,6.887206365,16.57118666
153,2.2,235219.0,2219.24,2.372069395,14.15354196
154,2.13,255423.0,1703.99,4.372803371,16.05579214
155,1.97,377662.0,3975.02,6.220667306,16.12553019
156,0.41,379848.0,2750.0,3.499391754,15.75018005
157,1.87,141779.0,1426.66,6.113083149,16.68671917
158,1.22,241863.0,1636.7,6.493848519,16.70581232
159,2.46,134293.0,931.82,3.597033387,15.53335351
160,1.43,148178.0,2047.72,7.089849505,17.95456945
161,1.39,242120.0,1595.54,3.745226829,15.74673817
162,1.74,232696.0,2389.68,5.885853741,16.86553956
163,1.34,143593.0,1471.43,6.131253541,16.66113503
164,1.68,217438.0,2225.75,5.041319544,15.83439742
165,2.05,253456.0,2303.14,5.115665361,15.39504838
166,0.93,373473.0,2676.19,5.308808438,16.67915618
167,1.17,117467.0,817.51,5.65932386,16.33671144
168,1.89,334387.0,2019.59,2.34571498,15.27099707
