,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.46,254501.0,2205.09,6.440940563,17.82960508
1,1.31,132255.0,970.62,6.893832516,17.26439641
2,0.66,151350.0,676.25,2.472385707,15.69271885
3,1.56,244395.0,1319.27,2.737308115,14.08598175
4,1.27,273122.0,2327.13,3.27702067,16.21004727
5,0.38,319591.0,2112.75,1.508120819,13.38396533
6,0.61,167328.0,1245.93,3.959382447,16.79322379
7,0.68,370300.0,2111.01,0.871289262,14.79918405
8,0.91,381058.0,2031.65,1.383143647,14.78816207
9,1.72,350564.0,2497.03,5.526756358,16.53823976
10,3.07,234050.0,2101.31,0.427209201,11.70084191
11,2.49,124946.0,1404.46,3.129888281,13.90312226
12,1.55,265601.0,1840.23,5.863568575,17.244837
13,1.13,283168.0,2395.1,1.474573013,13.59460815
14,1.09,257730.0,1610.32,1.470704988,14.98395591
15,1.77,151540.0,1502.67,7.339801142,18.6596174
16,1.52,128445.0,764.23,2.564858882,15.94341676
17,1.37,135096.0,787.48,5.890398195,16.161584
18,1.68,232431.0,1507.12,1.129324808,12.99521729
19,0.98,150326.0,704.53,3.618008,16.0051759
20,1.15,117306.0,662.77,2.266030126,14.13054157
21,1.03,151203.0,695.61,3.361663608,16.22153196
22,1.1,366568.0,2879.03,3.481620859,15.81381466
23,0.59,269894.0,1674.91,2.131170781,14.87407305
24,1.73,133718.0,1197.25,1.399374377,14.37874143
25,1.46,149370.0,1700.58,3.88450625,16.15659324
26,1.97,158963.0,1104.35,3.636162262,16.92844395
27,1.59,263401.0,1835.12,6.568088247,17.29926711
28,1.21,251737.0,2345.6,6.150909059,17.23636675
29,1.3,257019.0,2146.27,4.480531379,16.73569646
30,2.43,351641.0,3126.65,5.839705013,16.80891783
31,1.25,121764.0,1184.67,1.93494711,14.90659701
32,0.95,159706.0,1044.82,5.447140006,16.97337805
33,0.84,257748.0,2663.84,5.782225799,16.81330909
34,2.58,130393.0,738.33,2.61848632,14.96331392
35,1.87,130098.0,1500.49,4.747209183,16.26464715
36,1.82,239398.0,1018.95,1.76529788,12.92362201
37,1.3,368192.0,1951.33,2.810934671,15.16455515
38,0.96,157638.0,1463.23,5.331003732,17.77219021
39,1.79,245851.0,1872.86,5.683276028,17.12313585
40,1.25,368227.0,2349.1,1.153693357,13.23540603
41,2.3,368679.0,2627.16,4.877861678,16.38766488
42,1.67,241558.0,1959.11,5.413809146,16.36301138
43,1.97,145947.0,882.42,4.773050665,15.87427194
44,2.61,129609.0,885.72,2.619454872,15.44224024
45,1.54,248285.0,1834.22,5.902189911,17.26510784
46,1.95,135321.0,821.53,4.164365112,16.82169778
47,1.11,269300.0,1667.53,4.296057702,16.30656371
48,1.58,250423.0,1788.8,2.885719583,15.55102883
49,1.36,355158.0,1891.69,3.330938557,15.57427328
50,1.83,243109.0,1256.45,0.739518868,13.65936609
51,2.44,331218.0,2468.39,3.78368521,14.93014683
52,1.8,272293.0,2231.2,5.348545185,17.05490268
53,1.93,248422.0,1555.59,1.156212426,13.15156578
54,1.75,234133.0,1136.54,0.715869884,12.86134205
55,1.26,159337.0,2096.31,8.045320032,19.4925034
56,0.98,161653.0,1561.79,3.457325858,16.42584804
57,1.06,262320.0,1974.3,3.344455376,15.95308906
58,0.78,169508.0,1792.93,3.783774097,15.62575836
59,1.0,306169.0,2273.55,5.486341215,16.1420761
60,1.49,133660.0,678.06,1.428842329,13.86115751
61,2.95,386836.0,2389.82,3.459683126,15.83366269
62,1.77,356358.0,2385.7,0.540304558,13.08819384
63,0.48,265888.0,1705.22,3.976374704,16.66436434
64,1.53,254247.0,1515.35,3.579069805,16.19857269
65,1.62,264958.0,3274.78,7.064603404,18.44334539
66,1.07,142490.0,807.6,6.156417446,16.96417747
67,1.7,361432.0,1830.7,1.583681441,12.90637107
68,1.13,151673.0,1777.35,3.109889698,15.52869806
69,0.71,157531.0,785.48,1.782274192,15.3662893
70,1.1,157638.0,1148.55,3.501749822,16.20471698
71,2.67,239126.0,1765.9,3.732461885,15.56298217
72,0.58,258250.0,2644.93,6.260225392,16.81249077
73,0.95,152879.0,990.77,2.947072534,15.27720171
74,0.62,273332.0,2892.82,7.442660213,18.27408064
75,1.6,140884.0,623.52,2.422614869,15.72947236
76,1.83,242885.0,1213.55,1.86314083,14.01057669
77,1.66,252566.0,1400.21,1.157355053,13.6469676
78,2.0,368341.0,2757.69,6.184572601,17.54013364
79,2.36,371788.0,2563.61,4.707526285,16.14887672
80,1.38,147176.0,791.0,3.107684003,15.6946122
81,1.88,248980.0,1216.01,2.700580495,13.98688883
82,0.91,267635.0,1820.29,3.682868708,15.73315358
83,1.76,161967.0,2360.64,6.840561767,18.50898827
84,1.67,264639.0,2325.35,5.710628299,17.1677729
85,0.48,382242.0,2259.51,2.040144005,15.15713118
86,1.36,378928.0,2124.64,1.759399834,13.67510866
87,2.25,234246.0,1807.4,2.652844589,13.50730664
88,1.8,144760.0,788.09,1.811665186,12.96429469
89,1.81,257862.0,2174.03,6.854607235,17.94466918
90,0.73,274740.0,1989.73,2.520437584,15.02986698
91,3.11,269227.0,2236.66,1.710566432,12.63402821
92,0.92,374337.0,2021.99,2.86624948,15.41855302
93,1.89,224441.0,1735.9,5.518951374,16.75432478
94,0.98,148414.0,1366.67,5.391377231,17.05058541
95,1.76,130953.0,1357.04,2.310829672,13.59838844
96,1.67,138448.0,1181.6,3.108054488,16.08856125
97,1.57,255388.0,2197.8,3.089088272,14.1593282
98,0.99,160079.0,1115.45,3.930745643,16.61527575
99,1.63,265642.0,1448.61,1.40641852,13.78087462
100,0.85,383746.0,2885.86,4.73550955,16.4275817
101,1.23,152757.0,1736.67,4.254714309,16.14625945
102,1.71,246077.0,1259.52,1.958836736,13.48268705
103,1.88,261508.0,1724.52,3.63887361,16.44456667
104,2.3,135115.0,739.64,1.80460507,13.65771239
105,1.08,364317.0,3102.49,4.184204384,16.17922948
106,0.77,177129.0,1362.75,3.306674553,16.03022023
107,2.79,132205.0,1797.24,1.887572218,14.72378123
108,1.84,130155.0,893.22,1.845796775,13.26295693
109,0.86,366698.0,2247.07,2.562880125,15.66012137
110,1.68,224396.0,2178.79,6.245980741,16.94257038
111,1.71,138058.0,831.53,1.372818137,14.96125659
112,1.11,289950.0,2148.2,1.852767361,13.79857464
113,0.62,261922.0,1878.41,1.208933838,12.80528794
114,1.09,372664.0,2179.24,1.627093237,13.5537738
115,2.11,138655.0,937.07,2.625440888,14.04767774
116,1.19,349568.0,2048.2,3.491300616,16.53580619
117,0.99,362065.0,2565.0,5.223310688,16.6369424
118,0.71,277341.0,1931.52,4.487645684,16.87321901
119,0.49,367520.0,2637.46,4.536639751,16.73310093
120,1.67,251425.0,1257.47,3.248057747,15.52396997
121,1.73,358527.0,1738.24,1.621873806,12.67763097
122,0.94,147221.0,914.32,4.555542199,17.81867407
123,2.54,135510.0,1107.35,2.072147401,13.2311169
124,2.83,254050.0,2177.26,2.925859825,15.67735976
125,1.85,354324.0,2083.79,1.27518973,12.22926212
126,1.38,344071.0,2908.39,5.663081731,16.24735013
127,1.32,153500.0,1401.89,7.322478904,18.45801254
128,1.29,261703.0,1606.6,2.963982859,14.24997142
129,1.37,138110.0,1365.82,6.246208437,17.28129393
130,1.44,130427.0,801.17,2.989386704,15.19593319
131,0.55,276904.0,1894.92,4.04361685,16.96047306
132,1.36,358461.0,2636.29,2.966339768,15.33965996
133,1.06,308745.0,2471.07,2.925837575,15.53980263
134,0.8,370459.0,1490.82,0.979733813,12.61035227
135,1.42,262393.0,1645.99,2.720692689,15.40950728
136,0.98,162215.0,713.98,3.947121597,17.7806733
137,1.28,136940.0,1307.12,3.628734074,16.02203742
138,1.53,263078.0,1740.33,5.809429221,16.51310346
139,1.09,370441.0,2171.89,1.086360893,12.59523651
140,1.02,126438.0,823.09,2.398182764,15.8810092
141,1.94,245680.0,1722.35,2.650702086,15.83834834
142,0.9,263801.0,1616.66,2.336689933,15.93612709
143,1.74,244311.0,1736.65,2.150919294,14.22697954
144,0.58,384075.0,2449.18,5.543013566,16.75712511
145,0.84,279844.0,1988.7,1.61337165,13.41911655
146,1.89,136256.0,1255.74,2.660695962,15.51697603
147,1.31,236259.0,1254.99,5.658388761,16.29614111
148,1.01,165013.0,1219.25,4.327723883,16.68414999
149,0.88,248966.0,1703.16,0.165651203,12.47979308
150,2.01,338358.0,2311.42,1.653387625,13.76623384
151,0.74,146243.0,1163.6,1.233630136,13.69429504
152,1.66,250690.0,1428.84,1.053039038,13.29059082
153,1.62,251568.0,1728.82,4.881205689,15.80718828
154,0.61,167951.0,1780.02,6.517234013,17.75958393
155,1.79,375193.0,2426.05,2.690371119,15.87402433
156,0.7,318563.0,2117.45,2.398473666,15.7513017
157,1.17,286896.0,2633.57,1.915987725,15.70644554
158,1.7,262050.0,1948.1,4.172549518,17.22915113
159,0.39,382851.0,2351.21,2.04310924,15.63084119
160,2.61,137960.0,908.17,7.188624262,18.11720368
161,2.22,133906.0,785.76,2.561270851,15.84349069
162,2.44,118697.0,799.33,1.639499389,13.48619702
163,1.37,355742.0,1605.95,0.531630695,11.77833485
164,1.06,270374.0,1816.86,3.724014475,16.09763939
165,2.26,236750.0,1466.33,5.297740764,16.5241278
166,1.12,384320.0,1811.46,1.895626311,13.39197454
167,1.6,368975.0,2055.02,2.159073457,15.10666581
168,1.15,368960.0,2582.93,5.822021253,16.19459666
169,2.85,364236.0,2168.16,1.958725185,15.46639026
170,2.91,110621.0,1620.0,5.840408175,17.44041404
171,1.18,146749.0,1017.32,2.680564272,15.17385455
172,0.47,273484.0,2259.82,4.726749006,16.15066227
173,2.0,255543.0,1225.63,2.933644757,15.30765037
174,2.77,120549.0,1731.76,2.468776509,15.46358991
175,0.72,265012.0,1743.73,2.655594964,16.26547152
176,0.67,377271.0,2025.63,1.847569571,15.38331144
177,2.89,127964.0,1284.09,3.483004879,16.26934351
178,1.5,290045.0,2816.5,4.967570928,16.54768068
179,2.69,136499.0,711.95,4.00865077,16.62187109
180,3.93,357369.0,2737.94,1.790829134,13.48034395
181,0.39,162953.0,775.84,4.873952866,17.31717739
182,1.18,376837.0,3091.27,5.617660366,16.18234929
