,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.26,1094,331407.0,4136.61,6.692055962,17.17602644
1,1.32,466,155128.0,2027.33,7.023097142,17.59023903
2,0.25,838,260716.0,1364.95,4.300191324,16.25680061
3,1.16,834,261283.0,1870.69,4.025650961,16.53708974
4,2.59,755,239377.0,1283.49,1.854912724,15.05261017
5,1.41,1243,341962.0,3823.45,4.305607581,15.44130048
6,2.18,778,243178.0,2513.83,5.93410189,16.44356865
7,0.58,852,271892.0,2205.98,6.678797313,17.80772316
8,1.67,455,145069.0,1176.06,2.455115222,15.03193351
9,1.61,327,92134.0,1182.8,4.186435501,16.06240359
10,1.06,1166,366694.0,3603.53,4.057521028,15.92624021
11,0.71,840,275719.0,2412.88,4.587672399,16.26035483
12,1.8,784,239241.0,1909.2,2.545081412,15.83228481
13,1.49,1170,373999.0,2401.7,2.5777047,15.50145467
14,1.26,470,156482.0,1170.14,4.284617027,16.18963982
15,2.42,402,100554.0,773.83,3.900398699,15.75002873
16,1.04,448,137830.0,1554.31,6.678241443,17.68580656
17,1.81,793,271885.0,2490.42,6.057634862,17.27688602
18,2.7,386,129465.0,2278.18,5.476886466,16.86043372
19,3.22,759,251068.0,1787.71,2.524653866,14.93608503
20,1.09,1153,370049.0,2304.22,4.082305612,15.73937317
21,0.83,1108,375717.0,3572.37,4.784888047,16.14006161
22,1.24,641,313386.0,2277.27,6.498239212,17.10680449
23,1.32,1126,363665.0,1896.45,2.342627577,15.46795608
24,2.59,781,248630.0,1557.54,1.912648028,15.162965
25,2.13,745,232571.0,2130.24,5.742898574,16.00295986
26,1.17,1221,391492.0,3507.18,4.855075208,15.67566238
27,1.93,1175,373973.0,2355.28,0.942613197,15.58330449
28,1.73,454,134281.0,1084.71,2.816799667,16.04669606
29,1.14,1126,359763.0,1903.34,3.123963093,15.74819188
30,0.56,1162,375286.0,3692.15,5.258186375,16.74535204
31,1.64,1193,374667.0,2159.55,2.022662857,15.3448754
32,3.04,771,238249.0,1285.26,2.691556308,15.1359959
33,1.89,808,268533.0,1940.34,2.991318803,15.45707506
34,2.28,799,258447.0,2334.13,3.951220003,15.57721149
35,1.37,818,269066.0,2938.6,5.940997122,17.61605803
36,1.54,1184,369718.0,3415.81,5.845449186,16.86810415
37,0.7,473,151603.0,1145.0,7.456997156,17.80414402
38,2.35,458,154420.0,1111.38,3.889691321,16.67900213
39,1.9,432,149190.0,1163.72,4.724041665,16.90991329
40,1.9,785,253886.0,1753.18,1.882541172,14.88453075
41,1.29,1113,354787.0,2870.82,5.364221366,16.20031094
42,1.93,1105,346966.0,1860.84,0.996715425,14.88492986
43,3.47,1096,349488.0,2191.28,2.243183929,15.37001581
44,1.1,431,139906.0,887.31,8.354620426,17.76679298
45,2.98,1139,366379.0,2288.87,2.021805118,14.98754947
46,1.12,741,255994.0,2302.61,6.617433785,17.50050678
47,1.22,1148,351191.0,2985.29,3.891188683,15.75381805
48,2.33,1142,356661.0,2056.73,3.270645,15.82237158
49,1.22,1113,261011.0,1643.95,5.327420802,17.30126114
50,2.25,442,131998.0,791.68,6.060174184,17.28489264
51,0.82,757,218037.0,2323.3,6.082803417,17.23583498
52,2.41,1092,348008.0,2164.58,2.18052689,15.30743656
53,1.89,445,124886.0,1070.44,3.455880058,15.52206645
54,1.15,385,184922.0,1964.18,6.895846774,17.17139657
55,2.77,382,130300.0,1392.54,5.415114467,16.34877498
56,2.36,779,237836.0,1818.99,5.183046495,15.83013899
57,2.62,439,136538.0,1040.83,3.821647391,15.46959321
58,2.2,429,139703.0,1148.83,3.610131168,15.92719474
59,1.59,781,247715.0,1946.03,2.843430868,15.38524202
60,2.06,792,253087.0,1072.31,0.669004215,15.48171547
61,1.07,834,262421.0,2586.81,5.579312071,15.87751997
62,1.88,715,222473.0,1484.68,6.398031112,16.91076999
63,1.45,1097,351395.0,3359.04,6.513089761,16.79656776
64,1.03,843,375416.0,3638.04,6.265928287,17.44674016
65,0.42,419,142368.0,1992.92,7.171707653,18.02984981
66,1.21,458,153477.0,1263.46,4.573786606,16.99936721
67,1.09,484,194338.0,1019.73,5.806345157,18.10060929
68,1.11,1135,347277.0,2910.68,6.420933625,17.40932032
69,3.93,1070,341348.0,2510.46,2.55069483,15.0832461
70,1.43,492,167261.0,1994.76,5.719527924,16.53023032
71,0.8,1234,359931.0,2400.26,3.300333457,15.8663922
72,0.8,480,165714.0,1227.96,6.584302086,18.44916661
73,1.06,1166,375540.0,2094.62,3.643956863,15.09466526
74,1.0,480,136598.0,1427.84,5.81304193,16.9208318
75,1.94,742,245099.0,1341.76,2.618178831,15.64425284
76,2.91,1133,367521.0,2575.56,2.958916519,15.21949438
77,0.78,883,288585.0,2433.36,5.244162259,16.82266205
78,0.64,875,391627.0,3271.01,6.296845862,17.67198101
79,1.07,873,289293.0,2043.34,4.66690926,16.41941457
80,1.05,1173,360728.0,4187.75,6.418347768,17.42652893
81,1.56,786,240690.0,2340.61,6.318061081,17.89518183
82,2.6,725,247803.0,1855.58,5.088166045,16.73108435
83,2.47,764,242906.0,1840.75,2.683690081,15.01058872
84,1.66,410,114710.0,586.86,3.407594693,16.37003919
85,2.89,1184,337476.0,1955.16,3.066014452,15.06742189
86,1.91,421,236958.0,1911.04,6.363938911,17.00122315
87,2.12,404,110425.0,1497.69,2.610221774,15.39459869
88,1.01,814,262728.0,1863.07,3.898236763,16.18482204
89,2.64,774,235608.0,2406.19,5.482628309,16.66125294
90,0.89,767,236330.0,2589.61,5.610018248,17.33257076
91,1.25,1146,364211.0,3657.78,4.605509596,16.05695642
92,2.76,352,164403.0,1005.68,5.577818201,16.06550665
93,2.23,416,116674.0,1142.99,7.111815209,17.48421191
94,3.12,777,247878.0,2482.53,4.902351446,16.27811455
95,0.94,512,171804.0,1760.49,6.193362876,17.5046823
96,2.51,430,135696.0,1610.78,4.259609836,16.25761255
97,0.69,492,156588.0,1572.6,5.420419902,17.12740504
98,0.76,447,152447.0,1019.33,3.943027194,16.87873979
99,2.86,419,128550.0,1190.91,4.424605167,16.44793857
100,2.04,391,78065.0,946.99,5.012615014,16.60255592
101,0.95,814,266923.0,1745.45,4.770356055,15.73791416
102,1.29,829,269210.0,3279.8,6.331308033,16.17659221
103,2.44,769,244999.0,1222.49,2.103206807,14.90158241
104,2.69,426,139672.0,977.2,4.021421805,15.77861198
105,1.64,454,265821.0,1570.56,3.945337833,16.01148258
106,0.75,862,276694.0,2540.79,6.297322962,16.61106752
107,1.79,763,235375.0,2204.09,5.592183934,16.55772675
108,1.0,844,261691.0,1958.45,3.414512606,16.37366252
109,1.66,780,253807.0,2657.7,3.553301696,15.77850642
110,2.34,425,139193.0,1215.47,6.559610226,16.60031179
111,1.0,1182,409487.0,2627.08,2.967754464,15.08453333
112,1.04,846,277511.0,2067.79,3.576966815,16.05730393
113,0.43,512,213849.0,1130.62,5.948995711,17.74943841
114,1.01,505,174289.0,1869.01,6.88032302,17.63449567
115,2.48,1128,356448.0,1789.62,1.752351124,15.05994912
116,3.13,404,134875.0,1118.66,5.942479669,16.99782748
117,0.8,491,185010.0,996.04,5.260599466,18.06168384
118,2.23,738,225803.0,1731.42,4.625207835,15.96356382
119,1.38,465,145878.0,1143.41,3.250986816,16.94669672
120,1.08,1141,368151.0,2341.52,2.728317074,15.37306826
121,2.34,424,125559.0,1141.05,4.819342685,16.68162946
122,2.39,398,123296.0,1289.01,6.211335705,16.62956067
123,2.57,781,246780.0,1987.66,4.332649684,16.15054218
124,0.97,425,132773.0,2071.32,7.004460433,18.23502808
125,2.1,785,251970.0,1767.64,1.164189787,15.62633687
126,1.65,815,232838.0,2296.67,6.467300555,16.66493134
127,2.32,453,141788.0,1338.97,4.130659446,16.68453373
128,0.73,1207,382554.0,4961.79,5.984978857,16.99065308
129,0.92,759,245399.0,1864.93,2.781135712,15.25054737
130,2.28,406,133822.0,1042.87,3.160909447,15.56701734
131,2.4,1123,346480.0,2225.07,2.767145721,15.15951103
132,2.29,407,107929.0,870.34,2.614253225,15.25987925
