,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.76,251175.0,2388.71,6.114604064,17.00381144
1,0.72,373773.0,3213.2,6.268337096,16.79736258
2,1.0,254098.0,2539.48,6.862149214,17.11715033
3,1.52,96840.0,978.34,7.236220412,17.58982185
4,2.84,257639.0,2117.76,5.250153741,16.36458372
5,1.57,268540.0,2233.46,6.139711392,17.24606915
6,0.73,274934.0,1915.18,2.330891392,14.49163071
7,2.34,368580.0,1798.09,1.471158757,14.22329968
8,1.69,142089.0,1402.56,5.463157622,16.74768549
9,2.48,243402.0,1523.11,2.256720617,13.6455717
10,1.2,254496.0,1335.08,1.83834467,12.67637088
11,1.39,112812.0,1718.61,5.857020549,16.32290738
12,0.5,164288.0,815.63,3.470542135,16.77528532
13,2.56,347086.0,1645.6,2.291904223,13.64816932
14,1.01,156839.0,1181.77,2.525434148,15.52944337
15,1.18,342088.0,3170.08,5.796549932,16.97327411
16,1.07,384104.0,1985.82,2.095041146,13.31996645
17,1.37,279622.0,2170.92,4.621742249,16.19022263
18,0.35,174361.0,1839.0,4.589578429,16.86120642
19,1.97,229891.0,1370.76,0.919653669,12.75906926
20,1.56,261639.0,1736.91,2.698775311,15.97219063
21,0.75,361819.0,2239.7,1.098897292,12.95526791
22,3.56,359177.0,1955.77,2.97802981,14.87524011
23,1.41,355100.0,2292.03,3.320467512,16.07959105
24,3.94,344257.0,2387.27,0.534143698,11.34417212
25,1.18,157676.0,952.76,5.484529529,16.69194727
26,0.9,144673.0,1050.26,3.780230809,15.42054329
27,1.59,240975.0,1880.3,6.796900685,16.46138329
28,1.58,147847.0,1876.76,1.6243441,15.00905655
29,0.84,282823.0,2316.86,6.848085457,17.36420948
30,1.07,376252.0,1976.6,3.904000293,16.31321547
31,1.92,259265.0,2499.15,5.79991105,16.41023368
32,1.43,265262.0,1839.66,4.747393811,16.8201671
33,0.75,90901.0,708.93,3.165275251,14.46135476
34,1.6,252039.0,1423.77,3.36392365,15.6813853
35,1.49,360937.0,2540.65,3.361855109,15.405355
36,1.22,369051.0,2314.73,0.971682486,12.4724341
37,1.11,373804.0,2435.38,3.511775955,17.03152568
38,1.42,377272.0,1659.58,1.40938845,13.19143312
39,3.67,343560.0,2245.64,1.793011275,12.99317232
40,1.39,233147.0,2165.69,6.00449818,16.42502226
41,1.11,372030.0,2749.22,6.274241679,17.06388027
42,1.08,389808.0,2944.79,3.118351952,15.86560452
43,2.66,355272.0,1775.63,1.505134131,15.33300526
44,1.47,131721.0,1016.15,7.076180887,16.83680887
45,0.61,365719.0,2091.34,1.811942642,13.45778274
46,2.56,139682.0,1194.66,5.682624485,16.8922101
47,1.74,355362.0,2013.44,2.558145346,15.66985942
48,2.08,126363.0,889.04,2.398401574,14.56875869
49,1.71,115478.0,721.43,2.091701795,13.91724162
50,1.38,369072.0,1953.99,3.106624537,16.08447868
51,1.21,268061.0,1691.21,4.951609727,16.82009323
52,0.95,358143.0,3221.55,5.284065588,16.33175858
53,1.26,375312.0,2195.67,2.617192051,15.63462151
54,1.84,354795.0,2491.52,3.889397906,16.37696104
55,1.21,138370.0,839.83,1.570875321,15.10806749
56,1.42,263278.0,2746.49,5.876237289,17.36456926
57,0.63,401618.0,3893.07,5.873410866,16.1140482
58,2.43,119067.0,976.77,5.498455432,17.32841075
59,1.34,379592.0,2278.35,2.302563297,14.55498091
60,0.85,361840.0,1768.26,2.937010665,15.31454066
61,1.37,255568.0,1386.22,0.786234228,13.82917401
62,1.18,269443.0,1873.58,3.771089376,15.93201307
63,0.84,162317.0,906.18,1.688722302,15.60898056
64,0.75,365689.0,2886.42,5.56427531,16.5823899
65,0.93,197824.0,1116.94,5.350871159,16.81593971
66,0.58,139069.0,701.95,1.992314761,14.47674786
67,0.74,160168.0,1574.73,4.856171244,16.87028552
68,1.15,344638.0,4022.46,5.132056415,16.45818352
69,1.36,357587.0,2629.72,4.867395842,15.52748696
70,1.18,234904.0,2223.85,5.872637562,16.87546608
71,1.37,359525.0,2662.55,5.875600175,15.70604162
72,2.19,367536.0,2434.97,3.628826142,15.9250023
73,1.69,353096.0,1923.34,0.649261606,12.93340387
74,1.25,383589.0,2607.42,1.935080955,15.44963001
75,0.74,156083.0,586.86,6.546883359,17.27965644
76,1.09,370322.0,1549.01,1.570631742,12.50831582
77,1.58,143831.0,1786.15,6.830976428,17.36705542
78,0.72,398731.0,2364.64,1.433878267,14.05942325
79,0.34,377229.0,2137.38,1.624417363,14.10617359
80,1.29,348209.0,3108.66,6.497530723,17.44629457
81,2.0,145509.0,873.93,3.336381963,15.26172278
82,1.16,152502.0,967.98,3.591985674,16.6898345
83,1.24,158078.0,1204.33,2.076246687,15.16917076
84,2.75,137611.0,1161.35,2.886508077,15.58985254
85,2.1,111686.0,912.27,3.33427312,15.45794043
86,2.1,342807.0,2696.86,5.050672572,16.11282459
87,2.21,147716.0,763.88,2.870615859,14.93737748
88,1.07,131479.0,809.11,3.204863792,16.78093188
89,0.68,174278.0,1134.41,6.31495468,17.37443918
90,1.8,345826.0,2690.87,4.353927358,16.15216187
91,1.07,146133.0,2088.94,7.563410126,17.53528305
92,0.87,250523.0,1249.5,1.270546912,13.37419123
93,2.36,100019.0,705.41,3.419441599,15.6833935
94,1.32,358920.0,1298.11,0.937201641,12.45288154
95,2.53,125867.0,927.18,1.331845177,12.72008562
96,1.09,149907.0,861.49,5.139444317,17.99069345
97,1.52,168519.0,1235.65,7.904942327,17.31209589
98,2.29,106397.0,991.04,3.102949419,16.66930321
99,0.72,144676.0,774.98,2.416039728,15.75802708
100,2.39,242613.0,1854.7,2.329590039,14.89399414
101,1.68,341687.0,1780.44,1.261899015,13.39115157
102,1.11,144917.0,873.26,3.808553802,15.83047733
103,0.75,383483.0,2271.24,1.56101526,13.20988296
104,1.07,380919.0,2363.94,1.589551172,15.35184309
105,1.96,239815.0,1337.46,1.640975008,13.7262812
106,2.38,241446.0,1831.84,2.732641692,15.13866668
107,1.44,362751.0,1941.36,2.152049568,14.57925082
108,1.46,363918.0,2162.55,1.650420879,14.1847399
109,2.17,124129.0,1175.59,6.054086902,16.97603118
110,2.21,150344.0,869.3,3.345532429,16.24003389
111,1.71,130854.0,2059.68,1.649595703,13.24676784
112,2.41,340440.0,2997.32,4.716198939,15.67391606
113,0.52,111036.0,1594.98,2.813810347,16.09725159
114,2.11,261581.0,2425.12,6.230185616,16.50411155
115,1.69,255408.0,1714.23,6.165258394,16.7789811
116,1.54,153348.0,1868.1,6.628424104,16.4793505
117,1.96,199015.0,1986.13,3.484071263,15.91274395
118,1.16,140898.0,1863.09,6.595785208,17.54109409
119,1.8,250793.0,1689.42,1.296693539,13.92428602
120,0.67,177721.0,1958.44,6.907140458,17.09325525
121,0.74,147538.0,802.6,2.693741722,15.49855059
122,1.89,235440.0,1528.12,3.650867961,16.02317915
123,0.64,268297.0,1978.39,4.589409917,17.24702883
124,1.1,153942.0,1175.64,4.222977001,17.24876955
125,0.45,367439.0,2837.42,4.211529134,16.20845284
126,1.06,180678.0,1043.73,3.37111945,16.57154966
127,1.4,362619.0,2033.26,1.404224783,13.04806462
128,0.66,380721.0,2326.64,2.722420674,15.66304543
129,0.62,170448.0,1957.26,6.226134771,17.17077195
130,1.49,257509.0,1901.09,6.171823678,17.72495066
131,0.95,370438.0,1750.56,2.073848752,14.52133181
132,0.83,337868.0,2851.04,5.743666405,17.46466222
133,1.58,253167.0,1359.52,1.909812994,13.335078
134,2.35,382101.0,2927.43,5.036804814,16.17966595
135,0.86,389488.0,1906.16,2.38227754,14.11009552
136,2.31,234593.0,2031.1,5.16643594,16.19439796
137,2.08,131665.0,1729.78,5.313050513,17.01806981
138,1.77,344183.0,1883.74,0.45854904,14.86530233
139,0.52,383611.0,2575.55,6.422626003,16.93812982
140,1.36,253199.0,1053.99,1.852491947,13.36643044
141,1.47,382303.0,2147.71,3.419754383,16.03877363
142,1.73,350067.0,1716.66,1.557023168,13.32458176
143,1.43,155958.0,791.16,3.340618806,16.57904721
144,1.31,111221.0,637.56,2.384688474,15.69063744
145,1.9,368739.0,2382.02,1.524878335,12.45208276
146,2.14,245396.0,2183.59,4.752917554,16.17548639
147,2.55,129322.0,970.29,2.826659061,15.2602961
148,1.7,358127.0,1850.21,1.020550826,12.21055843
149,2.45,135733.0,836.18,2.004992115,15.65325414
150,1.35,119118.0,1225.47,6.799980335,17.03324607
151,1.53,151489.0,818.65,2.815599784,15.71919348
152,1.26,270357.0,1839.46,3.794874439,16.91814093
153,0.69,265074.0,1864.41,3.726957212,16.40067609
154,1.04,257647.0,1636.13,0.705206952,12.15666693
155,0.42,271271.0,1769.43,4.527305677,16.73162452
156,2.08,251464.0,1647.51,2.8758914,16.05607081
157,1.4,236360.0,1276.99,0.621353929,12.68701848
158,0.46,164323.0,1689.5,4.1126604,17.13273693
159,1.91,257913.0,2626.24,4.643095028,16.40244856
160,1.26,365157.0,2188.87,1.738725156,13.34086554
161,3.77,356267.0,2619.24,2.916095369,15.02098515
162,1.72,338109.0,3022.85,3.101244721,15.48898451
163,1.75,237168.0,1231.71,1.881680404,13.93212024
164,1.87,341776.0,1762.26,0.330419884,13.16012902
165,1.16,129432.0,718.82,3.733487708,16.5350038
166,0.84,370174.0,2161.87,2.870101831,15.35172528
167,0.48,176665.0,768.83,4.149221922,16.56787882
168,1.3,261773.0,1331.6,1.63258526,15.51911354
169,3.14,128725.0,1315.0,5.571873583,15.9012575
170,1.44,248978.0,1271.73,1.039151772,13.88756005
171,1.33,353586.0,2050.03,0.84089972,12.07304822
172,1.26,350364.0,2600.45,5.229983557,16.10549509
173,0.79,318221.0,2200.97,4.083565609,16.69548302
174,1.33,237200.0,1478.62,1.220305293,14.08674966
175,2.67,128388.0,912.44,5.102737136,17.15487073
176,2.8,342468.0,2295.98,4.029357818,15.44061685
177,3.01,137717.0,840.51,2.813722674,15.19040953
178,1.55,133148.0,1176.68,2.657001262,13.60658527
179,1.37,147538.0,1799.91,6.98801469,17.52602174
180,1.84,133036.0,883.48,3.489187103,15.53995026
181,1.41,151233.0,1858.96,6.989311799,16.80387153
182,1.21,115008.0,820.24,2.95399362,15.3635938
183,1.32,162367.0,1239.21,7.310578401,16.67150025
184,2.16,366674.0,2376.61,2.437051673,14.91421948
185,2.61,227882.0,1400.78,3.685633635,15.46077791
186,2.34,257187.0,2091.0,3.923394146,15.78915372
187,2.24,140732.0,829.51,3.248252134,16.51422375
188,0.49,136405.0,659.59,3.993967128,18.14130665
189,2.53,331374.0,1843.62,1.449907274,15.00477702
190,0.68,381515.0,1754.88,2.279967275,15.53163262
191,1.45,145870.0,1927.17,6.908981984,17.00200337
192,2.65,244782.0,2086.7,5.099962755,16.28916942
193,1.23,251215.0,1827.04,6.06404846,17.42601065
194,1.58,346479.0,1714.34,0.958237423,12.48807677
195,0.71,271290.0,1339.31,2.117660383,14.23879889
196,1.26,266138.0,1407.36,2.96209195,15.43420251
197,1.49,266698.0,1724.94,3.377921469,16.23525403
198,1.46,241255.0,2502.36,6.542611751,16.72492718
199,1.03,254940.0,1499.66,1.804657553,13.88064511
200,2.23,258918.0,2457.09,6.019268709,17.21230871
201,1.67,254976.0,1987.37,4.866381587,16.293988
202,2.39,140890.0,1390.46,8.219976018,17.43935861
203,1.44,263769.0,1723.1,4.416607725,16.23346373
204,0.6,123232.0,775.42,3.417834747,16.20329856
205,2.02,251304.0,962.72,2.936261922,15.55655233
206,1.05,244438.0,1719.54,1.26091066,13.23642374
207,0.95,257804.0,1375.49,1.046005453,12.28817559
208,1.49,138267.0,792.59,1.744180944,15.45531058
209,0.42,373387.0,2332.3,3.14006487,16.03386145
210,2.5,140008.0,1302.73,4.386009863,16.9182357
211,1.21,385164.0,3970.74,5.84002667,16.37606042
212,3.16,127467.0,866.75,3.46010673,15.79252714
213,0.64,366229.0,2108.66,1.115870308,15.19924284
214,1.08,364741.0,3056.61,4.968134077,16.45884422
215,2.06,251754.0,2281.31,6.053458493,16.93420022
216,1.29,376818.0,2365.59,3.80224419,15.99243609
217,1.4,111064.0,671.04,7.591943402,18.64367565
