,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2.31,1133,343674.0,2158.03,2.089482197,15.96074904
1,1.61,787,242545.0,1690.75,4.5511999,14.50569095
2,2.68,819,263766.0,1925.77,5.865813805,16.3951865
3,1.31,831,381179.0,3362.38,6.410923936,16.37850524
4,0.84,1172,363091.0,3976.41,5.353272818,16.70541539
5,3.01,791,257510.0,1757.72,4.837258728,16.40077331
6,1.18,405,125133.0,813.99,2.399089545,15.94011848
7,1.33,1117,360177.0,3208.23,5.307556213,16.12521232
8,2.51,729,213260.0,1351.64,1.527764864,13.47260765
9,2.37,396,124069.0,1017.83,3.929146063,16.04598193
10,1.81,394,123918.0,745.98,1.782352232,15.15967799
11,1.63,461,150038.0,2094.27,6.969928997,17.53721107
12,1.59,815,366980.0,2756.75,6.049487679,16.95787913
13,0.66,1060,312889.0,2031.2,5.561684434,16.07715551
14,0.62,1227,370489.0,2055.15,1.64617257,13.47687596
15,1.18,1211,384852.0,2122.58,1.657924692,14.03499889
16,3.28,1088,312884.0,2108.06,1.27386033,14.21578947
17,2.56,1149,361797.0,2184.3,2.041119746,15.33812526
18,3.05,1162,357228.0,2888.31,6.23074692,16.41217171
19,1.38,1145,385775.0,2011.92,1.118281869,15.17726322
20,1.92,411,130347.0,1163.74,5.442333555,16.3196615
21,1.87,790,238843.0,2589.8,4.635740905,16.47822994
22,1.43,465,157808.0,1670.53,3.343556144,16.41043779
23,1.14,457,139644.0,612.75,2.44800024,16.15781637
24,1.39,421,129649.0,782.54,1.528378128,13.10688006
25,1.3,834,260566.0,2520.23,6.540990331,16.05346315
26,1.87,763,240798.0,1163.7,1.653196424,14.01480728
27,1.28,436,130239.0,618.81,1.201323153,13.41411903
28,1.15,837,266458.0,1504.82,3.852585145,15.52046881
29,1.34,459,149869.0,1095.97,3.159964406,16.15664824
30,1.53,418,231874.0,2097.81,6.81818834,17.86492175
31,0.47,479,159577.0,1340.77,5.700655722,17.26558101
32,0.68,470,157588.0,920.94,4.233900488,16.73564074
33,1.27,780,240519.0,2126.03,6.382825037,17.38370267
34,0.91,513,168896.0,1229.07,5.584533775,16.73546223
35,1.35,456,148498.0,1007.09,1.349456626,12.55715462
36,3.02,1137,352728.0,3400.34,5.029079683,16.16064173
37,2.87,716,185456.0,1792.16,6.095201723,17.25841987
38,0.6,1144,352132.0,3436.7,5.917474934,17.13692678
39,2.45,420,104312.0,1378.18,4.843861011,16.30070807
40,0.79,1069,388599.0,2707.12,1.548664695,15.45467924
41,1.37,789,235584.0,2501.9,6.518012495,17.21783898
42,0.81,1328,386895.0,2144.95,1.850796315,15.16715972
43,0.5,811,252198.0,1314.5,1.638114923,13.127398
44,1.21,656,218342.0,1370.73,5.962006532,16.72992085
45,1.33,809,264359.0,1835.05,3.357012808,15.94589879
46,1.79,473,148662.0,1695.17,7.443755175,18.31006272
47,1.26,410,128701.0,865.7,6.194068488,16.70044381
48,1.89,1104,345845.0,1598.06,0.179190031,13.28150965
49,1.93,1367,378657.0,3478.43,4.944438771,15.07837347
50,1.09,1056,256812.0,2941.23,6.307596548,17.3187231
51,0.72,798,377365.0,2342.32,5.567503042,16.48953941
52,0.93,1164,359475.0,3158.77,6.614032269,17.22233756
53,1.32,434,136298.0,728.66,1.378201614,13.44262486
54,1.21,834,257976.0,2100.71,7.633158235,16.46542719
55,2.12,741,229615.0,2631.2,5.516771973,15.7471584
56,0.75,454,149914.0,591.08,3.252135406,15.82254257
57,2.41,801,246012.0,1911.86,5.768039484,16.22875731
58,1.1,1201,377977.0,2141.68,4.337433928,15.68153063
59,1.31,821,263728.0,1904.03,1.118392853,13.62088955
60,1.3,880,280575.0,2350.06,7.633763305,17.95815425
61,2.09,419,133363.0,1236.11,4.697389816,15.63804051
62,0.78,479,157552.0,1248.75,7.293299876,17.4688086
63,1.86,390,140751.0,1324.07,4.514047263,15.79266653
64,0.27,498,155667.0,759.03,3.455291985,17.25781648
65,2.49,1305,368605.0,4456.43,5.244635154,15.9444946
66,1.17,467,155640.0,586.86,1.723150324,15.94529107
67,2.9,736,231592.0,2177.9,6.021260822,16.35167845
68,1.89,421,133505.0,852.8,1.897832282,15.57818742
69,0.75,1214,361962.0,2550.04,4.787598921,16.14816547
70,2.15,1050,305056.0,2495.88,2.56002658,15.42496406
71,2.17,1138,346164.0,2177.51,1.468404367,13.39886408
72,2.6,742,284784.0,1935.84,3.462935437,15.3040182
73,0.81,473,154466.0,830.68,4.59191612,15.93906381
