,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Class
464,1.99,237920.06,1566.72,15.27348624,3.256238532,3
465,1.99,379100.41,2403.34,15.55472666,2.784011775,3
466,1.99,238487.34,1194.99,13.1661399,1.21015544,3
467,1.99,139549.54,1029.27,15.97182243,3.117523364,3
468,1.99,349550.92,1728.11,15.27306684,2.475465269,3
469,1.99,253677.06,1480.47,14.73166873,3.194721879,3
470,1.99,265871.16,1544.44,15.16651712,3.591038961,3
471,1.98,337149.01,1912.09,11.96707692,0.88358371,3
472,1.98,139549.54,1029.27,15.97182243,3.117523364,3
473,1.98,139549.54,1029.27,15.97182243,3.117523364,3
474,1.98,139549.54,1029.27,15.97182243,3.117523364,3
475,1.98,139549.54,1029.27,15.97182243,3.117523364,3
476,1.98,242333.34,1680.15,15.23334207,2.43542595,3
477,1.98,242333.34,1680.15,15.23334207,2.43542595,3
478,1.98,253166.79,1848.36,15.6917298,2.933244949,3
479,1.98,253166.79,1848.36,15.6917298,2.933244949,3
480,1.98,349550.92,1728.11,15.27306684,2.475465269,3
481,1.98,233953.05,1438.46,13.44771725,1.812230869,3
482,1.98,344186.49,2173.55,13.10703442,1.390052957,3
483,1.98,344186.49,2173.55,13.10703442,1.390052957,3
484,1.98,151489.05,1207.41,15.44740426,3.256808511,3
485,1.98,149658.53,912.86,16.56457883,4.93924406,3
486,1.97,337149.01,1912.09,11.96707692,0.88358371,3
487,1.97,337149.01,1912.09,11.96707692,0.88358371,3
488,1.97,139549.54,1029.27,15.97182243,3.117523364,3
489,1.97,242333.34,1680.15,15.23334207,2.43542595,3
490,1.97,238887.66,2095.41,13.73706649,1.95851369,3
491,1.96,337149.01,1912.09,11.96707692,0.88358371,3
492,1.96,337149.01,1912.09,11.96707692,0.88358371,3
493,1.96,353400.81,2096.85,12.48047038,1.373266551,3
494,1.96,367987.94,2320.26,15.23031008,2.460577089,3
495,1.96,238487.34,1194.99,13.1661399,1.21015544,3
496,1.96,139549.54,1029.27,15.97182243,3.117523364,3
497,1.96,134988.47,586.86,15.74992788,1.722572115,3
498,1.96,242333.34,1680.15,15.23334207,2.43542595,3
499,1.96,253166.79,1848.36,15.6917298,2.933244949,3
500,1.96,139066.58,1127.8,14.39785388,2.31826484,3
501,1.95,237920.06,1566.72,15.27348624,3.256238532,3
502,1.95,337149.01,1912.09,11.96707692,0.88358371,3
503,1.95,238487.34,1194.99,13.1661399,1.21015544,3
504,1.95,139549.54,1029.27,15.97182243,3.117523364,3
505,1.95,153024.73,1105.11,16.85775378,4.066695464,3
506,1.95,242333.34,1680.15,15.23334207,2.43542595,3
507,1.95,242333.34,1680.15,15.23334207,2.43542595,3
508,1.95,349550.92,1728.11,15.27306684,2.475465269,3
509,1.95,236724.38,1693.89,15.62235762,3.171099338,3
510,1.95,236724.38,1693.89,15.62235762,3.171099338,3
511,1.95,344186.49,2173.55,13.10703442,1.390052957,3
512,1.95,369445.72,1888.13,15.29762887,1.502534364,3
513,1.95,257314.59,1480.32,13.25460688,1.231793612,3
514,1.95,238887.66,2095.41,13.73706649,1.95851369,3
515,1.95,151489.05,1207.41,15.44740426,3.256808511,3
516,1.95,117081.45,866.38,11.2583727,0.049291339,3
517,1.94,337149.01,1912.09,11.96707692,0.88358371,3
518,1.94,353400.81,2096.85,12.48047038,1.373266551,3
519,1.94,133284.65,651.64,14.70492857,2.107547619,3
520,1.94,248953.26,1770.14,16.08387548,3.644523507,3
521,1.94,257314.59,1480.32,13.25460688,1.231793612,3
522,1.94,241741.32,1389.41,14.2043758,2.707297297,3
523,1.93,337149.01,1912.09,11.96707692,0.88358371,3
524,1.93,139549.54,1029.27,15.97182243,3.117523364,3
525,1.93,139549.54,1029.27,15.97182243,3.117523364,3
526,1.93,134988.47,586.86,15.74992788,1.722572115,3
527,1.93,134988.47,586.86,15.74992788,1.722572115,3
528,1.93,242333.34,1680.15,15.23334207,2.43542595,3
529,1.93,233953.05,1438.46,13.44771725,1.812230869,3
530,1.93,236724.38,1693.89,15.62235762,3.171099338,3
531,1.93,344186.49,2173.55,13.10703442,1.390052957,3
532,1.92,353400.81,2096.85,12.48047038,1.373266551,3
533,1.92,353400.81,2096.85,12.48047038,1.373266551,3
534,1.92,133284.65,651.64,14.70492857,2.107547619,3
535,1.92,133284.65,651.64,14.70492857,2.107547619,3
536,1.92,353897.08,1806.36,14.90361532,1.565556545,3
537,1.92,238487.34,1194.99,13.1661399,1.21015544,3
538,1.92,139549.54,1029.27,15.97182243,3.117523364,3
539,1.92,139549.54,1029.27,15.97182243,3.117523364,3
540,1.92,236724.38,1693.89,15.62235762,3.171099338,3
541,1.92,382738.95,2015.18,15.74051667,1.933208333,3
542,1.91,337149.01,1912.09,11.96707692,0.88358371,3
543,1.91,353400.81,2096.85,12.48047038,1.373266551,3
544,1.91,353400.81,2096.85,12.48047038,1.373266551,3
545,1.91,133284.65,651.64,14.70492857,2.107547619,3
