,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Class
56,0.83,366100.83,2151.68,12.92289585,1.780211685,0
57,0.82,366100.83,2151.68,12.92289585,1.780211685,0
58,0.8,366100.83,2151.68,12.92289585,1.780211685,0
59,0.81,366100.83,2151.68,12.92289585,1.780211685,0
60,0.96,366100.83,2151.68,12.92289585,1.780211685,0
61,0.84,366100.83,2151.68,12.92289585,1.780211685,0
62,0.82,366100.83,2151.68,12.92289585,1.780211685,0
63,0.8,366100.83,2151.68,12.92289585,1.780211685,0
64,0.84,366100.83,2151.68,12.92289585,1.780211685,0
65,0.81,366100.83,2151.68,12.92289585,1.780211685,0
66,0.86,366100.83,2151.68,12.92289585,1.780211685,0
67,0.82,366100.83,2151.68,12.92289585,1.780211685,0
68,0.76,366100.83,2151.68,12.92289585,1.780211685,0
69,0.78,366100.83,2151.68,12.92289585,1.780211685,0
70,0.79,366100.83,2151.68,12.92289585,1.780211685,0
71,0.67,366100.83,2151.68,12.92289585,1.780211685,0
72,0.72,366100.83,2151.68,12.92289585,1.780211685,0
73,0.79,366100.83,2151.68,12.92289585,1.780211685,0
74,0.84,366100.83,2151.68,12.92289585,1.780211685,0
75,0.72,366100.83,2151.68,12.92289585,1.780211685,0
76,0.71,366100.83,2151.68,12.92289585,1.780211685,0
77,0.7,366100.83,2151.68,12.92289585,1.780211685,0
78,0.69,366100.83,2151.68,12.92289585,1.780211685,0
79,0.69,366100.83,2151.68,12.92289585,1.780211685,0
80,0.74,366100.83,2151.68,12.92289585,1.780211685,0
81,0.63,366100.83,2151.68,12.92289585,1.780211685,0
82,0.5,366100.83,2151.68,12.92289585,1.780211685,0
83,0.78,366100.83,2151.68,12.92289585,1.780211685,0
114,1.03,125739.42,613.89,14.82198492,2.151532663,0
137,1.03,140522.38,705.84,15.59614679,2.961513761,0
140,1.0,140522.38,705.84,15.59614679,2.961513761,0
177,0.61,150715.7,767.14,16.26632829,3.700669546,0
178,0.61,163396.05,812.52,17.02935484,4.430141129,0
179,0.67,163396.05,812.52,17.02935484,4.430141129,0
180,0.57,163396.05,812.52,17.02935484,4.430141129,0
181,0.61,163396.05,812.52,17.02935484,4.430141129,0
182,0.6,163396.05,812.52,17.02935484,4.430141129,0
183,0.68,163396.05,812.52,17.02935484,4.430141129,0
184,0.6,163396.05,812.52,17.02935484,4.430141129,0
185,0.6,163396.05,812.52,17.02935484,4.430141129,0
186,0.61,163396.05,812.52,17.02935484,4.430141129,0
187,0.54,163396.05,812.52,17.02935484,4.430141129,0
188,0.56,163396.05,812.52,17.02935484,4.430141129,0
189,0.56,163396.05,812.52,17.02935484,4.430141129,0
