,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),class
1923,0.9,152893.15,1063.42,16.12427039,3.927038627,0
1924,0.9,272117.2,1539.15,14.09200935,2.00963785,0
1925,0.9,272117.2,1539.15,14.09200935,2.00963785,0
1926,0.9,272117.2,1539.15,14.09200935,2.00963785,0
1927,0.9,272886.01,1741.57,16.32546209,3.566220379,0
1928,0.9,272886.01,1741.57,16.32546209,3.566220379,0
1929,0.9,170604.73,1286.11,17.73027397,4.871311155,0
1930,0.9,267418.86,1898.48,16.31862319,3.564178744,0
1931,0.9,354069.03,2043.2,12.07913005,0.05026362,0
1932,0.9,354069.03,2043.2,12.07913005,0.05026362,0
1933,0.9,273082.13,2343.29,15.27118743,3.484749709,0
1934,0.9,273082.13,2343.29,15.27118743,3.484749709,0
1935,0.9,348788.37,2345.87,11.2912588,-0.072033451,0
1936,0.89,146151.1,924.63,17.34763158,4.49754386,0
1937,0.89,170701.59,1159.48,16.96141748,4.738718447,0
1938,0.89,170701.59,1159.48,16.96141748,4.738718447,0
1939,0.89,272117.2,1539.15,14.09200935,2.00963785,0
1940,0.89,272117.2,1539.15,14.09200935,2.00963785,0
1941,0.89,272117.2,1539.15,14.09200935,2.00963785,0
1942,0.89,272886.01,1741.57,16.32546209,3.566220379,0
1943,0.89,272886.01,1741.57,16.32546209,3.566220379,0
1944,0.89,272886.01,1741.57,16.32546209,3.566220379,0
1945,0.89,354369.49,1820.67,13.07183656,0.982671353,0
1946,0.89,170604.73,1286.11,17.73027397,4.871311155,0
1947,0.89,164310.96,706.54,17.35893443,3.235594262,0
1948,0.89,361650.93,1821.36,15.7507702,2.971742424,0
1949,0.89,354337.32,2429.23,11.47539063,0.123576389,0
1950,0.88,146151.1,924.63,17.34763158,4.49754386,0
1951,0.88,272117.2,1539.15,14.09200935,2.00963785,0
1952,0.88,256533.54,1535.59,15.60709114,2.88886392,0
1953,0.88,272886.01,1741.57,16.32546209,3.566220379,0
1954,0.88,354369.49,1820.67,13.07183656,0.982671353,0
1955,0.88,391460.5,2439.24,15.9217199,3.13047502,0
1956,0.88,153024.73,1105.11,16.85775378,4.066695464,0
