,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,0.5,172751.0,853.45,4.739130927,17.13441732,0
1,1.65,355015.0,1832.27,0.717257709,12.44421884,1
2,0.34,159081.0,850.06,3.704374506,16.47735165,0
3,0.89,284087.0,1937.48,4.758733085,17.55627021,0
4,1.77,135431.0,671.68,1.546627116,13.39111602,1
5,1.17,264333.0,1410.81,1.846878238,14.13866383,0
6,1.29,390161.0,1946.61,2.238490809,14.07261744,1
7,1.67,382132.0,2274.36,3.132760325,15.78798784,1
8,1.15,152873.0,1020.15,4.018018499,16.64761725,1
9,1.1,243320.0,1403.11,0.953896899,12.56232803,0
10,2.46,263400.0,1256.67,3.02894246,16.27824851,2
11,2.77,129164.0,924.36,2.306994809,14.96540758,2
12,0.94,379863.0,1960.45,3.533048751,16.6326307,1
13,0.98,160474.0,951.79,4.621963943,16.90050818,0
14,1.16,154430.0,1103.07,4.042064107,16.49476272,1
15,4.14,355665.0,1934.81,1.939747157,15.09613461,2
16,0.88,376781.0,2163.61,3.560650609,16.6567917,1
17,1.03,173986.0,1510.09,4.920036109,17.03912492,0
18,1.66,262477.0,1895.57,3.91414787,16.2611312,1
19,2.18,358023.0,2289.8,2.066100074,13.39579745,1
20,2.42,248851.0,1821.02,2.954208206,15.18291551,2
21,2.39,245804.0,1427.99,2.927439795,15.56333808,2
22,0.75,284966.0,1946.86,4.128689448,17.23655016,0
23,2.09,363023.0,2099.32,3.039687241,15.58455619,2
24,0.52,269833.0,1730.63,3.817811302,15.99128721,0
25,0.37,283308.0,1811.33,3.927633881,16.91184381,0
26,0.83,389499.0,1959.14,3.120762765,15.76510347,0
27,2.01,247285.0,1428.54,2.488781867,14.88817049,1
28,1.48,250942.0,1536.26,0.994057231,13.098388,1
29,0.72,161675.0,1872.37,4.305801269,16.29823244,0
30,1.33,380826.0,2416.77,3.674222732,16.31813231,1
31,1.59,252650.0,1659.67,1.614216566,14.40387765,1
32,2.2,251183.0,1822.15,2.214317109,15.23862712,2
33,1.4,275810.0,1862.51,4.508795677,16.73301717,1
34,2.1,138382.0,840.76,3.01388942,15.40896068,2
35,0.83,154523.0,1266.03,4.460814331,16.51615501,0
36,1.38,250633.0,1524.12,2.572856128,15.50713628,1
37,1.22,354726.0,2270.3,1.212203204,13.28910095,1
38,1.58,261115.0,1864.31,3.667381897,16.10902104,1
39,2.03,369112.0,2550.31,3.016768401,15.35929567,1
40,1.22,245027.0,1251.68,1.634754021,13.16910393,1
41,0.41,269300.0,1527.25,3.896062442,16.10305464,0
42,2.91,236077.0,1892.33,2.291330575,13.90230647,2
43,1.6,258105.0,1816.11,1.701719439,15.27620205,1
44,0.49,284753.0,1979.61,4.659481977,16.33515601,0
45,1.54,147329.0,747.86,3.534943284,15.91555987,2
46,2.3,121115.0,699.08,1.957467153,15.22093055,2
47,0.6,263199.0,1840.84,2.918726795,15.76096897,0
48,1.03,257142.0,1521.75,1.562513445,13.61375247,0
49,2.02,246339.0,1925.69,3.265305969,15.19751416,2
50,1.4,256837.0,1409.76,1.913042301,14.04566897,1
51,1.73,128292.0,692.57,1.383461182,13.66372066,1
52,3.1,356098.0,2304.28,2.660398485,15.00443677,2
53,0.57,389389.0,1966.62,1.371402643,13.04979762,0
54,1.24,366700.0,2513.95,1.299316839,13.50083012,1
55,2.82,142591.0,895.83,2.963145194,15.19718791,2
56,1.54,160302.0,678.08,4.299021456,16.31048053,0
57,1.03,166970.0,927.91,3.593811602,17.13422156,0
58,0.92,144539.0,892.93,2.799995097,13.32425493,0
59,1.15,144281.0,724.71,3.087524602,15.4717847,1
60,1.59,383195.0,2231.27,3.918899245,17.131857,1
61,1.76,352258.0,2090.11,1.271013827,11.28251525,1
62,1.55,129219.0,646.33,2.126253004,15.02279335,1
63,1.43,265880.0,1802.22,3.768900177,16.21872088,1
64,1.0,364682.0,1800.39,3.41344111,14.16135082,0
65,2.15,142570.0,813.5,2.801291528,15.55179985,2
66,1.96,250867.0,1193.79,2.830107444,16.21375027,2
67,0.77,169029.0,1524.47,3.764421834,16.89721675,0
68,1.47,254643.0,1508.36,1.207219974,13.58210786,1
69,0.55,162343.0,843.77,3.953132923,16.91940937,0
70,1.89,163554.0,1493.97,4.027143288,16.14803776,2
71,1.84,121233.0,765.77,2.738953194,15.26791018,1
72,0.97,274333.0,1889.98,4.522959393,16.74111777,0
73,0.77,393184.0,2346.23,2.455139127,14.07599082,0
74,0.8,269118.0,1795.8,3.611445084,16.13825654,0
75,0.61,395797.0,2443.45,3.084404852,15.21779521,0
76,2.1,241227.0,1391.44,2.095292319,12.78373416,2
77,1.41,356886.0,2052.86,1.615151456,12.49595211,1
78,0.39,163369.0,1477.85,3.679219871,16.48945934,0
79,0.33,162185.0,830.89,4.163773853,16.48493242,0
80,2.17,363059.0,2433.66,1.929091802,13.85636754,1
81,1.82,246169.0,937.4,1.055637158,12.98652392,1
82,1.7,359045.0,2411.93,1.658384457,12.86298222,1
83,0.67,258743.0,1173.28,1.839719135,13.44100756,0
84,2.78,126818.0,613.89,2.153639469,15.1880706,2
85,3.19,247067.0,1265.46,1.93059887,15.16182689,2
86,1.86,257106.0,1416.88,3.062855359,15.31759396,1
87,1.96,144523.0,959.11,3.106115459,16.27100113,2
88,1.11,380886.0,2646.34,2.68118731,16.12671523,1
89,1.05,262326.0,1463.65,3.752716574,16.74257524,0
90,1.63,125455.0,824.06,1.325066273,13.73111504,1
91,3.78,138356.0,678.19,2.654510099,13.69274675,2
92,0.49,246493.0,1350.48,1.300388268,14.49623087,0
93,1.61,360983.0,2365.12,2.087857315,13.48050499,1
94,0.15,147616.0,649.84,2.881400198,15.91401566,0
95,0.97,373975.0,2135.02,1.917936071,13.50645232,0
96,1.56,136405.0,625.17,2.468998648,15.15573831,1
97,1.09,377893.0,2337.32,3.412860612,15.76051695,1
98,1.89,341255.0,1798.32,1.18625839,12.26634034,1
99,2.07,237568.0,1349.99,2.244659907,15.16775365,2
100,3.85,344694.0,1433.53,0.810247974,13.44676266,2
101,1.75,352504.0,2261.45,1.710880048,14.67359733,2
102,1.95,365505.0,2073.98,3.17362377,15.98842684,1
103,1.19,135980.0,700.43,3.154865188,13.6944502,1
104,0.4,159326.0,836.79,4.560841914,16.95883112,0
105,0.4,252690.0,1476.1,1.007316901,13.14514773,0
106,1.84,248340.0,1468.42,3.085794675,15.58917345,2
107,3.46,356342.0,2133.09,2.120757025,15.23330714,2
108,1.94,270995.0,1877.9,4.514350496,16.1525616,1
109,0.56,162620.0,613.89,3.656107701,16.02414779,0
110,2.52,246157.0,1268.86,1.670256745,15.11998227,2
111,1.48,128535.0,745.82,3.603514843,16.01084522,1
112,0.65,380313.0,2285.47,3.27594367,15.47269884,0
113,1.94,245926.0,1853.0,3.378409071,15.75208033,2
114,1.98,142804.0,924.27,1.936740499,13.48968445,2
115,0.53,155083.0,1007.89,3.654430683,16.65284422,0
116,1.55,148409.0,1304.24,3.418745658,15.59304541,1
117,1.1,255723.0,1773.1,1.795638939,13.52281844,1
118,2.86,238268.0,1898.49,3.075199273,15.15456743,2
119,1.35,271460.0,1839.49,4.242001335,17.09180468,1
120,1.29,266868.0,1899.81,3.982866928,16.46707342,0
121,0.67,163552.0,824.75,4.420926796,17.10139655,0
122,2.15,340461.0,2152.76,2.646812527,14.72419086,2
123,1.08,240108.0,1370.64,1.426257856,12.86385157,1
124,4.12,144044.0,1182.91,2.884322704,15.43973466,2
125,1.53,360436.0,2186.33,2.313123485,13.30146851,1
126,2.46,249431.0,1772.07,2.950242723,15.53056666,2
127,1.51,244248.0,1446.8,1.722031377,12.59790691,1
