,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),avg,std,num stds,class
0,1.69,235031.0,1691.14,1.950838767,13.50064748,1.483864832,0.729221266,0.944168964,2
1,0.6,349229.0,1760.88,2.624133667,13.50921245,1.483864832,0.729221266,-1.368396268,0
2,0.39,156168.0,852.4,3.924922029,17.71680133,1.483864832,0.729221266,-1.603856815,0
3,1.73,255201.0,1397.52,3.568131632,15.42537094,1.483864832,0.729221266,0.684059493,1
4,2.87,128110.0,985.52,1.818211682,14.53330951,1.483864832,0.729221266,2.265757623,2
5,2.16,356105.0,2269.93,0.962415201,11.60089147,1.483864832,0.729221266,0.942736804,2
6,1.31,243139.0,1331.16,1.040981878,11.2583727,1.483864832,0.729221266,-0.6481667,0
7,1.72,149486.0,939.81,3.597693233,15.83305398,1.483864832,0.729221266,0.082534514,1
8,1.61,126524.0,1068.7,1.026815047,12.84300459,1.483864832,0.729221266,0.407439202,1
9,1.51,153136.0,722.41,4.338061733,16.93959982,1.483864832,0.729221266,-0.412861151,1
10,1.92,129046.0,884.97,2.84532376,16.07497291,1.483864832,0.729221266,0.726374938,2
11,1.76,128858.0,979.01,1.789882109,15.35580337,1.483864832,0.729221266,0.682442284,1
12,1.89,138861.0,961.6,2.993371031,17.66485441,1.483864832,0.729221266,0.186579775,1
13,1.11,247108.0,1373.77,2.619057023,15.31700696,1.483864832,0.729221266,-0.830441891,0
14,1.14,117890.0,895.43,0.038529525,12.308163,1.483864832,0.729221266,-0.310334374,0
15,0.87,379359.0,1782.83,3.114059571,15.35915547,1.483864832,0.729221266,-0.417102766,1
16,1.92,263460.0,1322.66,4.450480922,16.0669689,1.483864832,0.729221266,0.455395185,1
17,0.71,257624.0,1257.73,3.848681021,16.43185199,1.483864832,0.729221266,-0.52057853,0
18,2.82,122055.0,798.78,2.429293172,15.53291266,1.483864832,0.729221266,1.685068802,2
19,1.32,264427.0,1707.29,1.458708642,13.85735225,1.483864832,0.729221266,-0.481527832,1
20,1.35,370062.0,2335.27,3.2347798,15.8760133,1.483864832,0.729221266,-0.342571742,1
21,0.69,383240.0,2427.02,3.74860139,17.25709265,1.483864832,0.729221266,-1.466975753,0
22,0.4,248086.0,1719.45,1.708366471,13.60837146,1.483864832,0.729221266,-1.363359907,0
23,1.38,274712.0,1581.24,3.95979277,17.27949916,1.483864832,0.729221266,-0.229291367,1
24,4.26,345845.0,1618.04,1.933992012,14.97067445,1.483864832,0.729221266,3.387000289,2
25,2.31,140893.0,1199.92,3.247560854,15.36623279,1.483864832,0.729221266,0.829328488,2
26,1.81,357468.0,2347.77,0.975097754,12.35685238,1.483864832,0.729221266,0.474063812,2
27,1.58,234920.0,1334.0,1.826589186,13.43762345,1.483864832,0.729221266,0.11509379,1
28,1.15,379743.0,2212.4,3.408029362,17.1325437,1.483864832,0.729221266,-0.27597659,1
29,1.48,130291.0,875.91,1.443464334,13.46175798,1.483864832,0.729221266,-0.759372353,1
30,1.03,269253.0,1769.01,2.845728335,15.31016215,1.483864832,0.729221266,-1.225774468,0
31,0.79,390162.0,2374.91,3.960435275,17.09925356,1.483864832,0.729221266,-1.110782013,0
32,2.75,238969.0,1194.84,1.962081655,13.97967118,1.483864832,0.729221266,0.781661238,2
33,1.72,370406.0,2543.78,2.013474486,15.13828226,1.483864832,0.729221266,0.160479301,1
34,3.39,139090.0,1018.53,3.293260091,16.57047972,1.483864832,0.729221266,1.722603932,2
35,1.75,151625.0,850.8,4.141027545,16.11770707,1.483864832,0.729221266,0.132987445,1
36,0.65,367449.0,1808.63,2.483528544,15.74507785,1.483864832,0.729221266,-1.317001029,0
37,1.38,369361.0,2431.49,1.4657638,12.53405047,1.483864832,0.729221266,0.189284522,1
38,3.84,353177.0,1702.45,2.227120834,15.3719944,1.483864832,0.729221266,3.986816511,2
39,2.48,270402.0,1583.99,4.321861229,14.90132723,1.483864832,0.729221266,1.252071694,2
40,2.15,137048.0,635.6,3.490252421,16.17381378,1.483864832,0.729221266,0.48620503,2
41,0.36,159524.0,1278.41,4.182485033,16.8264948,1.483864832,0.729221266,-1.248576611,0
42,0.93,155210.0,1386.31,3.41803705,17.56055778,1.483864832,0.729221266,-0.492419681,0
43,1.38,132020.0,887.45,1.194281401,13.57008452,1.483864832,0.729221266,0.410985138,1
44,0.57,386561.0,1800.23,3.748069106,17.27320752,1.483864832,0.729221266,-1.419256147,0
45,0.65,264637.0,1356.11,3.829134491,16.14244819,1.483864832,0.729221266,-0.613601032,0
46,1.67,273230.0,1898.65,3.602437234,17.25861311,1.483864832,0.729221266,0.235040075,1
47,1.73,380665.0,2464.2,3.329250434,16.43414362,1.483864832,0.729221266,0.42974448,2
48,0.33,374593.0,1955.85,3.586038553,17.08941537,1.483864832,0.729221266,-1.216364782,0
49,0.86,151454.0,927.08,3.728717331,17.10982168,1.483864832,0.729221266,-0.925991215,0
50,0.53,147935.0,1042.06,4.396501627,17.73027397,1.483864832,0.729221266,-1.742570463,0
51,2.18,265833.0,1915.89,4.87981644,16.81081756,1.483864832,0.729221266,0.617161199,2
52,1.58,259641.0,1810.49,3.634156833,15.96005667,1.483864832,0.729221266,0.029658057,1
53,1.23,362655.0,2273.98,1.556601092,13.39074383,1.483864832,0.729221266,-0.203293097,1
54,1.57,114947.0,708.32,1.00863953,13.02063801,1.483864832,0.729221266,-0.208653999,1
