,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.86,280183.0,767.47,2.500132942,16.91666209
1,2.03,166546.0,753.8,4.155610827,18.23204312
2,2.18,254757.0,669.45,2.240045872,17.52219257
3,1.15,374832.0,1775.99,1.365407934,17.60191211
4,2.31,272350.0,2577.26,5.102544356,12.09251799
5,0.79,351270.0,878.42,0.664651806,15.39517285
6,1.25,273617.0,1254.92,3.377713501,16.95958204
7,1.16,375653.0,1011.38,1.688154078,13.28110871
8,0.81,250409.0,1488.3,1.941928287,14.32085691
9,1.87,270887.0,1921.92,5.35687673,14.7203654
10,1.0,238705.0,1346.9,2.78210051,18.26010319
11,1.21,168630.0,2428.71,1.784331399,17.21844947
12,1.87,114000.0,653.37,3.877070597,16.53702148
13,1.39,142475.0,1204.55,7.281625698,16.110188
14,0.38,123477.0,825.98,2.197096372,14.62670337
15,2.38,162446.0,1853.76,2.986776311,17.38018783
16,1.31,143454.0,1212.98,2.927387497,14.22727208
17,0.89,120292.0,874.14,3.226208417,12.24706128
18,0.96,138888.0,2039.42,2.233058491,16.52668312
19,1.65,255280.0,1118.05,5.784971389,14.21758747
20,1.05,368336.0,727.58,1.217601002,16.80384578
21,2.05,267243.0,2476.28,3.847892182,14.8976585
22,1.48,136009.0,1023.95,3.45305735,15.92394944
23,1.5,225372.0,739.21,1.795940711,15.58296213
24,1.5,252629.0,1821.76,7.355194824,18.26382233
25,1.0,148793.0,1875.67,3.23048879,18.80873809
26,0.96,159523.0,1284.83,3.165478991,17.35281299
27,2.96,365887.0,2402.27,3.388255952,14.80188057
28,0.83,398948.0,2468.57,7.104947938,13.94447102
29,1.79,261671.0,1877.88,3.006335773,18.05022534
30,0.51,153527.0,633.61,3.043358146,16.97059564
31,1.69,157275.0,2336.72,3.342941693,15.97793679
32,1.01,162234.0,1817.81,3.535512113,14.48175271
33,1.7,383398.0,1471.8,2.296701439,13.86411283
34,0.84,129447.0,1091.21,2.095189967,16.12862659
35,1.33,176307.0,905.96,1.376668376,11.98096125
