,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.97,275827.0,2427.07,2.940010539,15.65237358
1,1.53,361304.0,2254.81,2.911448802,16.25139662
2,0.85,255160.0,1199.39,2.675213166,13.59638073
3,1.39,239141.0,723.54,3.749661383,12.88674056
4,1.0,399043.0,1786.87,3.109835879,14.38693094
5,1.45,140580.0,1154.83,5.482069425,14.0622032
6,1.84,141429.0,3856.58,6.269936986,16.64459095
7,1.43,130254.0,2130.56,3.852945114,15.01038352
8,0.93,270868.0,1024.23,5.281057786,12.09691683
9,1.65,228773.0,2155.15,1.875407174,17.64663433
10,1.06,253663.0,2313.1,4.39117279,12.80761145
11,0.9,243936.0,2302.49,6.168931112,15.64371592
12,1.43,163108.0,2564.17,6.843024157,12.92296123
13,1.95,263147.0,2518.99,4.791945874,14.81208596
14,0.58,151844.0,2396.97,2.453439952,16.66275554
15,1.79,139070.0,1258.71,2.464393963,16.26186446
16,0.19,168760.0,2157.32,5.352861557,16.51292155
17,0.66,381213.0,1312.28,6.009541355,13.87486334
18,0.65,145593.0,2498.44,1.486707296,15.35421549
19,0.51,256033.0,2293.06,0.657750747,15.22051867
20,1.84,124348.0,2255.14,6.661675442,17.11067536
21,1.17,234825.0,2400.97,5.255389273,15.86463006
22,1.53,433483.0,917.11,2.606624143,16.60254909
23,1.41,374727.0,1783.16,0.989892094,15.56241569
24,1.16,276765.0,2394.72,1.663908455,13.89074802
25,1.55,142261.0,2082.06,2.709769658,16.13328688
26,0.56,164725.0,1347.23,2.954435046,17.52161427
27,1.98,134580.0,2352.24,3.742088369,13.98553131
28,0.67,241122.0,1853.79,6.414891763,13.05712852
29,1.41,137009.0,2122.68,6.30181628,16.91435799
30,0.94,264595.0,1072.15,5.248144722,12.40817693
31,1.63,148188.0,1724.51,0.855061831,15.91117761
32,1.61,230865.0,1122.66,1.596172741,16.12894978
33,1.53,252099.0,1083.44,6.032573696,15.25951357
34,1.29,211577.0,819.98,3.327547765,16.13449036
35,1.61,107488.0,1775.85,2.911784451,14.29637414
36,1.54,153516.0,586.86,1.908240627,15.3167244
37,0.23,271612.0,693.65,3.091277393,15.63679227
38,1.1,149749.0,1301.97,4.476344507,19.00524814
39,1.92,245942.0,1534.91,6.972233348,15.60387975
40,1.37,402879.0,2126.58,5.789670106,13.55643998
41,0.78,237231.0,1280.49,3.513577749,15.75071381
42,1.33,130362.0,975.78,1.127615267,15.99694628
43,1.56,369553.0,1278.84,2.969832139,18.44014972
44,0.5,234167.0,1051.55,1.02679658,17.71203058
45,1.82,151944.0,1206.72,5.939492685,12.79937701
46,1.37,169720.0,1280.55,6.68742577,15.28497234
47,1.19,144852.0,599.5,5.122748293,15.65626568
48,1.71,357563.0,1397.06,2.337455467,13.73640822
49,0.99,139241.0,3109.18,6.361849823,15.37237666
50,1.33,264587.0,1738.35,2.212214539,15.32179664
51,2.36,236453.0,1199.41,1.899846887,15.93096494
52,0.92,157936.0,1732.01,3.664059685,15.13438777
53,1.09,207664.0,3383.05,2.148825365,15.54787403
54,1.81,249693.0,2176.17,2.716527311,12.32817503
55,1.63,255079.0,877.19,2.348561214,15.121295
56,1.06,248299.0,1511.0,1.674597829,11.2583727
57,0.97,249680.0,2369.11,6.618340173,15.00621787
58,1.75,202948.0,2290.18,6.151750443,14.53883533
59,0.65,148458.0,1488.69,0.953764643,15.38919771
60,1.55,114664.0,1865.97,3.462104538,15.44196881
61,1.37,240236.0,1315.42,1.82551105,13.63895076
62,0.41,273107.0,2244.24,1.032553796,16.07220706
63,1.7,366826.0,781.63,0.935865748,17.27883365
64,1.27,146820.0,1163.24,2.831561242,19.630501
65,1.97,452586.0,1423.2,5.082728084,15.28957085
66,1.72,360493.0,2244.81,4.329317351,13.77307563
67,0.69,236579.0,3214.06,4.3594079,14.98718932
68,0.68,177411.0,2057.53,1.934631101,13.43316024
69,2.55,150979.0,1227.04,3.011223409,14.33221933
70,0.35,248227.0,1350.19,2.150169997,14.75864854
71,1.44,149163.0,2265.01,1.561866689,15.25830117
72,0.57,261330.0,1179.44,0.242037799,14.98634304
73,1.0,264163.0,1424.59,4.324316321,15.90033627
74,1.34,267671.0,1032.83,1.588741228,12.41614361
75,1.9,145897.0,1988.07,3.937919628,15.91874483
76,0.9,372455.0,2019.96,2.549746446,15.45622194
77,1.04,427110.0,1302.88,5.026011809,12.66739056
78,1.51,380266.0,623.52,-0.326393035,13.49283857
79,1.44,257906.0,1085.48,5.725300744,16.38289576
80,1.56,246757.0,2081.96,6.153038904,15.64213918
81,0.38,158069.0,1193.66,0.36539454,17.38035193
82,1.86,364285.0,2791.8,6.175790834,15.24193119
83,0.72,240940.0,1988.59,1.732017905,15.44243443
84,1.08,280053.0,1719.54,4.613047568,15.77261099
85,1.52,252845.0,1301.59,1.79132239,16.13830078
86,1.7,251558.0,2008.59,3.033556627,16.63741272
87,1.55,357705.0,1397.18,2.85911707,12.07979604
88,0.99,269772.0,1413.16,1.825991914,15.01526676
89,1.46,170125.0,2482.52,3.390166324,16.02938104
90,0.86,367646.0,1984.47,3.003469843,15.84432188
91,2.48,236221.0,1732.23,0.539170413,14.94803649
92,1.73,356513.0,1118.7,2.227847608,11.69289857
93,0.43,145173.0,3716.64,3.158337517,17.37928935
94,1.46,135296.0,819.71,6.857411617,17.95315139
95,1.36,150766.0,1939.5,4.013935114,15.89206617
96,1.52,201239.0,2048.96,6.934985915,16.36590288
97,1.93,134969.0,2018.99,2.671654033,13.64408546
98,3.7,357706.0,1073.74,6.248185714,13.69552989
99,1.28,156135.0,4042.86,3.672340483,16.0208361
100,1.62,170203.0,764.91,5.312811867,12.59312341
101,1.0,379023.0,1205.05,6.87894606,13.98264699
102,2.29,357360.0,4133.92,4.595638971,16.20656771
103,2.12,233872.0,2122.1,2.465248207,13.26983387
104,0.51,255610.0,2180.4,4.559524013,17.47161522
105,1.23,153397.0,1216.95,6.137990399,13.1153415
106,1.71,439511.0,2285.84,2.884782797,13.27247114
107,0.65,127681.0,932.09,4.220329703,13.66196734
108,1.87,254514.0,2023.47,6.85592641,12.7559263
109,1.53,385287.0,1760.52,7.226961895,15.98885818
110,1.33,268685.0,2133.89,5.187841025,14.97438189
111,1.09,152916.0,2246.06,1.454377758,13.0448092
112,0.1,267696.0,1837.62,4.783355827,14.10846448
113,1.3,153472.0,2169.56,2.278734181,16.56148804
114,1.57,166289.0,586.86,2.303086241,14.46571339
115,1.33,160836.0,847.31,3.248084068,11.45242379
116,1.42,379281.0,958.42,5.08832566,15.40636724
117,1.34,138116.0,2387.84,7.435249954,14.28923558
118,1.5,127792.0,897.44,3.344612804,14.95825385
119,1.35,368098.0,2548.52,1.101343253,15.74117628
120,0.89,132942.0,2027.32,6.968281094,17.69316183
121,0.7,355296.0,1698.07,0.823885545,14.79012432
122,1.69,133915.0,2273.44,1.383587613,15.46366653
123,3.03,154985.0,2399.26,3.670611845,13.29643317
124,1.35,355350.0,1401.65,2.105197645,15.87813902
125,1.37,392705.0,2287.24,0.886398121,15.22905126
126,0.61,267727.0,2027.35,1.611986902,16.33054884
127,1.55,158012.0,671.16,6.200105565,14.07852896
128,0.91,367574.0,2121.76,2.465438589,14.26920279
129,1.52,150084.0,1156.37,3.554663241,16.3346997
130,1.5,177134.0,1446.78,5.692734279,14.35348563
131,1.24,261885.0,2155.89,5.803292644,12.44935808
132,1.88,384960.0,3118.11,6.092199906,12.71930955
133,0.46,135682.0,969.49,1.763963471,15.45475388
134,1.57,165637.0,3228.6,1.417330766,15.76257115
135,1.39,256832.0,2290.21,5.418077999,16.09055691
136,1.94,251231.0,1176.61,7.452322841,15.53992218
137,1.38,265785.0,1389.18,3.920410905,12.98920051
138,1.41,248208.0,912.73,1.319003422,12.1668002
139,1.53,243029.0,2127.13,5.102494829,15.35924283
140,0.72,271994.0,2469.59,6.215676636,15.45287487
141,0.66,142446.0,1307.99,3.108631874,13.14312708
142,0.4,161363.0,836.14,1.644557295,15.96933973
143,0.2,142210.0,2278.82,0.535071585,17.80175942
144,1.57,264206.0,2403.6,-0.027538706,11.3707669
145,1.68,140393.0,2005.02,4.888449783,17.5031129
146,1.67,132407.0,1199.1,5.123958164,15.42826488
147,1.18,256004.0,1419.01,1.947206928,16.81024852
148,0.4,240427.0,1013.94,6.923926762,13.16684787
149,2.08,153282.0,3053.72,5.263654538,17.61021011
150,1.56,234171.0,2618.17,5.974565247,12.47787947
151,0.45,142735.0,1081.45,5.221087044,17.0293858
152,1.67,156433.0,4669.51,4.320102476,11.90753378
153,0.88,346344.0,1600.85,2.681450945,17.7806904
154,1.72,273460.0,1766.86,1.406578042,16.44499152
155,0.96,183057.0,859.2,6.444055575,13.27244613
156,0.9,146317.0,1258.14,3.283436781,16.19510294
157,1.87,126130.0,1250.26,2.435408631,16.76302071
158,0.78,244545.0,1845.76,1.876395355,13.5335365
159,0.6,122012.0,2238.36,5.891150487,14.7715609
160,2.06,143869.0,594.4,2.723185174,16.61521362
161,1.53,124287.0,1120.27,2.465781687,13.40476315
162,1.26,252030.0,3718.47,3.185834003,16.58903852
163,1.89,370431.0,2569.49,4.257653552,15.77512982
164,1.21,365992.0,998.39,1.418816265,17.14464367
165,1.4,160532.0,2346.53,3.903259435,15.568434
166,1.01,156262.0,714.03,4.947701129,15.06322887
167,0.52,139404.0,1197.3,2.785378876,13.10768788
168,1.2,376646.0,1183.76,5.439657359,13.37611149
169,0.39,162370.0,1386.74,3.35430893,16.31378336
170,0.54,424742.0,2424.26,1.600867592,15.90990732
171,1.25,174020.0,3297.84,6.12257515,14.00308474
172,0.7,169013.0,870.29,0.455956796,14.88430243
173,1.15,139817.0,1877.9,3.712518244,15.69914899
174,1.35,256317.0,4644.52,5.351742008,17.2618535
175,1.97,138708.0,2374.07,3.15866014,15.95008867
176,1.74,252764.0,2383.83,5.673214065,14.37753459
177,1.61,253791.0,1314.47,4.811824533,16.34466836
178,1.21,270198.0,1204.34,3.853620155,15.96885768
179,1.04,237467.0,1548.45,7.470326352,16.32173356
180,0.27,426906.0,1496.78,1.324133204,14.87726074
181,2.01,137664.0,2018.84,0.605930792,14.52889728
182,1.3,384018.0,2257.64,1.549919267,17.27699124
183,1.11,356670.0,2433.13,5.816491453,15.7837506
184,2.89,115153.0,1196.04,3.379107895,18.50081939
185,1.69,363211.0,631.62,0.818045066,15.53142634
186,1.41,146404.0,2049.57,5.406472183,16.64124058
187,0.58,243941.0,1219.27,3.821574813,14.91246882
188,1.83,224840.0,3930.55,4.088100876,13.37451448
189,1.84,344673.0,1142.16,3.708634875,16.88114124
190,1.6,265127.0,2209.75,3.78232462,15.39782778
191,1.72,267340.0,2125.84,0.386581614,14.00230972
192,1.76,357947.0,1889.79,-0.15948897,12.24906178
193,1.71,246077.0,1367.23,0.397233321,16.1088808
194,0.56,269942.0,2151.36,2.615106048,15.89176228
195,1.4,134087.0,3169.07,1.971069273,13.91123124
196,0.92,251264.0,1965.32,1.908924484,13.70388236
197,0.56,392760.0,1479.64,2.73413095,15.59207138
198,1.75,342311.0,1613.82,2.207916178,15.80744639
199,1.58,283876.0,2122.0,6.465716383,16.26907442
200,0.41,363601.0,2184.42,2.961613443,15.28589831
201,1.67,259330.0,1515.07,2.248569207,15.40658461
202,1.37,159448.0,788.55,4.648705126,16.11973776
203,1.75,342568.0,1340.22,2.567938785,12.38635728
204,1.8,153683.0,1379.83,4.637731657,11.78443718
205,0.41,139787.0,1126.14,5.304770203,15.94716543
206,0.74,388260.0,1999.66,1.647322944,15.24556907
207,1.0,134476.0,2387.71,5.374125598,13.86186066
208,1.38,384341.0,2230.78,3.196969379,13.75829539
209,1.98,249237.0,1059.98,6.066368317,15.45639789
210,1.46,163839.0,2128.73,3.2843354,17.15326672
211,0.62,252442.0,3346.93,2.614272163,12.90714172
212,1.42,162186.0,2296.57,2.743912205,16.93266032
213,1.09,356952.0,2203.53,3.014797473,16.48004866
214,0.51,370873.0,2464.11,4.277030373,14.20863585
215,0.88,246843.0,2420.48,4.746567816,13.92354002
216,0.74,264777.0,2053.39,4.075913803,15.5490587
217,0.55,152463.0,1876.85,1.836512996,15.57164811
218,1.55,167839.0,848.52,3.603370883,15.26677731
219,1.64,135162.0,1453.14,1.754780166,16.90781416
