,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.93,1136,130113.0,1024.05,2.231211654,16.74459254
1,1.77,384,117557.0,1436.41,3.690441589,16.24399862
2,2.01,753,374745.0,845.53,4.649420713,17.06622779
3,1.02,1188,231251.0,2323.55,6.037432216,16.19893359
4,1.38,355,136761.0,988.51,3.136733783,17.19976984
5,0.67,420,239685.0,619.37,5.914174706,15.96707423
6,2.81,1355,102559.0,1734.96,4.139867397,15.27742917
7,0.6,791,290241.0,2306.77,6.236436406,15.45376338
8,1.42,454,191228.0,1706.13,5.357941968,15.74908057
9,2.74,384,137441.0,586.86,6.254691762,15.52540995
10,1.89,754,149352.0,764.81,3.647731134,16.28159776
11,1.99,384,349756.0,1962.48,2.281761096,16.68936479
12,1.82,1133,360939.0,1012.6,2.068571052,15.68011162
13,2.13,401,160280.0,777.06,3.752339322,14.84350661
14,2.75,763,247407.0,799.37,3.065853812,17.40295031
15,0.65,825,219307.0,1720.6,5.899014343,14.985725
16,2.3,373,135213.0,717.58,2.379352539,16.0015647
17,2.56,1131,261695.0,1209.27,1.958187507,15.59849329
18,1.5,819,246339.0,1904.86,4.7574621,17.15660953
19,1.63,740,251193.0,677.06,5.582574245,15.11523055
20,0.92,800,363202.0,2518.13,5.162976105,15.83725503
21,0.86,789,78976.0,1631.46,5.780618536,16.43002197
22,2.6,732,395167.0,2078.9,4.728127715,15.32652227
23,1.38,786,78065.0,1068.45,1.409454605,15.40436747
24,1.8,433,234902.0,1308.09,7.155783558,16.34620975
25,1.51,422,149341.0,855.83,7.347761855,13.2044802
26,2.08,749,241793.0,1751.8,2.977136483,14.76693408
27,1.71,433,362386.0,2216.02,4.965825378,18.31392265
28,1.46,1157,121855.0,2043.62,3.855627036,16.99954159
29,1.05,787,133207.0,1031.44,7.0749907,16.6037872
30,1.84,816,133392.0,1614.87,3.100643667,17.37693132
31,1.36,1000,252633.0,3752.38,6.489702883,16.2458745
32,1.71,427,128017.0,635.85,2.731335933,14.08268926
33,0.58,406,266081.0,2985.04,6.380942159,16.32288199
34,2.18,435,139733.0,586.86,3.569588249,16.57562207
35,3.46,368,134407.0,876.88,4.174348284,16.8928641
36,1.41,383,258394.0,802.77,2.166129281,16.72409697
37,1.56,1031,181087.0,639.77,6.389522432,16.72840972
38,1.38,1164,159364.0,1085.09,3.272784289,16.60918405
39,1.31,773,148224.0,856.26,4.778752605,16.39173386
40,1.43,1459,121179.0,804.05,7.327666868,17.00529108
41,1.68,818,129211.0,2489.08,3.331584017,13.68463306
42,1.67,503,149060.0,2267.39,3.004778383,14.62228163
43,2.61,379,137012.0,586.86,6.927686164,15.68209174
44,1.56,1110,141468.0,586.86,5.754563227,15.03734924
45,1.19,403,121686.0,982.21,6.125296241,16.21233581
46,1.1,426,140011.0,1106.16,5.409667217,16.94296742
47,1.23,451,143003.0,963.97,4.705195278,16.45619141
48,2.24,397,359413.0,586.86,2.682554599,17.60879192
49,1.21,757,104619.0,1909.66,5.033519775,15.03107141
50,2.28,1131,251530.0,4349.25,3.029387197,16.05648638
51,1.81,736,371917.0,3325.78,1.678569111,14.68238283
52,0.93,827,126535.0,2291.33,4.08523616,16.32967693
53,1.65,789,246969.0,1866.67,4.988778318,17.13688714
54,0.93,440,141046.0,901.5,4.883064444,14.72803309
55,2.2,1094,358234.0,2450.78,1.25438714,15.58522485
56,2.14,429,277019.0,3134.37,1.296309142,16.17956411
57,2.86,361,123647.0,586.86,3.299488386,16.54707473
58,2.29,1167,255616.0,2315.95,5.321456516,14.90303074
59,1.81,358,151074.0,586.86,5.961778085,16.58057688
60,3.61,1121,353950.0,758.34,4.258388761,15.47780851
61,3.02,776,248082.0,3350.47,6.293009913,15.39761552
62,2.23,1093,131526.0,673.5,3.122138908,17.12457723
63,1.99,427,267931.0,2128.45,2.56892731,15.80112525
64,0.58,815,246998.0,1862.49,4.011082894,17.72880199
65,2.24,794,256790.0,1726.24,4.881485084,16.65242829
66,2.41,451,121284.0,879.07,6.047092415,16.46935977
67,1.8,407,157614.0,586.86,5.235723485,15.61373993
