,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.83,243097.0,1191.63,0.352002666,15.22530842
1,0.59,360624.0,1183.51,2.022390199,12.82965592
2,1.27,146173.0,1151.26,3.443181705,16.06670582
3,2.1,262256.0,1470.29,6.455546516,17.55766832
4,0.88,362864.0,2045.02,2.998815732,15.76873537
5,1.29,362719.0,2702.15,2.627831263,16.73676036
6,1.74,135583.0,1988.75,7.260958297,15.64075195
7,2.89,128044.0,2500.06,0.31644808,15.51027935
8,1.63,136574.0,1177.62,3.332613665,12.98683595
9,2.59,380634.0,2378.15,4.079457897,16.13576285
10,1.77,160203.0,2610.36,3.17295625,15.61717483
11,1.82,128090.0,1068.23,2.237635738,15.29253265
12,1.61,258211.0,1467.29,3.03922532,16.88236489
13,1.04,137725.0,921.3,2.982766207,12.97905031
14,1.78,360766.0,622.36,4.60066078,15.25287517
15,3.04,376821.0,1224.27,2.795826014,16.10518071
16,1.84,145035.0,1963.0,1.172747534,16.26512104
17,1.26,374734.0,1048.17,1.97779359,15.4354824
18,2.12,260929.0,1974.9,2.613293983,15.41248435
19,0.73,160276.0,944.61,3.861505249,16.99683549
20,0.79,357954.0,586.86,3.205560183,16.64939971
21,0.88,372036.0,1926.63,8.255641284,17.20726028
22,0.49,131356.0,1104.78,2.978147579,16.03086603
23,1.73,262574.0,1159.07,2.517680995,16.64242149
24,3.42,147688.0,586.86,3.614108812,17.08854267
25,0.69,369577.0,748.95,2.445857809,15.27917486
26,1.73,151926.0,683.28,2.899201366,13.61725075
27,1.85,260435.0,1360.19,5.816478066,16.68421875
28,1.06,142392.0,773.04,2.129800985,14.33738288
29,1.3,135346.0,2507.77,6.582709323,17.24212908
30,1.74,372288.0,616.34,3.142092043,15.54279006
31,1.62,132094.0,1258.26,4.519105446,15.35555701
32,0.62,363477.0,920.39,2.07041732,14.69709242
33,1.25,390132.0,1780.94,2.095536841,16.81510158
34,1.34,363533.0,1342.81,1.557273523,16.88651662
35,0.5,131335.0,972.41,4.534247658,16.81611834
36,0.86,250360.0,1698.88,1.967174126,16.60244751
37,1.65,240992.0,2344.16,4.081355787,15.32036821
38,1.39,143624.0,986.96,4.294348811,15.12452383
39,1.62,159776.0,2276.79,3.048977787,12.78967408
40,1.7,244388.0,1900.15,1.229156459,16.39914165
41,0.92,232338.0,736.8,2.779646069,16.59510874
42,3.21,239484.0,2262.05,4.881902515,15.13919916
43,1.38,382871.0,1110.24,5.712639886,16.69521417
44,1.26,363486.0,1761.03,6.687715318,14.82639343
45,1.11,282617.0,2394.35,2.741883532,17.54302799
46,1.52,149409.0,2053.39,1.412440912,17.0822246
47,1.49,135188.0,768.97,7.424784971,15.01232406
48,2.44,136319.0,1760.17,3.142710152,15.64614414
49,1.54,170585.0,1846.82,6.374923222,15.22789218
50,2.23,240991.0,1584.98,2.424492835,15.73373748
51,1.19,376555.0,2451.4,1.948658896,17.1367286
52,0.94,373674.0,778.28,2.044491669,15.2894531
53,1.97,144748.0,2121.48,3.623064628,17.45357396
54,1.42,359969.0,2457.78,7.39387247,15.89593646
55,1.74,357727.0,1568.16,2.405831855,13.91658682
56,1.07,379465.0,2080.98,2.188306931,17.442593
57,1.25,263538.0,1407.7,3.275838177,13.30205995
58,1.07,265239.0,2295.61,7.365094675,13.44900879
59,2.3,246969.0,3056.75,2.57582882,16.48582968
60,2.62,393694.0,832.82,6.253397445,16.45039429
61,2.0,255166.0,1621.52,4.417863885,15.67538267
62,1.03,250438.0,931.42,5.418227578,17.35609357
63,1.49,121850.0,1760.92,1.334671979,17.19032799
64,1.78,240610.0,1986.15,3.767654008,17.00182232
65,1.53,244686.0,1983.81,5.363418825,16.26157496
66,1.56,134902.0,2298.27,0.605133906,16.45673522
67,2.27,140335.0,2293.38,5.842470995,16.68343772
68,1.5,266233.0,2167.53,5.812791248,12.39853824
69,2.11,108351.0,1008.81,1.872034114,12.94891609
70,2.08,372264.0,1504.2,5.275438176,17.75167206
71,0.73,305536.0,1119.3,7.780626017,17.33478096
72,2.45,356161.0,1186.41,1.79058804,16.55160702
73,1.95,145635.0,2237.49,3.42247477,15.99198162
74,1.68,376696.0,2855.46,6.699393706,17.62658567
75,0.36,331174.0,1927.52,2.753405413,16.95401428
76,1.87,155232.0,702.78,1.222909099,15.73385615
77,1.55,347825.0,749.45,6.006786884,15.87491093
78,1.91,264629.0,626.67,5.953671674,16.94086904
79,2.81,354533.0,4703.52,5.748870208,16.16229486
80,1.73,178072.0,1225.67,4.69788394,15.93673308
81,1.51,144553.0,1323.27,2.252826558,17.09358276
82,0.63,274428.0,2606.64,3.597837043,16.354675
83,0.49,275711.0,1376.05,2.962512926,13.78729624
84,1.43,164547.0,2335.86,2.302052284,13.01819268
85,1.6,266695.0,978.88,2.921376634,15.77774397
86,0.79,241650.0,1895.72,8.144867392,15.80575322
87,1.41,116351.0,1826.85,5.936272214,14.17229142
88,1.69,253635.0,2856.26,3.041207696,14.75684262
89,1.38,279168.0,1255.23,3.363861298,15.73635922
90,0.7,242206.0,1306.54,5.863076128,15.94520776
91,2.27,265775.0,2151.84,2.53141337,18.76503972
92,0.5,166992.0,720.77,2.934947993,14.84782415
93,0.37,159633.0,2257.18,2.092622826,15.55298674
94,1.82,292454.0,4740.2,2.157170587,16.2884058
95,2.81,168201.0,2445.37,2.996839762,17.61016712
96,1.67,234569.0,586.86,5.438062806,15.95890268
97,1.06,262710.0,861.78,4.598390092,15.80091586
98,0.9,263736.0,2229.99,0.988315106,16.62086563
99,1.0,370764.0,1990.1,1.595744548,17.46022314
