,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,2.75,279359.0,3832.34,3.555392857,16.25609275,1
1,1.58,293338.0,3360.88,7.282903739,17.17362429,1
2,0.35,268150.0,3480.83,7.301807165,15.3859514,2
3,1.98,398401.0,3825.32,4.681363543,15.61379162,0
4,1.07,249649.0,3578.5,6.825145115,16.61430628,1
5,1.45,379053.0,3334.2,6.604051645,16.78665652,2
6,3.16,78165.0,1989.0,3.555392857,14.84427323,0
7,1.7,78065.0,3832.34,5.004663872,14.09046429,1
8,2.03,292753.0,3832.34,5.496330806,16.28128659,2
9,2.22,233107.0,2115.08,6.542236419,15.41367721,1
10,1.86,359872.0,2145.4,5.38704812,16.41507914,1
11,1.33,210892.0,2371.28,6.34408473,14.43286877,1
12,1.49,230182.0,1468.57,4.808046747,16.74227771,1
13,2.67,206562.0,3832.34,5.82380462,16.30756535,2
14,2.99,371715.0,3522.71,4.74889667,15.90388814,1
15,2.04,315132.0,1376.71,3.555392857,16.7116164,1
16,3.04,327869.0,3832.34,4.494246278,16.15054116,1
17,2.97,334156.0,3214.06,4.01055856,14.09046429,2
18,1.65,359865.0,3832.34,5.737767647,15.09065714,1
19,1.6,207163.0,2711.49,5.917690494,17.05148998,2
20,1.89,272392.0,1824.63,5.554142629,14.8572666,1
21,1.58,163694.0,3559.99,4.230043269,15.15475892,1
22,1.89,310384.0,3718.15,5.173519116,16.68767106,1
23,2.58,281874.0,3832.34,8.210921844,15.08320855,1
24,1.55,238522.0,3751.3,6.156133918,15.03675818,1
25,2.36,194483.0,3497.42,4.117603711,16.35865969,2
26,1.65,78065.0,670.89,5.734509881,15.79454088,1
27,0.97,379265.0,2182.82,3.555392857,14.28243625,1
28,1.91,304638.0,3009.47,5.167431401,16.64984062,2
29,2.36,138775.0,3521.87,8.210921844,16.59936542,1
30,0.96,100184.0,2877.53,5.9167615,16.82713245,0
31,1.68,184503.0,2637.88,4.450497272,17.17256872,1
32,1.34,312113.0,3437.08,3.555392857,14.09046429,1
33,1.52,202883.0,1196.12,6.332356853,18.07528386,2
34,2.76,310669.0,3750.45,3.555392857,17.17523574,1
35,3.37,336040.0,3832.34,3.555392857,14.09046429,2
36,1.73,78065.0,1357.96,6.84251942,16.94060152,1
37,2.46,221228.0,2489.12,3.555392857,16.77446393,1
38,1.63,337818.0,3377.63,3.555392857,16.76994222,1
39,2.66,375706.0,3832.34,5.297035793,16.32249247,2
40,1.87,289697.0,3832.34,6.698347241,17.6077412,1
41,0.93,271375.0,2564.67,6.251220649,16.58897606,1
42,1.55,237360.0,3832.34,7.36279992,14.50275793,1
43,1.59,320688.0,2717.62,3.555392857,16.74629608,2
44,0.32,219204.0,3478.55,6.990804722,17.79705129,1
45,1.1,196858.0,2653.18,6.788852493,16.65072927,2
46,1.58,371179.0,3012.04,7.194817012,17.38029938,1
47,2.23,190890.0,2830.14,6.106382697,16.1813997,2
48,1.53,398401.0,3257.15,7.281657187,17.47389257,1
49,1.79,327785.0,1664.45,4.528320768,18.34109683,1
50,1.29,129649.0,3832.34,6.852184406,17.65057884,0
51,3.05,398401.0,3084.82,8.088037398,14.09046429,1
52,3.27,398401.0,3356.08,5.93911701,15.33991646,1
53,1.75,228509.0,3821.56,5.065394615,16.2575922,1
54,1.49,123291.0,2501.07,7.378864879,18.47442785,1
55,1.77,177471.0,2673.11,6.322657343,17.47011222,1
56,1.49,155970.0,2300.05,5.712866697,14.68010319,1
57,1.2,203537.0,1562.89,4.893259329,16.88463238,1
58,1.77,270831.0,1344.02,5.18255658,14.74965978,2
59,0.32,312295.0,3247.24,4.795426149,16.92828283,1
60,3.15,120424.0,3832.34,4.214966213,16.156298,2
61,0.57,315076.0,3313.75,4.194506641,17.20457126,1
62,0.84,238619.0,1673.71,5.628120281,15.9696581,0
63,1.39,301380.0,2825.37,4.810668496,16.65883315,1
64,3.02,87894.0,2615.64,4.258042394,16.74959643,2
65,1.75,264738.0,3671.55,3.555392857,16.30687361,1
66,1.42,230808.0,796.79,4.793623896,19.18270388,1
67,2.0,248749.0,3832.34,4.879963207,16.63529739,1
68,1.38,291618.0,2805.82,6.747151714,17.4577709,1
69,2.65,302467.0,2178.85,3.77303455,17.06742907,1
70,3.13,324269.0,620.61,3.606252675,16.02720326,1
71,1.12,288536.0,2375.73,3.639561638,17.62540376,2
72,1.56,335741.0,2892.42,7.672051073,14.5918829,1
73,0.5,170730.0,3107.96,5.329708668,19.630501,1
74,1.22,225093.0,1859.62,7.342661768,16.2333203,1
75,2.55,290314.0,3482.17,5.709446692,17.4409819,1
76,2.75,220341.0,3557.51,3.555392857,16.58804007,0
77,1.44,192637.0,1109.82,8.210921844,16.15462765,1
78,1.71,283287.0,3149.0,4.682819963,14.76262098,1
79,1.61,290711.0,1461.7,3.555392857,14.09046429,1
80,0.32,309974.0,2775.27,4.511759656,18.05358057,1
81,0.32,184339.0,2651.22,3.555392857,14.5636965,1
82,0.51,296279.0,2763.51,4.980037989,17.21285945,1
83,2.2,308698.0,3328.75,5.792438216,16.23649638,1
84,2.52,290614.0,1443.37,6.11429429,17.5363807,1
85,1.14,326120.0,3534.72,7.038284884,17.64830852,2
86,1.94,243506.0,1713.56,5.856841865,16.95785311,1
87,2.06,150601.0,1500.25,4.900416958,17.07282433,2
88,2.03,275598.0,1381.43,4.184381628,14.97240388,1
89,1.97,186446.0,3832.34,5.537833569,16.32085695,2
90,3.38,242829.0,1808.93,4.867895847,15.91953625,2
91,1.03,398401.0,1595.23,5.51434321,18.69694445,1
92,1.46,206166.0,1312.24,7.490205779,14.52530705,0
