,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.41,384902.0,2341.44,4.557030305,13.77204848
1,1.48,175731.0,1287.41,2.616653612,17.50309094
2,2.08,135877.0,2360.57,1.556950593,16.30348073
3,1.6,265885.0,1872.53,3.46271924,16.29592003
4,1.48,249307.0,1419.92,2.056613535,15.79484681
5,1.78,270383.0,2289.15,4.365237943,16.40304017
6,1.12,390847.0,2352.44,3.165582072,15.3244614
7,1.58,163515.0,2030.87,1.73065451,15.53920496
8,0.78,271268.0,1710.75,0.922635524,12.76167138
9,2.23,145524.0,1883.22,2.096128961,15.51778655
10,2.45,169019.0,2199.92,1.179088882,16.06172105
11,1.12,135474.0,875.91,0.495966333,11.2583727
12,2.05,371979.0,2363.66,2.68133081,16.19610464
13,3.78,378608.0,1791.13,2.799688043,11.60814532
14,1.43,375172.0,1853.68,2.182657683,13.18191766
15,2.7,141144.0,1925.01,2.311174588,16.07088086
16,0.79,151423.0,714.54,2.71504838,15.69429996
17,0.87,145811.0,2304.84,3.221277604,16.01740541
18,1.13,169806.0,1924.12,2.199933547,16.605405
19,1.93,163509.0,2255.82,2.334056859,15.49916778
20,1.57,145907.0,2467.34,1.58253106,15.30483962
21,1.41,145322.0,667.27,1.719156235,16.0123329
22,0.36,357413.0,2276.26,2.515183008,15.57775942
23,1.71,135657.0,1624.06,2.977990324,12.83909318
24,0.4,168933.0,1334.82,2.359779395,15.64141463
25,0.45,154131.0,780.0,2.567397128,16.36650303
26,1.8,141223.0,788.87,3.006654203,15.09750337
27,0.14,353834.0,2277.66,0.995591582,15.78489298
28,0.77,380718.0,1823.66,2.556728778,14.13823285
29,2.56,159399.0,926.43,2.654673516,16.44820054
30,0.0,385740.0,2628.35,2.492123624,16.58842919
31,2.12,147671.0,1992.47,1.512208353,15.66431863
32,0.85,395392.0,2433.56,3.105705154,16.42653544
33,0.65,261527.0,2302.86,4.93924406,16.49230347
34,2.06,142817.0,1132.52,2.286394803,16.42668626
35,1.52,382193.0,1480.28,3.919803066,13.30376444
36,1.16,262754.0,2332.47,1.112244148,15.31544752
37,0.92,355111.0,1660.21,2.173265868,15.47265431
38,0.29,261239.0,2584.86,4.274961822,16.97778807
39,1.47,173745.0,1357.61,0.383198594,13.51647315
40,1.73,129720.0,1240.48,1.18138321,16.29896366
41,1.63,398135.0,694.8,4.620912025,16.13764637
42,1.18,147927.0,770.49,2.187953304,16.224141
43,0.93,147710.0,664.68,3.866631377,16.6735041
44,0.8,255152.0,1219.64,3.281354475,15.23668306
45,0.38,153422.0,2320.63,0.840478558,16.28438018
46,0.88,371727.0,1378.46,1.411967065,15.93390766
47,2.13,145100.0,1823.17,2.154591477,15.88512553
48,0.33,372381.0,851.62,1.051565523,15.80478143
49,2.31,370119.0,1317.87,4.630268898,16.18264606
50,0.64,385670.0,2460.47,3.625288011,11.88774377
51,1.3,363224.0,2247.62,4.687056066,16.57615356
52,1.75,252014.0,1621.54,2.025452099,16.30289233
53,0.59,153740.0,2195.19,2.640383301,15.36381574
54,0.99,359302.0,1359.81,2.086650919,16.71006439
55,0.78,126453.0,1010.18,3.091541299,13.73252199
56,1.77,146326.0,1016.82,0.852203067,17.29835153
57,0.47,145289.0,759.26,3.599289176,16.01820097
58,1.22,367401.0,874.21,1.599469441,15.22228086
59,0.8,269792.0,1015.7,1.670493399,13.882994
60,1.18,378018.0,2197.44,2.220529091,15.8561534
61,1.8,156734.0,2324.08,2.9279007,16.58409465
62,1.23,377334.0,1125.58,3.841735594,15.62834129
63,1.13,375209.0,1349.61,3.115937995,15.92927789
64,1.79,259389.0,1798.85,3.003136929,16.98747031
65,1.54,361265.0,1855.15,4.895597662,15.70112737
66,1.31,258973.0,1653.88,0.760081732,14.31296402
67,1.32,138665.0,857.74,2.637039496,16.69453208
68,1.79,142793.0,810.78,2.610930396,15.46363704
69,1.42,249589.0,1895.46,0.860436959,15.51136892
70,0.7,143765.0,637.1,4.534470501,15.52401703
71,1.73,264855.0,1853.1,4.593128578,12.95693508
72,1.1,367805.0,1523.52,0.644055862,15.78939187
73,0.72,379802.0,857.62,3.03089297,16.57962747
74,0.83,365094.0,1021.49,2.537833867,15.39817769
75,0.36,395820.0,2515.13,3.04843091,16.72292003
76,0.24,273267.0,2502.75,4.402037645,16.94915877
77,0.54,266092.0,1873.04,4.93924406,15.11153232
78,0.41,384218.0,1167.87,1.936678276,13.18181749
79,1.6,151817.0,1666.17,1.976630105,13.04825875
80,0.42,135520.0,780.65,1.960900854,15.73344613
81,1.58,275412.0,708.19,3.114452763,16.26615603
82,0.87,247362.0,586.86,1.894858789,13.53266356
83,1.8,372156.0,791.12,1.566256441,15.99499446
84,2.13,148155.0,1860.39,1.771093125,13.81048358
85,2.95,280125.0,1914.04,2.399836055,13.16438938
86,0.41,155703.0,2315.54,3.870560662,16.24365678
87,0.58,170970.0,928.58,1.613882089,16.34067357
88,0.46,365506.0,1551.78,3.131248711,16.13051797
89,1.15,258243.0,2246.88,1.574516031,16.62305878
90,0.05,267303.0,1044.34,2.072095282,15.26335595
91,1.59,159649.0,2324.02,3.193032736,15.75473024
92,1.74,260943.0,1815.83,2.151600839,13.41493802
93,1.57,361446.0,1582.67,2.70721234,16.06778655
94,1.6,262559.0,1931.36,3.033950943,15.90569507
95,1.79,392876.0,920.87,2.944541058,16.16999093
96,1.35,394819.0,654.98,2.870655446,16.58868838
97,1.32,391620.0,651.26,2.969016199,16.49229729
98,1.48,375943.0,2408.79,3.72858412,13.68508003
99,1.42,154821.0,2577.61,1.71796193,16.86663677
100,0.3,170240.0,1899.8,3.485750995,15.82457343
101,1.53,254443.0,2287.62,2.339538287,16.28461408
102,1.53,159023.0,1850.05,3.884304003,15.32622143
103,1.63,141217.0,1730.14,2.743919503,16.38685049
104,1.31,178323.0,812.39,3.444738536,16.46290272
105,0.76,363610.0,797.97,4.338505892,14.92557185
106,1.94,130739.0,586.86,1.935785361,15.43450113
107,1.61,137878.0,2017.29,2.742840983,16.0944906
108,0.43,397989.0,2496.56,1.72354614,15.6761483
109,0.89,383284.0,1380.81,1.127118532,15.40283669
110,0.86,271660.0,1587.14,2.706797426,15.27859482
111,1.56,143033.0,784.16,0.158432566,16.51235511
112,1.83,366104.0,1187.26,1.936171936,15.23563389
113,2.13,141789.0,808.43,2.864770519,17.05137446
114,1.1,146037.0,2259.7,3.211353322,15.5846395
115,0.71,272742.0,2386.49,2.507656278,15.04387593
116,1.25,369424.0,2832.18,1.03229096,13.3920995
117,2.01,253960.0,682.51,4.705023503,15.21167982
118,0.67,257249.0,994.68,0.779577242,12.56499066
119,0.45,166207.0,2593.36,4.659125884,15.07192391
120,2.11,116984.0,2443.0,4.263242256,11.55013759
121,1.91,159427.0,860.0,2.350770855,16.21078283
122,1.84,155888.0,1105.2,2.518150557,16.085367
123,0.59,276777.0,701.03,4.78572955,17.00585476
124,1.59,354828.0,2315.07,3.596615627,15.30902387
125,3.55,114947.0,732.07,2.135609425,15.37534889
126,1.48,358542.0,1744.7,2.255993194,15.64644528
127,0.41,176906.0,810.19,2.308227711,16.62434048
128,1.19,374283.0,2333.04,2.801895668,15.98073933
129,1.07,269543.0,1823.03,1.903835668,16.32504693
130,1.37,166449.0,2387.19,4.702617534,15.19738482
131,1.12,140213.0,706.05,2.056153382,12.56097898
