,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.8,784,135859.0,1355.57,3.27282084,13.05190309
1,1.14,474,275123.0,1531.92,5.040804658,17.63577243
2,1.65,405,132895.0,1909.01,6.598678298,16.48422497
3,1.28,277,347615.0,3203.62,5.694503838,16.66920453
4,1.19,1153,253016.0,821.01,5.646369278,17.13800125
5,1.18,446,157035.0,1659.23,1.496113949,15.87557127
6,1.62,1150,246507.0,930.26,6.518031336,16.06911669
7,0.73,397,246044.0,3427.69,2.066783351,17.70909377
8,2.04,780,148805.0,2103.7,5.960998726,15.27215108
9,1.32,774,350854.0,586.86,6.881829318,16.40276319
10,1.36,404,144371.0,607.4,1.886759713,14.74100841
11,1.11,1176,270197.0,3390.12,4.339357991,13.80106009
12,1.25,658,259208.0,1925.57,0.864488537,12.98213416
13,0.75,448,247243.0,671.74,7.241466859,15.83954237
14,1.28,413,363347.0,2179.2,5.527911292,13.84085453
15,1.48,428,351792.0,3069.26,4.998428133,15.97349669
16,2.14,758,240350.0,1651.84,7.296323929,16.5915351
17,1.79,780,122122.0,1385.76,3.350337367,15.69880737
18,1.63,1057,332519.0,2184.74,0.617050022,16.39812626
19,1.34,1099,133751.0,3473.62,5.393500726,12.7065914
20,1.3,766,132586.0,1384.1,4.073810643,13.89805631
21,2.81,814,244169.0,2932.11,4.705162806,12.11988731
22,0.44,1167,359874.0,738.24,1.997271673,14.78039646
23,1.42,1175,264384.0,3254.4,4.687489008,13.65908775
24,1.7,797,346067.0,3812.36,4.304228575,12.97152064
25,1.1,344,133885.0,3172.98,6.054485207,12.92068637
26,1.42,481,329775.0,3429.14,6.547578387,16.17615231
27,2.46,785,264330.0,1353.22,5.704798591,13.60011871
28,1.69,481,389376.0,2868.06,3.133316294,13.69002341
29,1.91,1179,358344.0,3010.47,6.273652287,12.35888235
30,0.87,721,226657.0,811.13,5.357237245,16.98150754
31,1.18,1154,352545.0,2259.32,1.065572275,16.79527785
32,1.5,1129,355708.0,2711.06,6.055966441,16.70883017
33,1.68,800,249679.0,3892.51,6.035227336,15.71860106
34,0.82,786,345763.0,1493.01,3.25628494,16.38760159
35,1.49,412,227389.0,3278.65,6.994666076,15.80375461
36,2.05,765,358876.0,2297.32,7.027436555,16.88142296
37,2.13,791,245172.0,3253.39,4.306196294,11.9820843
38,0.53,1138,369798.0,4046.65,5.507493282,12.47234246
39,2.11,1080,349474.0,1853.9,2.60948911,15.48693876
40,2.52,1143,86911.0,2705.82,1.718998015,16.68647711
41,0.42,1478,258440.0,2726.03,5.540172192,16.4298259
42,1.92,773,354122.0,2271.01,0.979356317,15.80415889
43,1.1,756,231761.0,3504.75,6.121831827,14.82379057
44,1.46,743,252654.0,2233.34,1.521714891,16.9271845
45,2.02,456,146083.0,1881.23,5.682445501,16.56559144
46,1.68,723,233530.0,3138.71,4.301309732,14.84631017
47,0.84,743,248060.0,590.21,2.731840447,11.58531374
48,0.94,346,252519.0,2602.89,1.999564885,13.15056265
49,1.98,756,370475.0,2232.51,5.264812071,15.73801124
50,0.82,829,370642.0,2366.63,1.120655703,16.43587274
51,1.3,458,441011.0,2273.2,6.143613124,17.41151133
52,1.05,440,366512.0,1182.39,4.702176213,16.94878933
53,1.13,480,216664.0,1845.76,4.508301019,15.56811657
54,0.95,280,237526.0,2322.51,0.559483103,11.75520476
55,0.77,402,350882.0,1899.23,5.970249684,17.49176774
56,3.39,1111,233015.0,2202.08,5.487951399,12.79260867
57,3.18,1089,360432.0,1922.84,5.871365601,16.64615983
58,1.08,1161,277921.0,2631.52,7.937243735,17.54743983
59,1.59,456,149933.0,586.86,2.708351026,16.90731956
60,2.74,1080,352756.0,2113.02,1.210544542,12.03721358
61,1.76,441,254165.0,2019.92,3.779156286,16.92947047
62,1.06,1123,266374.0,3485.69,5.582745291,15.50205394
63,1.09,441,153240.0,824.03,4.621095627,17.22514934
64,1.95,373,245395.0,1166.55,0.644048895,17.0255371
65,0.82,371,331275.0,2887.31,3.980594915,15.96861561
66,1.28,1151,220436.0,2175.7,5.133711745,12.63728559
67,1.5,488,278089.0,926.26,6.335614584,18.17959913
68,1.78,404,262143.0,765.45,3.95955869,15.33331594
69,1.79,1138,354845.0,3518.4,4.142640721,13.11017153
70,1.36,435,247269.0,903.6,5.755403047,16.37575437
71,1.72,1108,251144.0,877.82,1.95986613,14.96215463
72,1.4,394,245097.0,4545.87,4.391637887,14.99949779
73,2.56,1143,136646.0,1763.16,5.741249525,11.99221624
74,0.96,407,112068.0,1695.83,3.145961037,16.30311253
75,1.42,1144,338565.0,1347.54,6.579337923,13.83831423
76,1.29,837,277051.0,1526.95,4.55976624,17.29990357
77,2.49,1145,141845.0,2620.84,1.60365082,16.67055209
78,0.7,1089,383180.0,2630.65,0.805877829,11.2583727
79,2.13,824,132800.0,1287.45,6.588296336,12.69167828
80,1.62,804,260515.0,2663.98,2.352786958,15.39138516
81,1.54,406,122188.0,1225.58,3.50020852,13.88398505
82,1.08,408,241102.0,2874.21,5.961542252,16.09423346
83,1.22,417,356738.0,1943.54,6.72699179,18.09621809
84,0.87,355,326317.0,2320.56,0.694349661,11.71434608
85,0.84,1139,136292.0,683.01,6.75306053,17.0921213
86,0.87,300,135133.0,2438.85,6.175953192,16.12952186
87,1.36,1078,237803.0,2277.54,-0.301241716,12.24260986
88,2.93,1100,229763.0,2806.84,5.952542406,16.16516922
89,1.76,768,247040.0,752.54,4.533950157,13.87907805
90,2.31,814,232769.0,1850.4,5.356098332,15.60079215
91,1.9,744,246510.0,2056.46,5.221707202,16.24624484
92,0.59,772,119074.0,1597.89,6.279683513,14.02423579
93,1.99,766,272664.0,1724.11,4.309634509,16.87181309
94,1.89,1290,148879.0,655.57,4.950212411,18.10052621
95,2.29,788,256633.0,2782.33,3.148245084,12.24570663
96,1.4,408,247137.0,2801.44,5.351786864,14.2573477
97,1.94,1084,360798.0,2223.02,5.480453321,13.67034807
98,0.81,781,373410.0,1563.28,1.407871111,13.63459246
99,0.77,1154,367812.0,714.49,5.781460886,16.2403252
100,2.08,742,243301.0,2163.51,0.339253619,12.19591802
101,0.99,1089,122484.0,1845.06,1.219123936,16.19783908
102,1.93,821,246303.0,2045.42,5.567473827,13.85136301
103,0.75,1152,228945.0,2315.54,2.340753733,16.97551458
104,1.39,293,147126.0,1935.67,5.278257301,15.60551817
105,0.7,459,381274.0,1906.98,8.579391481,17.16095373
106,1.08,742,348005.0,3077.28,1.109308046,11.93175133
107,1.28,1108,355568.0,3275.84,5.594818514,15.54229636
108,2.18,429,135195.0,634.6,4.743135528,16.70498119
109,1.96,275,287914.0,943.08,4.604253444,11.96761446
110,1.61,773,122861.0,637.2,6.499684589,13.62830385
111,1.19,791,387737.0,1896.31,5.455025474,12.02164062
112,2.97,1157,336497.0,3011.54,0.685879233,13.05936028
113,0.64,402,104619.0,624.59,7.139447462,15.54973905
114,3.07,1009,111015.0,1754.56,2.305925932,13.17393271
115,1.51,1101,334384.0,1902.32,0.651729276,12.61756626
116,0.48,404,261686.0,655.02,7.484647221,14.63194668
117,1.43,410,125988.0,1965.21,0.904679071,14.31790544
118,1.87,408,82042.0,813.7,1.764639608,16.06408992
119,0.95,469,154613.0,1262.36,6.762722368,16.94251831
120,0.56,1141,246041.0,2025.55,3.607764163,15.38858613
121,0.82,1196,361866.0,1937.55,5.070422377,14.57725558
122,0.85,417,142356.0,3022.14,5.26178608,17.22374521
123,1.24,479,132702.0,1926.25,4.787909802,17.35693411
124,1.18,391,190395.0,1029.61,4.48558618,16.12930072
125,1.32,1165,126078.0,2478.34,4.696571534,13.78353148
126,2.62,431,397469.0,830.54,6.486134525,17.55795522
127,2.0,1121,106208.0,1166.0,1.971992393,12.916967
128,2.31,830,349445.0,662.29,5.839347207,15.63383056
129,1.66,467,293618.0,3179.65,6.213492801,17.62431719
130,2.08,388,239982.0,2373.06,6.757020842,17.49014256
131,2.88,1126,359353.0,2365.78,4.228491479,13.30230203
132,2.6,795,227402.0,1534.39,0.844004493,16.36587007
133,0.67,1152,352693.0,3662.99,3.233523828,12.84872546
134,0.97,779,422486.0,3753.86,1.181809239,15.70931427
135,1.11,786,378682.0,2173.77,6.655837119,12.71867013
136,0.75,1158,149503.0,2368.21,6.076101605,16.10714996
137,1.21,425,147495.0,1817.68,6.934110879,15.49880021
138,0.93,1062,347200.0,1989.77,-0.183529827,11.99985387
