,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.63,399304.0,803.83,3.360649101,15.79024146
1,1.88,170383.0,1005.8,4.010592818,16.16322595
2,1.3,250133.0,879.44,3.846471634,17.30646927
3,1.97,271501.0,1039.33,6.902464833,16.91251395
4,1.91,142113.0,925.81,3.154578912,16.32079103
5,1.82,236552.0,1512.11,2.128891246,15.40703971
6,2.03,136569.0,851.83,3.415881479,13.48390027
7,1.03,147314.0,4515.67,4.473698903,16.31598135
8,1.14,376315.0,2238.47,5.077092046,17.01109533
9,1.98,166477.0,2157.43,6.265369863,12.47076588
10,3.16,258658.0,980.21,5.32609813,15.96878572
11,1.79,131072.0,841.93,0.652199381,15.46696684
12,1.57,355405.0,2962.16,1.898250041,11.74685819
13,2.34,148320.0,2674.79,4.584862047,13.42188709
14,1.63,277167.0,1894.94,3.246058033,15.02636774
15,0.49,130331.0,805.74,6.73017564,12.45343989
16,0.72,387743.0,1680.45,3.164329203,17.6361958
17,1.52,393377.0,2043.28,3.475437231,17.07156098
18,2.98,370979.0,3688.79,5.719331362,16.37050622
19,1.18,146428.0,1764.68,3.868975624,14.64837411
20,1.31,256762.0,719.72,4.629314409,17.16678121
21,1.0,461040.0,1758.8,3.455882429,15.33415146
22,2.22,349687.0,1709.69,2.468326093,15.54097499
23,1.5,176673.0,2112.45,4.604382247,14.21927631
24,2.0,378477.0,852.02,4.919931475,11.82882402
25,1.25,375599.0,1113.01,3.056684631,15.93452904
26,2.29,256954.0,1120.36,4.909189149,14.92354457
27,1.76,352146.0,964.46,7.501853619,15.24727533
28,1.27,251297.0,1676.37,3.114237429,16.09876005
29,2.73,137742.0,4372.84,5.57318642,11.96752925
30,1.41,126742.0,956.48,3.833993537,15.93762766
31,1.89,149762.0,2275.1,4.824274684,15.97355312
32,1.59,112844.0,2546.2,3.573189523,16.65414318
33,1.44,276358.0,997.24,6.78927921,16.46214554
34,2.15,140268.0,895.86,4.295711272,16.70159206
35,1.3,379587.0,1650.23,6.942213108,15.40878801
36,1.15,123073.0,734.97,2.639698264,16.33842661
37,1.58,391335.0,803.54,2.282707616,16.55124377
38,1.68,229667.0,1224.14,6.668079657,14.74184037
39,0.68,137303.0,750.95,3.620590564,16.612965
40,1.26,281249.0,733.5,2.614502903,15.60301109
41,1.74,167345.0,651.86,4.367348919,15.52506912
42,3.12,165241.0,784.73,5.101969043,15.20681705
43,1.18,267593.0,2491.79,8.080087757,14.01589473
44,1.46,358270.0,1660.87,1.517331635,15.00706962
45,1.78,389744.0,4211.31,2.180746312,16.02479617
46,2.8,103843.0,1013.3,4.431743236,15.19681451
47,1.07,152781.0,975.96,1.91319944,12.55414469
48,0.85,247808.0,1083.99,4.635750284,17.31877638
49,1.07,152879.0,952.63,1.458442756,15.46002356
50,2.59,171820.0,2589.75,5.75815246,17.32471851
51,2.06,236638.0,4092.09,3.937862004,15.52708298
52,1.31,255454.0,2045.29,3.006560245,17.95207945
53,0.63,358971.0,957.57,4.577874358,14.85506982
54,0.47,367611.0,1513.72,3.178886712,15.93317723
55,0.97,262766.0,3631.77,5.520847762,17.36705828
56,1.02,287630.0,1855.28,4.281012339,14.89447596
57,1.57,377499.0,1931.01,7.567101922,17.11443305
58,0.44,237746.0,2447.63,2.491019729,12.04517331
59,1.22,354712.0,1077.65,4.061959898,14.35290564
60,1.25,160745.0,1991.06,1.455641246,18.16651241
61,1.42,151270.0,613.89,4.828513403,16.33631127
62,3.03,374315.0,1173.89,3.192854357,15.51001477
63,2.04,378057.0,991.06,3.522576399,15.00788719
