,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,2.1,130111.0,3681.7,3.416189761,19.54479952,1
1,3.24,294196.0,2986.44,4.37432018,19.20026497,1
2,2.49,327335.0,5006.9,4.773767912,19.38179325,1
3,1.4,291411.0,2104.14,3.257465802,19.630501,1
4,1.48,393567.0,2487.28,4.996252124,14.49993061,0
5,3.42,80842.0,1712.36,5.018550915,18.8339332,2
6,1.41,293930.0,1085.19,6.581865506,19.630501,1
7,1.16,147570.0,3760.79,4.954469612,19.630501,1
8,1.9,284340.0,1516.82,5.155201918,19.21681924,1
9,1.41,176708.0,4002.0,4.719139103,18.3065572,0
10,3.42,201904.0,1824.26,3.253768116,18.90842614,1
11,2.11,360655.0,2470.45,5.082324384,18.76695132,2
12,1.84,265543.0,1582.32,6.589947775,16.53372729,1
13,1.54,203476.0,3191.71,5.399074515,16.81916583,0
14,3.31,257102.0,2648.38,5.390424491,17.09028802,0
15,2.22,325440.0,2187.83,5.933527607,16.41162955,1
16,2.43,178487.0,1591.47,3.77454261,15.69848202,0
17,1.63,281621.0,1101.88,6.18127041,18.44294159,2
18,1.97,83021.0,996.35,5.991831304,17.11320402,2
19,2.59,187613.0,4277.46,5.607143168,18.82244924,1
20,0.92,206488.0,4065.48,4.189874339,17.83847734,0
21,2.12,203440.0,1285.44,6.702553787,18.30130232,0
22,2.71,79772.0,2808.02,4.182945886,18.27978465,1
23,2.03,388891.0,2696.39,5.691839846,15.91629947,2
24,3.1,349975.0,3050.42,4.631304304,18.24743958,0
25,1.77,123978.0,1298.23,5.58612877,18.06497665,0
26,1.74,296533.0,1202.94,3.983627246,19.630501,0
27,2.54,420968.0,2378.7,5.909235006,18.10280242,1
28,2.18,286603.0,2677.62,4.761112202,15.76750055,0
29,2.3,87421.0,2839.68,3.567492437,19.27868318,1
30,1.07,308588.0,3244.62,5.497611279,18.04130406,1
31,1.53,331131.0,1386.45,5.20705645,19.00009572,1
32,2.87,93282.0,2262.07,3.253768116,18.15429262,2
33,1.34,264868.0,2076.9,4.025729124,18.68065365,0
34,0.54,211224.0,1999.16,4.39177372,17.97343194,0
35,2.65,82510.0,3394.64,3.253768116,18.89933326,1
36,3.24,194811.0,2637.66,3.253768116,18.06449182,0
37,0.55,137110.0,2667.38,4.409201251,17.56587809,2
38,1.08,296082.0,2519.97,7.124694563,19.11068627,0
39,2.21,380783.0,1012.37,5.265618157,18.86038575,2
40,1.24,274921.0,996.35,6.569725672,17.78865748,0
41,3.13,332928.0,3539.22,3.385053259,19.11788281,1
42,2.12,244119.0,3108.34,6.850205988,18.29030538,2
43,2.31,258642.0,1983.15,6.38471248,18.69542451,0
44,2.38,314772.0,1970.98,4.499526136,17.51436648,1
45,1.4,180217.0,5006.9,3.283575013,19.0751205,2
46,1.42,277999.0,2895.04,3.939596395,15.71407285,1
47,2.4,98161.0,3612.83,4.351869923,18.74704254,1
48,3.36,177019.0,1692.13,6.176529026,14.94474853,2
49,2.23,288051.0,1685.86,3.253768116,17.56330517,1
50,2.07,222989.0,1979.33,5.9613208,19.630501,1
51,2.43,184552.0,3064.48,3.253768116,17.06717684,0
52,2.28,117473.0,996.35,3.253768116,16.85238607,2
53,0.46,197773.0,1874.19,6.259006271,19.630501,2
54,1.88,175452.0,4333.98,3.253768116,16.21069619,1
55,2.09,284619.0,2339.54,4.934742028,15.71632647,0
56,1.88,325991.0,4983.04,3.253768116,17.1718826,1
57,1.82,379076.0,2435.5,5.40521368,19.630501,2
58,2.05,276431.0,2549.19,4.716695905,18.77922233,1
59,2.98,177460.0,1366.92,4.273712967,17.26935011,0
60,2.56,186149.0,1783.2,3.574610118,19.630501,0
61,1.91,256355.0,996.35,4.843244149,18.01750549,1
62,2.39,187446.0,4152.44,4.053542717,18.86589451,2
63,2.08,201376.0,1162.57,3.874720226,16.54708336,1
64,2.2,324600.0,2699.92,3.253768116,19.41072378,1
65,2.24,113171.0,2763.81,4.810025779,16.53692163,2
66,3.42,275685.0,1917.78,3.253768116,18.0074812,2
67,1.34,181575.0,2531.16,4.192722306,19.10714506,2
68,2.19,201963.0,1900.73,4.26667732,18.09826366,0
69,2.07,297138.0,4723.43,3.253768116,19.48087923,1
70,1.84,189299.0,1462.54,5.565387103,16.549624,1
71,3.04,152736.0,3940.78,3.253768116,18.85572186,0
72,0.2,380906.0,2471.94,5.782250134,17.23608422,0
73,1.65,115567.0,996.35,4.869022063,18.44270642,2
74,1.73,79772.0,3912.97,3.253768116,18.9027397,1
75,1.47,204600.0,2362.51,5.659616724,19.630501,1
76,2.24,211687.0,2312.44,3.450378123,17.82023655,0
77,2.56,297916.0,3023.93,4.954506402,19.630501,2
78,3.27,224127.0,5006.9,6.848661747,14.81317482,1
79,2.77,277789.0,5006.9,5.517443229,16.72164745,1
80,2.67,110531.0,4576.96,3.480241233,15.94572069,2
81,2.81,349336.0,4653.19,5.241240176,17.74399336,0
82,2.15,234348.0,4044.51,3.705256766,19.51706913,1
83,3.32,275421.0,1531.28,3.546934653,18.53459919,1
84,3.37,330937.0,996.35,5.120453751,17.54344401,1
85,1.53,182420.0,3985.13,3.991275945,17.46795307,1
86,1.91,79772.0,996.35,6.317591836,18.49410289,1
87,1.63,421709.0,1472.9,4.944053036,16.83731011,1
88,2.65,359357.0,3000.77,5.047631541,16.51138054,2
89,2.69,190209.0,2381.53,8.579391481,16.58114947,2
90,2.86,268381.0,2768.89,3.253768116,18.06528969,1
