,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.21,308133.0,4714.65,5.610590656,14.42021493,2
1,2.32,78065.0,2176.07,5.926369108,14.09046429,2
2,1.61,161248.0,836.21,6.660678981,16.23079068,1
3,1.4,279927.0,1854.52,3.253768116,14.7523386,1
4,2.03,153396.0,5006.9,3.325527553,15.14640593,1
5,2.42,78065.0,1238.22,5.930051967,16.55229345,1
6,1.06,177792.0,1584.04,6.932520779,15.83931336,1
7,3.39,221884.0,1010.82,6.973578006,15.17581653,1
8,1.68,78065.0,620.61,6.050222346,15.77267479,1
9,0.8,345599.0,1832.23,3.253768116,14.58547012,2
10,0.6,78065.0,4591.92,6.761882207,19.08972973,1
11,1.46,92998.0,4466.42,7.383689855,16.31534411,1
12,1.05,237360.0,2934.97,7.43821999,15.93521854,0
13,1.54,87841.0,1937.68,7.123771754,16.64400938,2
14,0.78,78065.0,3114.08,7.39700736,15.97000839,1
15,2.07,210737.0,1776.54,7.365376605,15.60336434,1
16,1.17,92807.0,1207.85,8.579391481,14.09046429,1
17,0.88,294012.0,1671.19,5.471169083,17.7221994,1
18,2.18,78065.0,909.87,4.147910715,14.79068242,1
19,1.77,78065.0,1107.75,3.340621377,17.7597716,2
20,2.95,78065.0,1522.97,3.253768116,15.28703277,2
21,0.37,283793.0,2062.67,5.536084497,15.8922614,0
22,1.29,78065.0,2468.24,3.68258675,16.18789868,1
23,3.29,78065.0,1299.41,7.698413703,16.35093463,1
24,3.39,78065.0,1517.22,6.272922471,16.51078812,1
25,1.11,187239.0,620.61,7.069557834,14.59636629,1
26,3.03,78065.0,2974.9,3.693354133,15.12032731,1
27,2.13,278075.0,1229.23,6.289113234,17.4848002,1
28,0.63,310368.0,2181.73,6.769293142,16.81650515,2
29,1.76,411089.0,4568.87,7.371137388,15.26328205,1
30,1.3,316221.0,3229.67,5.158576827,16.65672591,1
31,2.07,171124.0,774.27,3.253768116,16.39485384,1
32,1.62,78065.0,2281.9,6.459298554,14.71479215,1
33,1.97,144571.0,1597.31,5.245234696,16.81660707,1
34,0.79,257948.0,1829.0,6.600131677,16.64854672,0
35,1.67,295007.0,1474.36,5.142661918,15.03606636,1
36,0.2,78065.0,1685.02,7.351090838,16.70330665,0
37,1.88,223447.0,4147.32,4.550753453,15.26576602,2
38,1.85,216694.0,2737.04,6.328083175,15.90361357,1
39,1.55,299463.0,1497.75,6.583225483,16.18958157,0
40,0.81,131611.0,1316.08,4.595755315,17.5626447,0
41,2.62,216784.0,2750.21,4.640178648,16.8027458,2
42,2.82,231168.0,1709.92,4.440849064,15.0430305,0
43,0.44,78065.0,5006.9,7.007839289,16.23990949,2
44,1.31,199913.0,1727.72,6.66078608,16.81568038,1
45,1.57,297804.0,1266.33,6.90858058,16.54897364,2
46,1.88,104162.0,1020.92,6.52422443,17.33424083,1
47,1.06,328276.0,1956.96,4.181959377,17.8069563,1
48,0.38,78065.0,1817.38,6.340429249,16.79228469,1
49,2.7,78065.0,3946.79,3.908820052,16.72683911,2
50,1.27,97770.0,2426.76,5.815607359,16.31053849,1
51,2.14,287396.0,2525.94,5.778389422,16.31532801,0
52,3.39,315018.0,3836.41,5.833323118,17.23354404,2
53,2.06,220769.0,4278.03,6.321177487,14.09046429,1
54,1.59,152803.0,1665.26,8.100621603,17.00387624,2
55,2.62,214450.0,1790.78,4.671518442,18.37093627,2
56,1.08,200003.0,4560.23,5.490899593,15.55621895,1
57,2.43,302941.0,2618.5,6.292623945,16.57199285,2
58,2.61,332472.0,1817.98,7.019872117,15.6911888,1
59,3.29,173558.0,2662.03,5.513453728,15.40815058,2
60,1.37,78065.0,1226.42,6.254958803,16.97469609,1
61,1.69,78065.0,1234.42,4.530730168,17.38617871,0
62,1.84,84607.0,1638.34,6.367282124,16.12343061,1
63,2.33,114716.0,1190.23,6.611518817,16.8615477,1
64,1.43,257554.0,620.61,4.661685801,17.13803592,0
65,3.39,304015.0,3836.84,3.592638783,14.16951958,2
66,0.35,172167.0,1922.95,7.689205464,15.21038266,0
67,1.14,85290.0,1401.16,7.588217291,17.22727069,1
68,0.94,108416.0,1493.44,5.847574376,15.60937347,2
69,1.65,314610.0,1111.01,4.026659531,14.09046429,1
70,1.31,140462.0,1682.51,5.497004447,15.06967428,2
71,3.29,96009.0,1257.61,5.50742951,16.29951899,2
72,2.14,215446.0,1379.06,7.202699432,15.59792109,1
73,3.39,154090.0,2726.69,6.122468622,15.89240095,1
74,2.96,78065.0,2547.17,6.521493887,16.87427163,1
75,2.13,97966.0,1538.71,6.325756627,18.62399082,0
76,0.81,78065.0,1334.38,5.411407523,17.47843385,2
77,0.2,78065.0,4073.49,4.340281484,16.72852931,1
78,1.69,344893.0,1372.32,7.688619531,17.8801874,0
79,1.16,187779.0,2463.49,7.096974053,14.18016433,1
80,1.91,194248.0,2081.78,3.533460145,14.09046429,2
