,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Class
11,1.1,130584.37,1840.67,17.32080569,7.133056872,0
18,0.7,157547.41,2013.38,18.96014199,8.579391481,0
19,0.55,157547.41,2013.38,18.96014199,8.579391481,0
20,0.64,157547.41,2013.38,18.96014199,8.579391481,0
21,0.71,157547.41,2013.38,18.96014199,8.579391481,0
22,0.73,157547.41,2013.38,18.96014199,8.579391481,0
23,0.59,157547.41,2013.38,18.96014199,8.579391481,0
56,1.04,271934.34,3611.35,17.52929398,6.965266204,0
57,0.86,271934.34,3611.35,17.52929398,6.965266204,0
58,1.03,271934.34,3611.35,17.52929398,6.965266204,0
59,0.99,271934.34,3611.35,17.52929398,6.965266204,0
60,0.98,271934.34,3611.35,17.52929398,6.965266204,0
63,0.99,271934.34,3611.35,17.52929398,6.965266204,0
117,1.1,157737.78,1046.95,18.65053388,7.91063655,0
120,1.1,157737.78,1046.95,18.65053388,7.91063655,0
127,0.81,157737.78,1046.95,18.65053388,7.91063655,0
158,1.09,285825.46,2634.73,17.79072497,6.606260069,0
159,1.03,285825.46,2634.73,17.79072497,6.606260069,0
160,1.0,285825.46,2634.73,17.79072497,6.606260069,0
161,0.94,285825.46,2634.73,17.79072497,6.606260069,0
162,0.97,285825.46,2634.73,17.79072497,6.606260069,0
163,0.99,285825.46,2634.73,17.79072497,6.606260069,0
165,0.84,285825.46,2634.73,17.79072497,6.606260069,0
166,0.94,285825.46,2634.73,17.79072497,6.606260069,0
167,0.66,285825.46,2634.73,17.79072497,6.606260069,0
201,1.03,163156.29,1737.05,18.48071429,7.308670635,0
202,1.03,163156.29,1737.05,18.48071429,7.308670635,0
203,0.93,163156.29,1737.05,18.48071429,7.308670635,0
204,1.01,163156.29,1737.05,18.48071429,7.308670635,0
205,0.95,163156.29,1737.05,18.48071429,7.308670635,0
206,0.99,163156.29,1737.05,18.48071429,7.308670635,0
207,0.94,163156.29,1737.05,18.48071429,7.308670635,0
208,0.91,163156.29,1737.05,18.48071429,7.308670635,0
209,0.95,163156.29,1737.05,18.48071429,7.308670635,0
210,0.9,163156.29,1737.05,18.48071429,7.308670635,0
211,0.75,163156.29,1737.05,18.48071429,7.308670635,0
282,1.05,361996.1,3569.09,16.34720705,5.291709251,0
287,1.05,372266.78,3715.69,16.59960447,5.548177128,0
288,1.02,372266.78,3715.69,16.59960447,5.548177128,0
289,1.03,372266.78,3715.69,16.59960447,5.548177128,0
290,1.08,372266.78,3715.69,16.59960447,5.548177128,0
291,1.02,372266.78,3715.69,16.59960447,5.548177128,0
292,1.06,372266.78,3715.69,16.59960447,5.548177128,0
293,0.83,372266.78,3715.69,16.59960447,5.548177128,0
295,0.69,372266.78,3715.69,16.59960447,5.548177128,0
296,0.92,383493.75,3817.77,16.93473552,5.859210747,0
298,1.04,383493.75,3817.77,16.93473552,5.859210747,0
299,1.11,383493.75,3817.77,16.93473552,5.859210747,0
300,0.97,383493.75,3817.77,16.93473552,5.859210747,0
302,1.11,383493.75,3817.77,16.93473552,5.859210747,0
303,0.97,383493.75,3817.77,16.93473552,5.859210747,0
304,1.07,383493.75,3817.77,16.93473552,5.859210747,0
305,0.69,383493.75,3817.77,16.93473552,5.859210747,0
306,0.79,400987.9,3982.19,17.34995157,6.248983051,0
307,0.78,400987.9,3982.19,17.34995157,6.248983051,0
308,0.86,400987.9,3982.19,17.34995157,6.248983051,0
309,0.88,400987.9,3982.19,17.34995157,6.248983051,0
310,0.93,400987.9,3982.19,17.34995157,6.248983051,0
311,0.81,400987.9,3982.19,17.34995157,6.248983051,0
312,0.85,400987.9,3982.19,17.34995157,6.248983051,0
313,0.77,400987.9,3982.19,17.34995157,6.248983051,0
314,0.75,400987.9,3982.19,17.34995157,6.248983051,0
315,0.78,400987.9,3982.19,17.34995157,6.248983051,0
338,1.02,259801.52,2627.47,17.95650964,6.807773019,0
339,0.95,259801.52,2627.47,17.95650964,6.807773019,0
340,0.95,259801.52,2627.47,17.95650964,6.807773019,0
341,0.87,259801.52,2627.47,17.95650964,6.807773019,0
342,0.94,259801.52,2627.47,17.95650964,6.807773019,0
343,0.96,259801.52,2627.47,17.95650964,6.807773019,0
