,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.28,155153.0,970.73,3.038336461,15.09409779
1,2.44,240135.0,1923.35,3.75476074,13.53845132
2,2.56,256115.0,2393.03,2.320490814,15.85284667
3,0.8,388280.0,2340.79,1.124129176,14.15151373
4,1.82,381823.0,1571.64,1.814021512,15.80255985
5,0.94,376686.0,1654.14,2.079945711,16.8549822
6,3.15,246985.0,1163.76,1.228243997,13.90898929
7,0.88,370388.0,1087.11,3.318012974,13.26189192
8,2.21,250399.0,1542.82,1.626987313,15.5229847
9,1.25,126159.0,1448.05,1.544694298,14.69007407
10,1.9,257526.0,1767.65,3.41294526,15.45456497
11,2.78,247950.0,968.45,2.874611289,15.78170127
12,3.28,133660.0,2759.25,2.599534909,14.71385863
13,2.43,148658.0,1405.01,3.866838543,16.50945694
14,2.01,380727.0,1724.77,2.681703621,15.21931385
15,2.62,347832.0,1719.04,-0.080823129,11.96121865
16,1.1,358150.0,2440.82,2.881871332,15.37307173
17,1.34,119944.0,880.82,2.353158589,15.12907258
18,1.78,144560.0,1568.5,3.823516052,16.25585073
19,2.16,366153.0,1653.06,1.12132548,15.67795096
20,1.31,152642.0,1994.27,2.854414447,17.05594473
21,1.65,127373.0,909.84,1.923950589,14.85023848
22,1.44,235361.0,1461.7,0.163251509,15.95913381
23,1.32,355469.0,660.65,1.721388185,12.40809885
24,2.6,360386.0,1106.2,1.797081252,13.15699449
25,0.93,346598.0,1509.24,2.940405518,15.12895887
26,0.91,364397.0,828.04,4.031859946,15.78182274
27,1.34,368261.0,1958.99,1.879546971,12.7179449
28,1.93,260427.0,1505.81,2.374593807,12.95630319
29,1.48,367716.0,629.93,4.041038805,15.81260548
30,1.95,353832.0,809.48,2.733403601,15.02377386
31,2.1,243932.0,1779.16,4.342246127,15.72649284
32,1.54,374199.0,1325.06,3.704889654,16.66328361
33,0.42,148559.0,837.69,4.181508633,15.21134512
34,1.61,247886.0,1468.99,1.98035468,15.65609642
35,1.23,138620.0,2192.71,3.218639785,15.28639525
36,2.1,145140.0,2081.64,2.369585085,15.70253771
37,2.02,222853.0,2307.34,1.918056112,12.85860232
38,0.61,376684.0,1914.53,3.861504307,13.38281492
39,1.11,372600.0,768.24,3.072901677,12.80367529
40,1.83,393500.0,2167.22,2.998895995,12.35736636
41,0.95,349305.0,949.62,2.27903774,17.07740981
42,2.1,346559.0,1837.94,2.086540772,15.84484751
43,0.58,175672.0,2868.1,4.262556549,15.9023113
44,2.57,246634.0,1498.84,2.012238101,14.83535297
45,3.1,390713.0,823.28,2.013271848,15.96984605
46,1.02,387970.0,2323.23,3.136042048,14.8571007
47,1.45,357870.0,734.12,2.756831693,13.35142425
48,2.52,136386.0,1120.99,3.87706837,16.4764049
49,2.07,127869.0,1898.97,1.773933538,15.79453939
50,1.53,379685.0,1916.16,1.654716973,15.99159627
51,2.37,151406.0,2340.05,1.962083546,14.97547306
52,1.8,124703.0,827.81,1.985711604,14.97878489
53,0.95,159070.0,2183.34,2.424218373,15.88947409
54,0.5,366064.0,2531.61,3.156093555,15.73395959
55,1.47,128476.0,1249.75,4.700555231,13.69344397
56,1.61,248633.0,2051.36,3.429300307,15.14689822
57,1.14,140204.0,1412.97,3.69776763,15.7321368
58,2.91,350510.0,1196.25,1.425657634,16.44778462
59,2.05,384055.0,836.32,3.240770858,12.39944803
60,1.44,115879.0,2722.6,1.626877174,11.67561123
61,1.62,256678.0,1426.6,3.594058822,13.13190566
62,2.5,369172.0,1360.73,2.397861905,15.66152089
63,0.5,139950.0,960.88,3.423271982,15.08438229
64,1.65,119565.0,1344.66,4.840562381,12.9294032
65,1.62,239646.0,768.15,2.293116785,15.77830043
66,2.36,161967.0,745.92,3.874083507,15.62553563
67,2.12,149600.0,742.65,3.376345177,15.37172935
68,1.97,398314.0,2480.6,1.634496562,12.04223413
69,1.77,155072.0,863.71,2.893257243,14.73504159
70,2.57,345821.0,1794.21,3.697117204,13.42200167
71,1.74,263698.0,721.02,3.69251877,16.45023089
72,2.77,161437.0,756.47,2.800071304,13.54523521
73,2.14,374328.0,1645.5,0.33924203,13.25137638
74,3.56,365025.0,1597.31,3.73999726,12.4069342
75,0.72,371309.0,1465.8,3.894280649,16.52380575
76,0.53,159367.0,1945.62,3.017438389,14.35841215
77,2.51,148185.0,1370.01,1.870436485,15.02380641
78,2.18,144774.0,2370.3,1.994768727,13.18974713
79,1.37,357084.0,2475.76,2.234749012,14.67877224
80,1.8,377951.0,1448.44,3.865498403,12.83544211
81,1.31,263501.0,880.58,4.913094536,14.36596059
82,2.71,253070.0,1156.63,3.479202318,15.43736422
83,0.55,278980.0,2148.87,3.011388136,15.40263477
84,1.32,338852.0,2471.92,2.79173433,16.30446521
85,1.97,242323.0,670.05,1.869882477,16.69215412
86,2.68,342358.0,749.54,2.296102962,14.80195399
87,2.01,378215.0,947.0,2.484963733,14.62879739
88,0.08,381097.0,2472.54,1.972380392,14.22634162
89,1.77,236009.0,1447.3,1.673512723,13.3260332
90,1.32,151279.0,1562.22,1.765789806,13.99174948
91,1.97,127924.0,650.97,3.067781699,13.08262788
