,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Class
11,1.1,130584.37,1840.67,17.32080569,7.133056872,0
18,0.7,157547.41,2013.38,18.96014199,8.579391481,0
19,0.55,157547.41,2013.38,18.96014199,8.579391481,0
20,0.64,157547.41,2013.38,18.96014199,8.579391481,0
21,0.71,157547.41,2013.38,18.96014199,8.579391481,0
22,0.73,157547.41,2013.38,18.96014199,8.579391481,0
23,0.59,157547.41,2013.38,18.96014199,8.579391481,0
56,1.04,271934.34,3611.35,17.52929398,6.965266204,0
57,0.86,271934.34,3611.35,17.52929398,6.965266204,0
58,1.03,271934.34,3611.35,17.52929398,6.965266204,0
59,0.99,271934.34,3611.35,17.52929398,6.965266204,0
60,0.98,271934.34,3611.35,17.52929398,6.965266204,0
63,0.99,271934.34,3611.35,17.52929398,6.965266204,0
94,1.09,285825.46,2634.73,17.79072497,6.606260069,0
95,1.03,285825.46,2634.73,17.79072497,6.606260069,0
96,1.0,285825.46,2634.73,17.79072497,6.606260069,0
97,0.94,285825.46,2634.73,17.79072497,6.606260069,0
98,0.97,285825.46,2634.73,17.79072497,6.606260069,0
99,0.99,285825.46,2634.73,17.79072497,6.606260069,0
101,0.84,285825.46,2634.73,17.79072497,6.606260069,0
102,0.94,285825.46,2634.73,17.79072497,6.606260069,0
103,0.66,285825.46,2634.73,17.79072497,6.606260069,0
137,1.03,163156.29,1737.05,18.48071429,7.308670635,0
138,1.03,163156.29,1737.05,18.48071429,7.308670635,0
139,0.93,163156.29,1737.05,18.48071429,7.308670635,0
140,1.01,163156.29,1737.05,18.48071429,7.308670635,0
141,0.95,163156.29,1737.05,18.48071429,7.308670635,0
142,0.99,163156.29,1737.05,18.48071429,7.308670635,0
143,0.94,163156.29,1737.05,18.48071429,7.308670635,0
144,0.91,163156.29,1737.05,18.48071429,7.308670635,0
145,0.95,163156.29,1737.05,18.48071429,7.308670635,0
146,0.9,163156.29,1737.05,18.48071429,7.308670635,0
147,0.75,163156.29,1737.05,18.48071429,7.308670635,0
154,1.05,361996.1,3569.09,16.34720705,5.291709251,0
159,1.05,372266.78,3715.69,16.59960447,5.548177128,0
160,1.02,372266.78,3715.69,16.59960447,5.548177128,0
161,1.03,372266.78,3715.69,16.59960447,5.548177128,0
162,1.08,372266.78,3715.69,16.59960447,5.548177128,0
163,1.02,372266.78,3715.69,16.59960447,5.548177128,0
164,1.06,372266.78,3715.69,16.59960447,5.548177128,0
165,0.83,372266.78,3715.69,16.59960447,5.548177128,0
167,0.69,372266.78,3715.69,16.59960447,5.548177128,0
168,0.92,383493.75,3817.77,16.93473552,5.859210747,0
170,1.04,383493.75,3817.77,16.93473552,5.859210747,0
171,1.11,383493.75,3817.77,16.93473552,5.859210747,0
172,0.97,383493.75,3817.77,16.93473552,5.859210747,0
174,1.11,383493.75,3817.77,16.93473552,5.859210747,0
175,0.97,383493.75,3817.77,16.93473552,5.859210747,0
176,1.07,383493.75,3817.77,16.93473552,5.859210747,0
177,0.69,383493.75,3817.77,16.93473552,5.859210747,0
178,0.79,400987.9,3982.19,17.34995157,6.248983051,0
179,0.78,400987.9,3982.19,17.34995157,6.248983051,0
180,0.86,400987.9,3982.19,17.34995157,6.248983051,0
181,0.88,400987.9,3982.19,17.34995157,6.248983051,0
182,0.93,400987.9,3982.19,17.34995157,6.248983051,0
183,0.81,400987.9,3982.19,17.34995157,6.248983051,0
184,0.85,400987.9,3982.19,17.34995157,6.248983051,0
185,0.77,400987.9,3982.19,17.34995157,6.248983051,0
186,0.75,400987.9,3982.19,17.34995157,6.248983051,0
187,0.78,400987.9,3982.19,17.34995157,6.248983051,0
210,1.02,259801.52,2627.47,17.95650964,6.807773019,0
211,0.95,259801.52,2627.47,17.95650964,6.807773019,0
212,0.95,259801.52,2627.47,17.95650964,6.807773019,0
213,0.87,259801.52,2627.47,17.95650964,6.807773019,0
214,0.94,259801.52,2627.47,17.95650964,6.807773019,0
215,0.96,259801.52,2627.47,17.95650964,6.807773019,0
216,1.01,259801.52,2627.47,17.95650964,6.807773019,0
217,0.98,259801.52,2627.47,17.95650964,6.807773019,0
218,0.93,259801.52,2627.47,17.95650964,6.807773019,0
