,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Class
11,1.1,130584.37,1840.67,17.32080569,7.133056872,0
18,0.7,157547.41,2013.38,18.96014199,8.579391481,0
19,0.55,157547.41,2013.38,18.96014199,8.579391481,0
20,0.64,157547.41,2013.38,18.96014199,8.579391481,0
21,0.71,157547.41,2013.38,18.96014199,8.579391481,0
22,0.73,157547.41,2013.38,18.96014199,8.579391481,0
23,0.59,157547.41,2013.38,18.96014199,8.579391481,0
56,1.04,271934.34,3611.35,17.52929398,6.965266204,0
57,0.86,271934.34,3611.35,17.52929398,6.965266204,0
58,1.03,271934.34,3611.35,17.52929398,6.965266204,0
59,0.99,271934.34,3611.35,17.52929398,6.965266204,0
60,0.98,271934.34,3611.35,17.52929398,6.965266204,0
63,0.99,271934.34,3611.35,17.52929398,6.965266204,0
117,1.1,157737.78,1046.95,18.65053388,7.91063655,0
120,1.1,157737.78,1046.95,18.65053388,7.91063655,0
127,0.81,157737.78,1046.95,18.65053388,7.91063655,0
158,1.09,285825.46,2634.73,17.79072497,6.606260069,0
159,1.03,285825.46,2634.73,17.79072497,6.606260069,0
160,1.0,285825.46,2634.73,17.79072497,6.606260069,0
161,0.94,285825.46,2634.73,17.79072497,6.606260069,0
162,0.97,285825.46,2634.73,17.79072497,6.606260069,0
163,0.99,285825.46,2634.73,17.79072497,6.606260069,0
165,0.84,285825.46,2634.73,17.79072497,6.606260069,0
166,0.94,285825.46,2634.73,17.79072497,6.606260069,0
167,0.66,285825.46,2634.73,17.79072497,6.606260069,0
238,1.05,361996.1,3569.09,16.34720705,5.291709251,0
243,1.05,372266.78,3715.69,16.59960447,5.548177128,0
244,1.02,372266.78,3715.69,16.59960447,5.548177128,0
245,1.03,372266.78,3715.69,16.59960447,5.548177128,0
246,1.08,372266.78,3715.69,16.59960447,5.548177128,0
247,1.02,372266.78,3715.69,16.59960447,5.548177128,0
248,1.06,372266.78,3715.69,16.59960447,5.548177128,0
249,0.83,372266.78,3715.69,16.59960447,5.548177128,0
251,0.69,372266.78,3715.69,16.59960447,5.548177128,0
252,0.92,383493.75,3817.77,16.93473552,5.859210747,0
254,1.04,383493.75,3817.77,16.93473552,5.859210747,0
255,1.11,383493.75,3817.77,16.93473552,5.859210747,0
256,0.97,383493.75,3817.77,16.93473552,5.859210747,0
258,1.11,383493.75,3817.77,16.93473552,5.859210747,0
259,0.97,383493.75,3817.77,16.93473552,5.859210747,0
260,1.07,383493.75,3817.77,16.93473552,5.859210747,0
261,0.69,383493.75,3817.77,16.93473552,5.859210747,0
262,0.79,400987.9,3982.19,17.34995157,6.248983051,0
263,0.78,400987.9,3982.19,17.34995157,6.248983051,0
264,0.86,400987.9,3982.19,17.34995157,6.248983051,0
265,0.88,400987.9,3982.19,17.34995157,6.248983051,0
266,0.93,400987.9,3982.19,17.34995157,6.248983051,0
267,0.81,400987.9,3982.19,17.34995157,6.248983051,0
268,0.85,400987.9,3982.19,17.34995157,6.248983051,0
269,0.77,400987.9,3982.19,17.34995157,6.248983051,0
270,0.75,400987.9,3982.19,17.34995157,6.248983051,0
271,0.78,400987.9,3982.19,17.34995157,6.248983051,0
288,1.08,357035.3,2843.61,16.84486111,6.160416667,0
290,1.09,357035.3,2843.61,16.84486111,6.160416667,0
292,1.05,357035.3,2843.61,16.84486111,6.160416667,0
294,1.07,357035.3,2843.61,16.84486111,6.160416667,0
295,1.03,357035.3,2843.61,16.84486111,6.160416667,0
298,1.08,357035.3,2843.61,16.84486111,6.160416667,0
299,0.88,357035.3,2843.61,16.84486111,6.160416667,0
300,1.03,357035.3,2843.61,16.84486111,6.160416667,0
301,0.95,357035.3,2843.61,16.84486111,6.160416667,0
302,0.94,357035.3,2843.61,16.84486111,6.160416667,0
303,0.94,357035.3,2843.61,16.84486111,6.160416667,0
304,0.63,369594.13,2918.5,17.26800676,6.503918919,0
305,0.59,369594.13,2918.5,17.26800676,6.503918919,0
306,0.59,369594.13,2918.5,17.26800676,6.503918919,0
307,0.69,369594.13,2918.5,17.26800676,6.503918919,0
308,0.57,369594.13,2918.5,17.26800676,6.503918919,0
309,0.46,369594.13,2918.5,17.26800676,6.503918919,0
