,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,3.24,442451.0,3397.6,2.014596024,15.28235073
1,2.14,148747.0,1082.75,3.167695139,16.10551933
2,2.06,362899.0,1831.12,2.916283053,15.31658421
3,0.43,217455.0,831.93,4.335783779,17.57822096
4,2.91,345638.0,1709.33,1.655132479,13.50781498
5,0.68,366681.0,1970.86,1.158882549,13.13663924
6,1.29,439585.0,2656.69,1.446053625,14.15619969
7,0.97,263929.0,1740.9,1.859745967,14.14139242
8,0.46,469473.0,4067.47,4.663376439,16.48421441
9,1.75,260002.0,1817.94,2.717621651,15.63997636
10,1.35,140071.0,1022.45,2.556594174,13.5676867
11,0.74,376479.0,2097.64,1.844979133,15.63996912
12,0.46,186108.0,829.03,2.106902456,15.21178081
13,2.69,128982.0,991.29,4.560705249,16.45529775
14,3.41,378647.0,2714.72,1.790676779,15.34279253
15,1.97,253138.0,1586.91,3.431908715,15.40539581
16,1.37,366991.0,1891.88,1.939631705,13.44795358
17,1.02,105972.0,586.86,3.042626681,15.92386221
18,0.83,245175.0,1187.19,0.876377745,13.78771109
19,2.3,407797.0,3388.58,3.646475183,15.35936233
20,1.94,131459.0,1347.94,4.375258061,16.77622599
21,0.63,392405.0,3788.59,5.713023563,16.83646829
22,0.67,465853.0,3781.37,4.167760557,15.43496983
23,2.94,353029.0,2414.65,3.238649473,14.94298584
24,0.6,145751.0,729.16,2.144555217,13.69475522
25,1.55,152976.0,1299.35,4.111250305,16.43271439
26,1.61,364664.0,2230.0,2.74253088,14.37823354
27,2.19,353121.0,1864.63,2.156220223,15.29305893
28,1.95,348847.0,1968.75,0.77880959,14.2601709
29,0.86,377005.0,1865.58,1.878047782,15.40602714
30,0.74,369338.0,2151.37,1.986871118,13.46011105
31,3.89,400865.0,2567.95,2.411407488,15.60573209
32,0.6,273579.0,2227.62,4.183172284,16.74202506
33,1.01,99065.0,671.84,1.908531833,15.26999172
34,3.78,386748.0,3326.54,2.053817461,15.25806707
35,2.75,353615.0,3398.21,4.572866577,15.87609756
36,1.18,366977.0,1712.75,2.355414059,13.66690417
37,0.73,283084.0,2594.61,5.281331962,17.41874393
38,1.29,372164.0,1926.48,1.720483761,14.84863296
39,1.14,161610.0,1852.49,6.486589437,19.0190141
40,1.39,148106.0,943.48,1.888854899,13.97756662
41,1.08,246630.0,974.06,1.444915107,12.45851375
42,3.4,356364.0,2252.81,2.216868086,14.84682874
43,2.07,115581.0,614.57,1.538310457,14.74719072
44,0.6,380181.0,2284.43,1.704447497,13.35239299
45,2.25,344730.0,2051.03,2.094000716,13.34222583
46,2.2,239663.0,3217.34,6.465507151,17.30282022
47,1.46,353160.0,1858.4,1.492218758,12.37456898
48,0.85,189303.0,989.06,4.806125692,17.18177822
49,1.32,374099.0,1887.92,2.436131726,13.77817773
50,0.91,378674.0,3362.3,5.141046976,17.06942754
51,0.93,168104.0,1499.19,5.272920538,17.12139715
52,1.99,250107.0,1700.42,2.755871305,15.60943489
53,2.2,124181.0,823.17,1.548292716,13.95522174
54,1.23,243618.0,1437.41,1.97292488,13.0489676
55,0.88,140996.0,958.09,4.102700331,17.10280581
56,1.63,237910.0,1093.33,1.816118611,14.52405683
57,2.48,114676.0,1389.94,4.427327589,15.77607472
58,1.39,353945.0,3810.05,5.401148214,16.20846455
59,0.97,155234.0,905.3,2.8437663,15.15856119
60,1.51,371936.0,1877.22,3.056190392,15.58563237
61,0.41,379393.0,2190.77,2.386137417,15.66698321
62,1.98,358839.0,1867.41,1.516219912,14.91106215
63,3.18,79772.0,898.7,4.109432995,16.35310003
64,0.85,376618.0,2246.16,4.173484101,16.24712545
65,1.29,243732.0,914.89,1.515815167,12.13272074
66,0.79,275065.0,2466.48,6.632646112,17.32887929
67,0.8,160655.0,1221.43,4.308288819,16.92366674
68,2.25,357344.0,3236.45,4.240363864,15.71819039
69,1.26,231336.0,3285.77,5.531244585,16.82660428
70,2.64,399335.0,2472.25,3.030569624,15.42348032
71,1.78,353867.0,1756.25,2.622355976,14.79747735
72,1.5,120323.0,928.78,1.390317136,12.6011295
73,0.63,354871.0,2169.13,2.378283307,13.87138123
74,1.24,151230.0,855.7,3.159775291,16.19331902
