,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.72,350439.0,1685.36,1.839356314,13.98705581
1,2.81,247747.0,2346.11,3.752158584,15.67286293
2,1.14,135143.0,796.53,2.99995591,15.42183564
3,1.08,227366.0,2684.25,6.552639135,17.59887936
4,1.48,147605.0,854.39,2.87345625,15.93337751
5,0.8,271474.0,1935.17,3.262950695,15.71143005
6,1.0,134691.0,847.0,2.148546973,15.31442138
7,0.79,366746.0,2488.05,3.741370383,15.56366826
8,1.8,332707.0,1851.65,4.328357225,15.72981325
9,1.39,359311.0,2105.26,1.327324698,13.0572941
10,1.45,234624.0,1314.36,2.981208693,15.36358989
11,1.18,154393.0,1191.56,3.043308027,15.93683748
12,0.66,363577.0,2315.67,4.621077729,15.66058367
13,0.79,372928.0,3064.14,3.376731867,15.84505327
14,1.21,391891.0,2277.1,2.557708012,14.04119731
15,0.85,377885.0,4359.4,4.822456109,16.20815131
16,0.68,151135.0,786.23,4.310669848,16.92728955
17,1.4,219918.0,2043.2,6.781746463,17.27901444
18,1.03,261698.0,1119.86,3.040988917,14.86757418
19,1.72,368898.0,2603.41,5.147032052,16.03462479
20,1.02,142465.0,839.72,3.018831662,16.28598845
21,0.97,363760.0,2740.72,4.406446321,15.76070163
22,1.74,138482.0,1104.95,4.752052634,17.19599371
23,1.46,152084.0,1266.45,2.628902964,16.02160126
24,0.99,344444.0,3226.18,6.74972804,17.24793972
25,1.05,138473.0,639.88,5.606747641,17.13996918
26,0.93,379069.0,2013.85,2.856461333,16.23171987
27,1.43,259103.0,1606.21,1.931407906,13.94044692
28,0.86,378719.0,2435.03,8.508621647,17.81180911
29,0.78,272565.0,1929.66,5.324056917,16.85077104
30,0.43,374527.0,2121.08,4.138743413,15.88781732
31,0.76,350243.0,2160.96,1.144370574,13.32449594
32,2.36,119900.0,778.28,4.852681328,16.72053407
33,1.01,362357.0,3637.18,5.057183519,16.39511002
34,0.84,371004.0,3939.18,4.076559392,15.48001873
35,0.36,373357.0,2486.81,3.476548672,15.30903018
36,1.7,246496.0,1736.4,6.041206305,16.75868349
37,1.21,143607.0,852.92,2.933073685,14.38949239
38,1.4,131097.0,587.29,2.668570143,15.98006057
39,1.21,117499.0,586.86,2.519923863,13.8427374
40,1.61,128977.0,786.26,2.663896031,15.80281327
41,1.16,353010.0,1979.46,2.180723762,15.07137012
42,1.53,130783.0,852.25,1.864483134,13.83516416
43,1.41,143300.0,1084.37,2.31473225,15.36919639
44,2.04,240967.0,1901.94,5.96396718,16.21054867
45,1.09,349570.0,3825.44,4.364765433,15.92364799
46,1.35,363174.0,2725.47,3.03627142,15.12507375
47,0.88,156134.0,2083.08,7.099585205,16.61808362
48,1.2,247636.0,2051.18,7.139001944,17.08956939
49,1.13,233101.0,2434.41,6.665546799,17.63468729
50,0.45,155741.0,994.39,2.982744355,16.26863164
51,1.34,258146.0,1828.3,3.024848722,15.77300194
52,1.28,248424.0,1796.77,4.180482613,16.66154736
53,0.71,159543.0,800.17,4.606287678,17.13121958
54,0.56,353929.0,3256.95,5.355198745,16.26730088
55,2.52,105848.0,1454.84,5.07668195,16.62291524
56,0.8,359016.0,2251.64,1.620993319,13.1006515
57,1.73,303204.0,1675.69,4.27798865,16.25543859
58,1.11,377222.0,2018.7,1.864247906,13.840845
59,1.21,255222.0,1393.73,1.417926778,13.34496876
60,1.21,254445.0,1757.38,2.413840387,15.30322126
61,2.04,223733.0,1687.71,3.847163317,15.7959028
62,2.02,134691.0,770.82,4.085184862,15.76154671
63,1.32,243531.0,1604.78,2.620146988,14.85378874
64,2.05,223661.0,1323.52,2.337016891,13.16696883
65,1.07,111115.0,586.86,4.563629042,16.42885583
66,1.93,117545.0,841.79,3.452900335,14.80176232
67,0.79,145896.0,788.87,2.48993663,15.45636803
68,1.96,137834.0,1286.4,2.243242786,14.42354108
69,0.96,361078.0,2594.6,5.132406798,16.66725372
70,1.09,147480.0,1220.78,3.023020198,15.60101011
71,1.6,243384.0,1833.53,6.675156043,16.52512392
72,0.93,262888.0,2860.39,7.101352373,16.92925732
73,1.03,254496.0,2413.14,5.554788638,16.9721268
74,1.13,151373.0,1253.99,3.267773959,16.08013728
75,1.52,258119.0,1282.08,2.680348186,15.36919611
76,1.64,236489.0,1453.0,1.181476657,12.70890739
77,1.76,232712.0,1543.45,0.645525979,12.04485488
78,1.1,370810.0,1699.04,0.769602877,12.85412699
79,2.28,237482.0,1711.86,2.000689726,15.1279793
80,0.86,269182.0,2289.95,7.466887044,16.90080651
81,1.73,242368.0,1718.36,1.799133934,13.71460758
82,1.32,155916.0,1902.46,7.312811842,17.84355694
83,1.17,143487.0,1452.21,7.881923392,18.72110825
84,1.43,238712.0,2200.56,7.322619413,16.86092011
85,0.64,381277.0,2068.87,2.556547024,15.57168822
86,1.45,245627.0,1268.82,2.297833958,15.75128718
87,1.68,239571.0,1526.69,0.7499236,12.87655133
88,1.23,123815.0,2060.78,6.778273342,16.003736
89,0.78,134877.0,695.12,4.494920748,17.31856065
90,1.98,254998.0,1424.26,2.598426697,15.52740294
91,0.84,359903.0,1824.93,2.93027406,15.42996612
92,1.2,375315.0,1833.3,1.324014842,13.39510734
93,1.54,146001.0,1076.1,6.958185975,17.27875145
94,1.13,267607.0,1330.3,2.778219589,16.06361673
95,1.57,257827.0,1978.37,2.82295829,15.20619981
96,0.58,275226.0,1133.22,2.447998445,15.88636902
97,0.82,371634.0,2541.42,4.022774446,15.79751084
98,1.33,160299.0,1864.68,6.19459368,17.06618723
99,1.81,359676.0,2090.89,2.814128987,14.94034206
100,1.12,138111.0,823.39,5.260135491,16.93718162
101,2.35,340077.0,2428.79,2.592276828,15.17561401
102,1.21,241587.0,2593.61,6.363264111,17.81248857
103,1.2,363252.0,2326.63,2.31574678,13.56586106
104,1.07,137771.0,692.31,4.585655439,17.03715237
105,0.37,153440.0,708.22,3.524811726,17.07184728
106,1.52,372245.0,1921.83,1.516976191,14.81570263
107,1.75,364599.0,2064.04,0.949103036,13.41269164
108,1.28,235018.0,1940.77,7.123374659,17.61099505
109,0.66,388413.0,1993.56,1.475588449,15.06302841
110,1.91,238569.0,1764.26,2.415872336,15.4811026
111,0.86,126555.0,755.76,4.630551434,16.25791178
112,1.37,361186.0,1899.8,1.617459477,13.04360269
113,2.2,337580.0,3178.9,6.113129109,16.34019154
