,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.75,249026.0,2216.06,4.268898137,16.9618085
1,1.61,356745.0,1892.79,1.813296215,15.47179409
2,1.16,261659.0,2078.12,5.676713147,16.82488512
3,0.98,384236.0,3230.91,4.528138756,16.36466789
4,1.56,361431.0,3285.49,6.648060412,16.96576211
5,1.8,140569.0,827.67,3.469378597,16.01885271
6,1.38,163986.0,991.42,4.198673354,16.08858158
7,1.83,353948.0,1607.77,2.577990909,14.98179976
8,1.41,134107.0,1174.4,1.810562531,14.71137758
9,1.77,146505.0,1513.82,2.270211389,15.52487269
10,0.74,380537.0,2386.42,1.900369759,14.21343963
11,2.04,161155.0,1263.2,5.542496673,16.88269613
12,0.61,170783.0,1398.59,6.201366698,17.93955073
13,1.64,252398.0,2157.41,5.981081302,17.28311795
14,0.78,150957.0,1522.04,2.85922325,15.55797296
15,1.8,240091.0,1717.02,3.603980571,15.927942
16,2.46,354943.0,2599.86,5.339343779,16.26014439
17,1.29,362664.0,1715.81,1.929268464,14.01868853
18,2.53,123336.0,1712.95,1.95286331,15.32561072
19,1.93,132299.0,1713.02,6.564597796,17.45277564
20,1.68,137609.0,1048.47,3.07932091,15.51316497
21,1.79,143168.0,1677.51,3.81678473,15.7631683
22,0.81,154951.0,1304.48,2.846197871,16.22097887
23,1.4,253983.0,1514.31,2.151080408,13.80764381
24,1.58,141175.0,993.73,1.926599612,15.13596304
25,1.13,134114.0,1423.58,4.069057144,17.35689883
26,1.14,147172.0,1236.49,3.584322249,15.85017796
27,0.9,237579.0,2417.64,5.132488498,16.9302322
28,1.23,254164.0,1760.35,3.678854529,16.16391326
29,1.43,256591.0,1392.77,2.930734974,15.44503767
30,1.19,384192.0,2042.39,1.772501088,14.02143839
31,2.17,240859.0,1560.65,1.901354235,15.50108106
32,1.82,236543.0,1707.97,2.919137548,14.4661219
33,1.67,314210.0,3234.29,5.125746769,17.2695105
34,1.64,137899.0,1721.0,3.545367415,16.20879772
35,1.97,243531.0,1492.7,3.361992506,15.3863939
36,0.87,263422.0,1859.43,2.426179062,14.49156076
37,0.63,262817.0,1526.95,4.627227031,16.29301034
38,2.25,366951.0,2293.95,3.063057855,15.86669378
39,1.93,245149.0,1345.82,1.734985107,15.26004412
40,1.55,132140.0,645.49,2.183018482,15.09443843
41,1.43,369894.0,3439.75,5.739654779,16.84260944
42,1.7,354387.0,1783.73,0.857974542,13.17725811
43,1.69,353312.0,1508.74,1.898022169,13.99503944
44,1.26,251427.0,1385.97,1.388974911,13.40667169
45,1.34,372203.0,2278.23,3.215021218,15.70651407
46,1.19,365524.0,2200.49,1.576677108,13.32795941
47,1.45,140472.0,839.15,3.96385977,16.68982961
48,2.11,124482.0,815.87,6.147879379,16.13995566
49,1.57,140054.0,1209.72,2.355865211,14.43972962
50,2.88,237605.0,2025.91,1.474455565,13.46187955
51,0.73,153099.0,1261.51,5.214237593,17.11945084
52,1.82,351297.0,1969.16,3.225640169,15.8858911
53,1.38,127979.0,780.92,4.09795486,16.20797598
54,1.39,247951.0,1499.98,1.827696612,15.11027787
55,1.6,135641.0,925.84,2.029615796,13.90905683
56,0.44,398268.0,2883.63,3.055173165,15.21930264
57,1.49,248918.0,1391.33,2.151947266,14.08591454
58,2.0,141721.0,835.05,1.884804077,13.6069395
59,1.96,360976.0,2436.77,5.005497027,16.51151509
60,1.14,246352.0,1413.36,-0.326393035,13.0452753
61,1.18,364807.0,2964.88,6.099393312,16.9121148
62,1.05,150237.0,1172.7,2.886714717,15.70204712
63,0.88,146165.0,1312.29,4.693244701,17.87800139
