,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.98,825,253726.0,1800.54,1.7473231,14.59722179
1,0.96,813,370629.0,1743.56,3.154296969,15.37524469
2,1.24,846,251707.0,1806.93,3.955261055,15.82018895
3,2.06,762,235548.0,1750.31,2.52676348,14.94880798
4,2.42,439,123590.0,1137.13,3.377562033,15.648348
5,0.91,1227,385225.0,3456.52,6.919199537,17.40016125
6,1.35,434,149564.0,1087.9,5.090371029,17.10395205
7,1.56,830,260952.0,1835.21,6.278675433,16.6177261
8,1.54,773,239847.0,1252.88,0.281737589,15.19186891
9,1.47,798,263575.0,1959.0,2.279720333,15.32329829
10,0.82,459,142127.0,1004.79,3.035539522,16.11741589
11,3.07,368,119747.0,828.99,3.117253164,15.03011735
12,1.24,740,294509.0,1795.1,4.564806499,15.81097293
13,2.9,392,151549.0,917.17,2.043080575,13.7893362
14,1.77,434,147285.0,586.86,1.058709003,14.05863645
15,1.44,1172,373048.0,2616.58,6.273450898,16.21771193
16,2.09,792,254525.0,1904.95,5.635475244,15.43689198
17,1.22,453,154550.0,1178.9,6.068177368,17.51758631
18,1.22,448,136412.0,906.76,2.965045777,16.32602642
19,2.2,762,247809.0,1866.27,2.654770853,15.51728802
20,2.79,420,135999.0,1234.62,3.974636995,16.14379199
21,2.04,1144,357323.0,1964.41,1.344888219,14.14457837
22,1.21,1067,331766.0,2972.0,6.369154843,16.54293828
23,1.35,1111,346212.0,3503.75,5.637599999,16.09558637
24,1.48,1200,372419.0,2548.32,3.120844707,15.43725509
25,1.6,814,250209.0,2466.59,5.119625545,17.76825052
26,1.26,828,261231.0,1635.75,4.162451811,16.89299569
27,0.73,807,259781.0,2076.37,3.356806934,15.86417581
28,0.93,1243,381605.0,3094.58,6.738374983,17.14996107
29,1.64,1179,365011.0,2066.05,0.738309276,13.67733787
30,2.5,759,236642.0,1377.16,3.253830624,15.96002441
31,4.28,1134,354989.0,2218.98,2.501177007,14.83663025
32,2.07,786,367771.0,2447.35,5.311816131,16.4533611
33,1.57,1175,382852.0,2415.0,4.3455444,15.74052485
34,1.49,779,247494.0,1193.74,1.611038148,13.2044802
35,2.48,406,124444.0,929.75,1.278230307,13.88002866
36,2.45,773,318650.0,2283.83,2.017601256,14.67888456
37,2.14,815,375671.0,2830.68,5.94037953,16.35865024
38,2.55,739,236750.0,1013.89,3.017862343,15.43249877
39,0.73,473,157253.0,1037.98,6.95316062,17.92038506
40,1.82,787,236517.0,1807.08,4.853132934,16.11718041
41,0.74,485,155613.0,1020.83,4.021122395,17.21418669
42,2.03,423,139776.0,1651.74,5.699940999,16.76683792
43,2.38,797,248951.0,2156.61,6.152072424,16.7598057
44,2.66,758,344125.0,2001.58,3.831086164,15.71745816
45,1.98,392,121936.0,1344.98,3.44577117,15.21614803
46,2.06,802,257312.0,2334.38,5.513577183,16.45145262
47,1.22,454,159995.0,1069.97,3.077726672,15.96850852
48,1.11,869,261430.0,2964.42,6.889895054,18.08265015
49,1.21,421,254733.0,1629.83,3.236704634,15.30904006
50,2.22,461,143747.0,1585.6,6.832084767,17.2846966
51,2.67,401,99509.0,752.45,4.20336342,15.45256655
52,2.59,456,179005.0,1772.06,6.468456224,17.38595867
53,2.74,385,115478.0,974.84,1.746967868,13.57768141
54,2.05,1143,390521.0,4037.0,4.874116068,16.51368964
55,2.49,393,123849.0,1250.4,3.356777428,15.4204554
56,0.59,855,281673.0,2606.53,7.571305673,17.56359565
57,1.8,472,146349.0,1708.56,7.139965719,16.73068323
58,1.84,782,229425.0,2342.04,6.685068716,16.79565335
59,2.01,386,125949.0,779.3,2.203917288,15.18080492
60,2.69,1143,377458.0,2502.37,1.874351173,14.26762113
