,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,0.59,398432.0,3900.09,6.311322299,17.9946895,0
1,2.63,111566.0,1550.69,5.595054606,15.59295897,2
2,1.27,255274.0,2552.63,6.390441817,17.43017235,1
3,1.58,139625.0,1628.61,5.48014188,16.56854153,1
4,0.92,257467.0,2321.85,5.852346294,16.51141449,0
5,1.0,392318.0,3799.62,7.071665277,18.85452099,0
6,0.96,415813.0,3805.4,5.860595684,16.03276618,0
7,1.7,344249.0,3631.4,4.494918709,15.40214819,1
8,1.15,307653.0,2403.31,6.738394961,18.90902481,0
9,1.69,251819.0,2552.13,5.945745997,17.42123795,1
10,0.98,249951.0,2971.39,6.074334258,17.62167319,0
11,0.7,391990.0,3655.92,5.812571311,17.13467149,1
12,2.63,103846.0,1449.18,4.517311253,15.47411994,2
13,1.07,146915.0,1125.49,5.551159038,15.83456724,1
14,1.7,256299.0,2181.09,5.19741233,16.13181498,1
15,1.46,270190.0,3646.53,6.394383776,17.50818264,1
16,1.62,411724.0,3499.57,4.695628098,15.64947387,2
17,0.81,379708.0,3736.82,6.496775616,17.01330298,0
18,2.38,111080.0,1212.18,4.28670001,16.04363988,2
19,0.86,127826.0,2239.91,7.113654887,17.63058922,1
20,2.58,147246.0,1340.99,7.110203994,17.31138719,1
21,0.65,348374.0,4106.78,4.308788128,15.42474942,1
22,0.96,305224.0,2520.18,7.023182752,18.11073362,0
23,0.97,266019.0,3976.72,6.148774764,17.54073116,1
24,1.51,240708.0,2599.49,5.539994703,16.89731518,1
25,1.71,233486.0,2052.62,3.68380544,15.03465454,1
26,1.03,265898.0,3425.12,5.686534255,16.88560349,0
27,2.16,234848.0,2084.95,4.481262209,15.71147084,2
28,1.64,227936.0,2267.25,4.160424135,15.45109145,1
29,1.51,332113.0,3584.55,4.291045506,15.12130113,1
30,1.41,348161.0,3486.15,5.794703921,15.85784541,1
31,2.33,118811.0,996.35,3.515345646,15.06369912,2
32,2.7,112209.0,1615.95,5.61577085,16.7023873,2
33,1.03,333644.0,3234.49,4.734766394,16.50793739,1
34,2.07,239298.0,2495.2,4.684095685,15.60215737,2
35,1.4,257506.0,2292.44,5.71834567,18.12058093,1
36,0.97,156598.0,1283.62,7.040008358,19.630501,0
37,2.49,205920.0,2169.18,4.714077328,14.92627277,2
38,0.63,239545.0,2652.62,5.172826103,16.24543692,0
39,0.99,140249.0,1718.48,7.127782643,18.92078551,1
40,1.05,264735.0,2804.3,6.313126785,17.62617047,0
41,1.76,170270.0,1764.12,6.210181076,17.31493768,1
42,0.7,280830.0,2416.7,5.93188302,16.41896617,0
43,1.68,341671.0,3588.94,5.291961016,16.51131399,1
44,1.0,251080.0,2514.4,6.361662692,17.02392914,1
45,1.87,253487.0,2359.07,5.712360969,17.55468083,1
46,1.72,262334.0,2494.4,6.016513454,17.17546323,2
47,2.37,103554.0,1455.69,5.076193382,16.57283068,1
48,1.73,246501.0,2474.87,5.168918239,16.52473319,2
49,2.02,136078.0,1441.28,5.043600364,15.70816931,2
50,1.06,336777.0,3304.09,4.531110312,16.31882584,1
51,0.72,378311.0,3536.18,5.03071667,17.27384804,1
52,1.3,132406.0,1642.43,6.867309151,18.68570827,1
53,2.8,127856.0,1274.63,5.597901753,16.01531032,2
54,0.9,362302.0,3668.86,4.005454802,17.14531454,1
55,1.23,346431.0,3655.77,5.715678676,17.40846841,1
56,2.43,158837.0,1837.23,5.553997094,16.6286197,2
57,2.66,129338.0,1250.74,3.976285166,14.35050725,2
58,1.51,379834.0,3524.67,4.896596249,16.64121186,1
59,1.24,183349.0,2498.37,6.879284417,18.49260455,0
60,2.07,217137.0,2312.1,5.015196678,15.21978146,2
61,0.69,252579.0,2592.95,6.403701762,15.96927214,0
62,1.66,139167.0,2208.76,6.264585555,15.99033816,2
63,1.01,277992.0,2441.65,6.01397289,17.09505573,1
64,1.04,350092.0,3275.42,5.403533986,16.69502836,1
65,1.11,236011.0,2095.84,5.71302584,16.18426716,1
66,0.66,449220.0,4525.4,5.03795643,15.21313546,0
67,1.63,222726.0,2141.14,4.558781103,14.9409519,2
68,0.85,282495.0,2526.15,6.689028368,18.1404439,0
69,2.42,121218.0,1444.59,5.298739919,15.86908264,2
70,1.79,259092.0,2216.54,5.574201906,16.5173842,1
71,1.71,137843.0,1696.27,5.986472024,16.73665954,1
72,1.0,164420.0,2455.94,7.051977348,19.630501,1
73,0.89,396201.0,3728.92,6.236955326,16.67932735,0
74,1.0,109982.0,1354.86,6.792925279,17.09590112,0
75,3.03,124567.0,996.35,4.969336325,15.63223839,2
76,1.13,243707.0,2303.54,6.405293852,16.95571613,0
77,0.93,280478.0,2703.11,5.949981839,17.30911124,1
78,1.88,118895.0,1802.11,5.761954312,16.59887119,1
79,1.51,116263.0,1232.15,5.563216151,15.4851206,2
80,1.06,268329.0,2691.01,6.180403943,17.52444636,1
81,1.67,145535.0,1649.34,7.301991434,17.86393785,1
82,1.79,259889.0,2391.01,5.259062176,17.04122222,1
83,0.8,389563.0,4130.07,6.755749984,17.31413812,0
84,1.01,388264.0,3898.09,6.877431392,19.38214365,0
85,1.76,248953.0,2548.18,5.637028606,17.11458235,1
86,2.53,268467.0,2143.66,5.356288562,15.41176464,1
87,1.17,274767.0,2568.09,6.493259439,17.86905461,0
88,1.86,245164.0,3630.31,6.003404513,15.39212006,1
89,0.63,275668.0,2899.37,6.592337191,17.78149238,0
90,1.75,159750.0,1878.91,5.288728982,16.34979287,1
91,2.2,140327.0,1655.86,6.279331666,17.97130557,2
92,1.3,153955.0,2434.83,6.862138208,18.81099089,1
93,1.01,369008.0,3758.2,5.628863182,17.46694334,0
94,2.32,108676.0,1305.8,5.308905899,15.86181653,2
95,1.98,233956.0,2285.97,6.37357561,16.33394443,1
96,1.61,249248.0,2057.17,5.134256777,16.1403416,1
97,2.66,260401.0,3569.71,5.153780968,14.92773435,2
98,2.63,94862.0,1046.62,4.323360198,15.87481775,2
