,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.31,144716.0,1788.16,7.523405727,17.28061029,1
1,2.64,262987.0,2734.82,5.091414658,16.1033766,2
2,0.96,152045.0,1374.04,6.923728892,19.08972973,1
3,1.1,277431.0,2213.02,6.655397588,17.54743932,1
4,2.16,237150.0,2455.44,5.066145525,16.47641227,2
5,1.37,326552.0,2720.73,5.104551621,17.28431259,1
6,0.88,313321.0,2432.02,5.072221305,15.79836306,1
7,1.93,205100.0,2102.77,6.038370234,15.73755043,2
8,1.19,141578.0,921.06,6.559024799,17.03579117,1
9,1.15,340488.0,2589.44,4.070878082,17.07552956,1
10,1.29,136380.0,620.61,7.953899219,18.16471053,1
11,2.38,208933.0,3049.52,5.266789554,17.02783251,2
12,0.85,279179.0,2812.3,4.831435052,17.13829141,1
13,2.62,145594.0,1152.37,5.514920195,17.04042177,1
14,2.22,261918.0,2537.56,6.38968553,16.94381935,1
15,2.52,257584.0,2156.29,6.210345914,17.13152252,1
16,1.06,312896.0,2787.91,5.875092385,16.97164231,1
17,0.88,252622.0,2705.72,5.949268854,15.55316249,1
18,2.13,248220.0,2005.58,5.760231001,16.72804053,2
19,1.28,162860.0,957.37,5.066937837,17.07379938,1
20,0.69,143773.0,1865.61,7.147183431,18.74802815,1
21,2.46,120450.0,942.39,5.975593017,16.01418731,2
22,1.44,279275.0,3057.97,7.009213399,16.80133715,1
23,0.44,381211.0,5006.9,4.022644395,16.41451704,0
24,0.97,225427.0,2294.58,6.712748906,17.11357622,1
25,0.8,335784.0,4177.2,6.494504302,17.97799124,0
26,1.37,338580.0,2964.61,4.359297028,15.63168644,1
27,1.88,100987.0,1531.47,6.208842312,17.21544363,1
28,1.39,183613.0,893.36,6.86408772,17.31358059,1
29,0.86,178103.0,1995.11,8.378007322,18.05343195,1
30,0.58,277004.0,3007.7,5.543074095,16.64916882,1
31,1.04,273981.0,2924.01,5.154460645,17.4404308,1
32,1.04,124721.0,959.2,5.938570794,17.11941938,1
33,0.8,334469.0,3623.32,6.045680768,17.36735301,1
34,0.89,280238.0,1942.94,6.19163189,17.52073878,1
35,2.3,78065.0,739.7,4.947672045,17.40615453,2
36,0.92,300121.0,3226.77,6.052694793,17.60918077,1
37,1.61,78065.0,1166.01,4.236143266,15.12738005,1
38,1.03,310082.0,3645.1,4.63586936,17.06171229,0
39,2.28,231602.0,2391.73,4.03554434,16.36356018,2
40,1.51,329948.0,2913.44,5.714687302,16.84772962,1
41,1.54,236791.0,2658.93,5.901463482,17.07229841,1
42,1.5,240729.0,2199.07,5.248142087,16.83189026,1
43,2.64,109002.0,1266.71,4.499383945,17.22619582,2
44,1.54,129134.0,1140.93,5.125718421,16.35803696,1
45,2.88,147504.0,1393.51,5.069789732,17.55640507,2
46,0.99,356490.0,1191.77,4.358889394,16.29292571,1
47,1.19,257500.0,2366.66,5.506446348,17.43831393,1
48,2.43,78065.0,1225.56,6.345420864,16.78490488,1
49,1.0,343957.0,3683.41,6.05963555,16.60398874,1
50,0.81,132758.0,761.24,5.912493121,17.17171993,1
51,1.2,333068.0,2087.99,5.031770656,16.51756497,1
52,1.07,131611.0,620.61,6.316211947,17.34670319,1
53,2.96,275644.0,1726.0,5.951811136,17.30429552,2
54,2.32,118105.0,729.43,6.671049138,16.63674396,2
55,2.86,121814.0,2258.36,5.871026334,16.34532536,2
56,1.49,302346.0,2429.27,6.488449407,17.83054883,1
57,1.89,85174.0,629.43,4.875577916,14.09046429,1
58,1.91,96224.0,754.16,5.522683911,16.77068514,1
59,1.47,325492.0,2885.25,4.477769429,17.07572843,1
60,0.92,367561.0,4106.29,5.716024984,15.97735309,1
61,2.56,228355.0,2953.44,5.370549391,16.20766534,2
62,1.79,256856.0,2185.03,6.232919448,17.49311074,1
63,2.03,414768.0,4589.22,4.333165562,16.36066182,1
64,1.3,97838.0,2696.89,5.68638057,17.72309474,1
65,0.82,323987.0,3103.93,6.706330325,16.74185677,0
66,0.96,367402.0,2609.11,5.87899526,17.14249773,1
67,1.4,124057.0,762.25,3.884063406,17.30077266,1
68,2.85,147993.0,1101.58,4.491572573,15.92257564,2
69,1.91,117315.0,1084.22,6.799928721,17.46297217,1
70,1.34,230677.0,2351.3,6.508742363,17.14369937,1
71,1.59,221605.0,3262.0,4.665212533,17.04872596,1
72,2.65,211682.0,1183.97,4.683141753,16.39165247,2
73,2.29,271553.0,2804.2,6.553053264,16.5391291,1
74,1.03,237188.0,1986.41,4.966456081,17.50595494,1
75,0.99,120431.0,898.66,4.467643531,16.47371782,1
76,2.81,239293.0,1243.32,6.020557898,17.25751248,2
77,2.45,281681.0,1522.77,5.290340946,16.98521415,1
78,1.1,340439.0,3309.39,5.100949397,15.32994355,1
79,1.38,94686.0,937.69,7.176794293,17.07925181,1
80,2.02,108967.0,979.38,4.924342309,17.37388169,1
81,0.89,117206.0,838.87,6.62233838,17.76690135,1
82,3.05,181023.0,620.61,3.980612278,15.38127706,2
83,2.94,141454.0,1652.25,6.734055659,17.30584004,2
84,1.13,151632.0,799.23,7.893214912,17.8728468,1
