,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,0.87,259791.0,2795.06,6.03702387,16.90144309,0
1,1.12,134584.0,1334.62,6.43267447,16.77922027,1
2,1.65,235681.0,2195.26,6.56964901,18.32254392,1
3,2.03,333575.0,2490.3,6.896594859,17.08455461,1
4,1.15,123594.0,1009.86,6.890545638,16.29958977,1
5,0.64,386058.0,3076.45,6.010120089,15.61705239,1
6,1.72,154989.0,914.86,7.27672264,17.52024063,1
7,1.5,230492.0,1945.57,5.949027275,17.74521436,1
8,2.29,113690.0,1098.59,3.555392857,15.27059128,2
9,0.83,260290.0,1237.87,6.173547467,18.29089399,1
10,2.16,256212.0,2118.3,5.831669994,15.85346374,2
11,1.82,250777.0,1804.4,6.616849679,15.73049802,2
12,1.52,256683.0,1924.82,6.069781346,16.64786747,1
13,2.43,285747.0,2430.81,5.753506085,16.68189187,2
14,1.38,362126.0,3685.19,6.172710079,16.7561203,1
15,1.37,138180.0,1310.28,7.507287347,18.57987918,1
16,1.14,136995.0,971.46,6.14997999,17.73649608,1
17,2.65,256266.0,2081.06,5.400908168,15.28207223,2
18,1.67,348851.0,2570.31,6.261507993,16.86454903,1
19,2.88,127998.0,620.61,6.081617952,15.4656344,2
20,2.75,114799.0,639.85,5.240881137,15.80008833,2
21,0.9,279561.0,3526.06,5.930506698,17.38744151,0
22,2.24,317618.0,3006.14,5.850940656,16.17173795,2
23,1.66,345033.0,3104.64,5.952567075,16.44653537,1
24,1.17,141143.0,2261.46,6.803269993,18.12636066,1
25,2.19,269689.0,3109.2,5.928456744,15.35933831,2
26,1.87,120794.0,901.49,6.470112951,16.06093384,1
27,1.47,156364.0,1018.15,7.383253224,18.25882303,1
28,2.46,142206.0,1040.62,4.450248076,16.61810939,2
29,1.09,271814.0,3002.37,6.660460406,17.74058533,0
30,2.0,129153.0,971.67,6.471425407,17.86899776,1
31,1.39,218142.0,2105.6,4.477785959,16.59263821,1
32,2.04,154914.0,637.88,6.963331371,18.01437904,1
33,1.18,194325.0,1301.12,7.340539954,19.21187685,1
34,1.7,183245.0,2470.55,6.750856167,18.2260837,1
35,2.17,107391.0,1012.35,4.728131125,16.95390591,2
36,2.54,286763.0,2288.11,4.687646251,15.1737406,2
37,2.06,260291.0,2228.92,6.049456801,16.78654714,1
38,1.83,257678.0,2636.87,6.287060113,15.66601434,2
39,1.02,264462.0,3091.18,5.818785168,17.10752623,1
40,2.08,236483.0,2504.51,4.529480698,16.38520772,1
41,1.66,105347.0,1170.04,4.312258787,16.27900449,1
42,1.91,347510.0,3028.9,6.892108445,17.12539514,2
43,1.12,260108.0,2515.89,7.45673959,17.04229892,0
44,1.72,290958.0,2531.79,6.3964984,17.7880681,1
45,2.42,246484.0,3111.79,4.767926026,16.81274789,2
46,2.12,346272.0,3027.84,5.549140309,15.90804756,2
47,0.95,357468.0,2949.51,5.642160977,15.50428581,1
48,2.01,149915.0,1492.97,7.05736208,18.50297952,1
49,2.52,369194.0,3225.55,6.09590468,15.94204519,1
50,2.63,146486.0,1071.32,7.001193764,18.25899075,2
51,1.48,255318.0,2414.36,5.740731985,16.6892905,1
52,1.68,278150.0,2886.44,6.488433021,15.3933068,1
53,1.65,260893.0,1144.79,6.512138643,16.9253381,1
54,0.95,244484.0,2139.62,6.08901474,17.23677013,0
55,0.88,398071.0,3363.72,6.590155949,17.96290564,1
56,1.69,107315.0,1172.96,7.102129917,17.68291851,1
57,1.09,273542.0,2453.58,5.912537921,17.27267838,0
58,2.25,119001.0,1546.82,6.362210842,17.64685197,1
59,0.76,361552.0,3552.35,6.429034409,16.9542467,0
60,1.62,251838.0,2328.21,6.070263291,17.61299063,1
61,1.87,380973.0,2920.71,5.999013004,16.61057301,2
62,1.69,291718.0,2221.3,4.850850517,18.30608455,2
63,2.84,157170.0,862.48,4.734517102,15.83895612,2
64,1.11,388414.0,3798.55,6.261035305,16.28145304,1
65,1.87,136958.0,1037.26,6.841092598,17.79194961,1
66,1.1,285559.0,3682.37,6.401643782,18.06878232,0
67,1.3,237824.0,1315.96,5.833617636,16.53449952,1
68,0.99,368592.0,3079.2,5.606213865,17.07945014,0
69,1.54,119037.0,1309.42,6.104476211,16.54322132,1
70,0.99,390593.0,3393.92,7.276291442,18.00657851,0
71,1.92,111077.0,792.89,4.731529949,14.60185901,1
72,2.17,250208.0,2580.27,4.172583667,15.87724069,2
73,1.1,159230.0,1421.89,7.62520233,17.56512008,1
74,2.04,153134.0,1158.51,6.438553099,15.61724226,2
75,3.16,244271.0,2357.0,5.67317564,15.88297293,2
76,3.03,371815.0,3566.58,5.550976634,16.39970855,2
77,1.41,349216.0,2331.21,6.74656812,17.1035596,0
78,2.4,370886.0,3253.84,4.872018943,16.6873231,2
79,1.3,272386.0,3444.84,6.260804474,18.15832859,0
80,2.35,198234.0,2047.03,5.58995623,17.46401823,2
81,1.88,128949.0,620.61,6.339875128,17.06755523,1
82,2.6,221452.0,2013.85,4.252545831,15.96720336,2
83,1.81,253856.0,2098.08,6.252722171,15.92124999,1
84,0.73,361716.0,3287.25,6.157269893,16.8156079,0
85,1.46,263919.0,2405.44,6.058742137,17.40407253,1
86,2.29,313331.0,3158.99,5.405493565,14.91872881,2
87,0.92,181918.0,1262.62,7.509670733,19.49693824,1
88,3.25,358079.0,2857.63,3.748626581,15.9335055,2
89,2.05,241956.0,2288.57,6.899145885,17.11152153,2
90,1.06,344552.0,3649.02,7.393066633,16.9337196,0
91,1.32,270478.0,2250.12,6.604900052,17.93246006,0
92,2.37,97809.0,620.61,5.549210169,16.4669174,2
93,1.98,111677.0,1079.25,4.363415122,15.69273667,1
94,1.6,141716.0,2232.96,6.811121998,18.66460595,1
95,1.64,251475.0,2837.42,5.596832289,16.77881963,1
96,1.58,257741.0,1796.93,6.037006165,16.95524603,1
97,1.78,367631.0,3143.55,5.162710746,16.72204192,1
98,1.23,357370.0,2588.89,6.982957461,18.09154877,0
99,1.77,136585.0,1074.9,6.502748161,17.45889008,1
100,0.95,142790.0,1150.7,6.737210397,17.8193592,1
101,2.24,213887.0,2054.9,4.481271347,16.71116528,1
102,0.96,386832.0,3317.66,5.853296455,16.60116499,0
103,2.26,272519.0,3531.96,5.568305684,15.9846076,2
104,1.71,149948.0,906.9,7.053135882,18.42953988,2
105,2.08,235594.0,1982.1,6.425045221,16.88774171,2
106,1.72,234445.0,2468.59,5.328645217,16.58183435,1
107,2.28,240505.0,2884.42,6.568317646,16.01760043,2
108,2.48,151665.0,993.21,6.927804439,16.62780734,2
109,0.32,355495.0,3397.21,5.487577974,17.17515382,1
110,1.12,253070.0,1349.96,7.042291826,18.56389961,1
111,2.23,158606.0,1503.6,7.036187398,18.06609921,2
112,1.7,122220.0,1110.39,5.609956228,17.185504,2
113,2.53,389777.0,3068.32,3.555392857,15.4712619,2
114,0.91,268408.0,2548.42,6.347844309,17.77487562,1
115,1.83,135877.0,1074.67,5.338367759,16.74515737,2
116,1.89,104168.0,1032.66,4.606911142,16.01661094,2
117,1.75,342349.0,3004.21,5.857936944,16.83350359,2
118,2.15,239285.0,1300.88,5.868739839,16.81649822,2
119,1.59,158857.0,620.61,6.110289117,16.88975525,1
120,2.51,263262.0,2843.01,6.157806349,16.40233296,2
121,2.02,125853.0,1234.0,6.257258673,17.50707585,1
122,1.4,335190.0,3240.68,7.133160182,17.04219202,1
123,2.35,374257.0,3122.98,5.871567715,15.46110148,2
124,0.88,390734.0,3177.71,6.611066908,17.99740576,0
125,2.67,270980.0,2738.09,4.460088758,15.87967343,2
126,1.95,153857.0,1392.97,6.95191636,17.77205587,2
127,1.81,255904.0,2475.09,6.943384261,17.17379584,1
128,2.55,234954.0,2480.83,4.383414017,16.39665867,2
129,1.13,123080.0,987.58,8.210921844,17.61868367,0
130,1.28,398401.0,3397.24,4.986833871,16.2155681,1
131,0.67,330604.0,3434.7,6.05814293,17.00103866,0
132,2.6,161593.0,785.3,5.986299202,16.57220863,2
133,1.86,145323.0,1277.26,6.736438823,18.12326283,1
134,1.54,132435.0,1166.53,6.989056354,17.89874834,1
135,2.4,245221.0,1861.38,3.608922371,15.33699226,2
136,2.45,255148.0,2343.14,5.180231522,16.20007387,2
137,1.53,343447.0,3582.08,5.548696221,16.96199773,1
138,0.83,313163.0,2221.21,6.679202374,16.82321849,1
139,1.44,233340.0,1863.5,6.267093596,17.11601272,1
140,1.78,261378.0,2977.26,5.46391385,16.65906052,1
141,1.89,149105.0,1032.24,6.570191871,17.71061,1
142,1.96,327361.0,3602.57,5.768310921,17.01823964,1
143,1.01,373986.0,2960.7,5.957483489,15.83661765,1
144,1.72,260353.0,1858.14,6.581501267,16.03022419,1
145,1.88,263526.0,2717.6,6.09332352,16.90845705,1
146,1.86,245999.0,2782.69,5.64933809,16.96330799,2
147,2.1,136307.0,1171.88,7.27256739,17.62419649,2
148,0.98,262581.0,3404.59,6.136652089,15.60621943,1
149,0.93,253994.0,3514.11,6.510833951,18.65355894,1
150,2.23,248670.0,1912.61,6.158706546,16.01033685,2
151,1.13,270910.0,2901.42,6.383603032,17.48158516,0
152,3.25,172822.0,1212.97,4.569483923,15.41981586,2
153,1.74,250212.0,2990.43,5.254292045,15.50239587,1
154,1.57,280656.0,2215.12,5.48124909,16.6476013,1
155,2.68,105459.0,1018.05,6.264483287,15.74430331,2
156,1.53,354512.0,3230.54,6.286834227,16.69412812,1
157,1.87,344169.0,2446.43,5.833400496,17.19440738,1
158,1.59,132114.0,1000.14,5.861038073,15.60138525,2
159,1.13,280081.0,2258.69,6.807981331,18.3195851,0
160,2.73,265228.0,1438.0,6.209189048,16.21065267,2
161,0.55,281144.0,2209.85,6.39584753,17.68208487,0
162,1.88,279818.0,1969.05,6.850843678,16.97432976,1
163,1.19,121424.0,972.66,6.403503082,17.14911778,1
164,2.91,152339.0,1378.25,4.544747849,16.03983753,1
165,1.63,235835.0,1090.9,6.203226331,17.01593095,1
166,1.52,291546.0,2683.62,6.127885385,16.96000201,1
167,1.89,148392.0,1390.96,5.646420111,17.03113755,1
168,0.75,378855.0,3832.34,6.586869051,16.79317318,0
169,1.36,285529.0,3062.24,5.128618425,16.27036778,0
170,1.88,144756.0,620.61,6.168306319,17.92719298,1
