,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.4,160996.0,1510.12,4.091176032,16.67817026
1,1.66,141361.0,868.42,1.703887829,13.334186
2,1.03,378889.0,2109.67,2.972444699,14.44889078
3,1.04,258553.0,1344.86,1.629617111,13.49516916
4,1.39,131038.0,697.6,1.390006456,13.34713505
5,1.61,370195.0,2270.63,2.360415255,15.56570792
6,1.63,132204.0,1129.06,3.071971879,15.25919228
7,2.24,365763.0,1833.57,1.388873431,13.34316682
8,1.42,376489.0,2325.28,1.511249878,13.237002
9,1.27,154544.0,1102.0,4.165774163,17.25595906
10,1.09,132706.0,1367.98,2.647638205,15.52136899
11,0.95,151267.0,1166.82,4.245136005,17.1967908
12,2.3,255787.0,1557.24,1.600621321,13.79393533
13,1.92,362956.0,2534.36,2.866654741,15.22228663
14,2.0,141447.0,866.17,3.898980765,16.13343481
15,0.79,155849.0,1203.0,3.451345945,15.80592632
16,1.34,370232.0,2543.28,3.204853632,16.10213212
17,1.31,146985.0,973.33,3.114725065,16.14477927
18,1.48,249060.0,1811.09,2.465676871,15.53904878
19,1.89,347037.0,1611.26,1.504017965,13.68890631
20,1.25,268476.0,1783.1,1.822718104,13.64282487
21,2.21,135171.0,714.84,2.801475797,15.58104183
22,1.01,364218.0,2460.51,1.872775465,13.41079557
23,2.26,141570.0,1474.91,2.20269258,15.98701229
24,1.53,366446.0,1748.96,1.583852508,13.7652704
25,1.43,142601.0,1427.76,1.815322731,13.46045183
26,1.81,373539.0,2240.08,3.050772298,15.56047108
27,1.48,150315.0,1427.02,2.971930189,16.14949922
28,1.0,382653.0,2670.66,1.829962527,15.39877909
29,0.57,368588.0,2047.51,1.529074354,15.26812555
30,1.84,361243.0,2288.53,1.961616273,15.03680526
31,2.2,227164.0,1397.41,2.659832694,15.28201637
32,0.62,389677.0,2246.19,4.670294382,16.93971933
33,1.58,357632.0,2424.29,0.781807635,12.84461254
34,0.49,379267.0,2195.47,1.544639166,13.53995666
35,2.44,360241.0,2015.68,2.059360918,14.16420195
36,1.06,167021.0,979.11,4.658824778,16.74579421
37,1.14,267266.0,1575.38,3.112952522,15.21689583
38,2.37,135846.0,892.46,2.992744983,14.00767399
39,1.07,361856.0,2120.21,1.9795643,13.54742306
40,2.14,144897.0,705.01,3.05948309,15.99734448
41,1.95,250050.0,1571.0,2.193602218,15.00232517
42,1.28,139782.0,809.0,1.766275038,14.75124804
43,1.25,158154.0,735.16,3.007640274,17.07659749
44,1.81,377253.0,2500.54,2.109263873,15.15054244
45,1.63,351868.0,2100.03,2.606327665,15.23184596
46,1.52,128789.0,714.8,1.98438255,13.73696429
47,1.46,259005.0,1833.07,3.857351627,16.65138164
48,1.86,248303.0,1220.67,1.714613194,15.05434894
49,0.81,383049.0,1765.93,3.367254297,16.04030413
50,1.24,170870.0,1200.88,4.352686108,16.70180668
51,1.01,141409.0,666.37,1.2628127,13.873935
52,1.43,254561.0,1758.54,2.197036381,15.37301923
53,0.95,361331.0,2453.08,2.890558038,15.10158655
54,0.84,184495.0,1464.57,4.78729214,17.38418316
55,0.46,269750.0,2116.28,3.533344571,16.41410791
56,2.29,248552.0,1938.24,3.330351256,15.78361679
57,0.83,157627.0,1014.03,4.93924406,16.31290066
58,1.47,254082.0,1855.26,3.980597568,16.36757955
59,1.55,137374.0,586.86,1.710673652,13.84280267
60,1.22,136615.0,776.79,1.345292584,14.84108854
61,1.03,372167.0,1941.04,1.36069096,14.74893845
62,2.06,121100.0,1301.11,2.558654973,15.44920128
63,1.11,153808.0,1193.69,3.745637752,15.928807
64,2.68,359740.0,2231.22,2.358384003,15.29664411
65,1.08,152624.0,1012.69,2.489785227,15.21264752
66,0.92,363685.0,1724.2,1.27694618,13.40169412
67,2.19,365050.0,2485.67,3.086018853,15.38092787
68,1.02,270084.0,1939.79,4.789168936,16.79761727
69,1.0,157612.0,1236.9,3.708650266,16.28811297
70,6.29,131753.0,1650.24,2.058436653,13.88449833
71,1.3,376845.0,2323.66,2.161402258,16.0060113
72,0.64,273506.0,1881.11,4.076496942,16.30188505
73,0.81,266062.0,1859.8,3.247375039,15.59257408
74,1.65,250866.0,1879.77,3.138236552,15.21146372
75,1.22,140633.0,641.79,2.23128846,15.05176752
76,1.49,263287.0,1515.07,3.666361946,15.93439077
77,1.39,370031.0,2263.89,3.063867758,15.13597825
78,1.56,394182.0,2459.8,3.095123562,16.32827923
79,1.17,151561.0,586.86,2.957002599,16.05318022
