,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.31,351,156365.0,1490.32,5.277129649,16.44727539
1,0.93,1137,354608.0,1959.12,0.041334545,11.65155071
2,0.81,832,250424.0,1934.97,1.907649776,15.05754887
3,1.07,460,146577.0,756.05,3.792884734,16.11041848
4,0.43,341,144158.0,622.35,4.027359254,15.88576776
5,0.88,1217,376107.0,2324.31,1.74508579,15.54971195
6,1.51,314,135956.0,1239.0,4.495350123,16.06762454
7,1.84,793,252282.0,1974.05,6.432004534,17.04885718
8,3.32,759,238392.0,1968.54,4.732116272,15.72886483
9,2.88,391,137261.0,1781.72,6.798872418,17.24927764
10,0.86,1141,363075.0,3878.41,5.258751795,16.03971365
11,1.49,378,233202.0,1345.71,4.1150979,15.75860519
12,0.78,838,278047.0,2104.49,5.762260563,16.74976053
13,2.31,769,236253.0,1605.64,0.86831291,13.94985966
14,0.79,1144,364560.0,3475.54,5.408925055,17.14237824
15,0.71,854,383873.0,1712.93,1.693893796,12.87185813
16,1.85,772,248605.0,1171.7,1.91092999,14.07718936
17,1.79,797,256290.0,2481.47,6.199462216,17.22014986
18,0.85,1161,357661.0,3867.65,6.88758302,16.97098959
19,0.68,824,288468.0,2430.35,3.956012329,15.42781764
20,0.65,1146,369686.0,1854.9,2.01095782,15.4620821
21,1.08,1192,378235.0,2390.87,1.492192356,13.5887648
22,2.3,412,238929.0,2111.33,5.47198621,15.96829277
23,2.15,791,259046.0,1710.83,5.232204597,15.9592925
24,3.2,419,131628.0,1790.26,4.450888098,16.44005039
25,1.13,1134,333813.0,3540.69,6.288253269,16.90257937
26,1.77,417,132567.0,1049.4,6.434422253,17.29910975
27,0.27,1184,373443.0,2123.06,0.732100441,12.51542913
28,0.66,436,153802.0,856.91,2.513931456,16.68437472
29,2.21,723,214187.0,1655.01,4.923930661,15.7070403
30,0.63,874,392592.0,2394.7,3.652623769,17.4155637
31,0.44,785,244454.0,1278.03,1.998989201,13.82758989
32,0.81,1222,381931.0,2370.5,1.831708359,12.86123716
33,0.91,1169,368009.0,3722.71,6.792849867,17.15924846
34,0.87,509,148602.0,1548.14,7.048468254,17.92126601
35,1.59,442,116534.0,777.96,5.244172265,17.3592824
36,1.97,432,134295.0,818.3,4.489344242,16.39212767
37,1.61,820,263637.0,2213.06,5.091798421,16.48058174
38,1.81,437,138455.0,1677.64,7.122672974,17.66908288
39,1.53,821,363283.0,3612.0,6.375417915,17.2694738
40,0.76,1111,344948.0,3479.76,6.333267789,16.71573985
41,1.25,390,138022.0,760.31,2.902621211,15.68538935
42,1.98,478,141376.0,1714.74,6.042756669,17.6422667
43,1.86,763,232504.0,1250.14,0.908219555,15.0632774
44,2.16,379,115301.0,1094.42,2.066644744,15.73612003
45,1.77,1122,347451.0,1788.6,1.711768792,12.81909817
46,2.7,807,348940.0,2048.46,3.965956459,15.54544498
47,1.77,454,153619.0,746.39,4.744733127,16.66425378
48,1.35,1173,372477.0,2092.02,1.040871255,13.01711677
49,1.8,800,241389.0,1927.87,4.496206277,16.45017765
50,0.79,375,137863.0,1415.55,3.175432504,15.40258332
51,1.35,808,250008.0,1200.69,1.798726397,13.76639894
52,1.78,462,141871.0,1753.05,6.01416631,16.5703228
53,1.68,1205,377664.0,3343.52,6.637424985,17.06902714
54,2.81,337,133207.0,671.48,4.929130201,16.41083824
55,0.64,745,234756.0,1194.41,0.275660045,11.82647115
56,0.96,1172,363395.0,2091.13,2.416214385,15.8908886
57,1.13,470,158624.0,1332.15,8.468480903,18.7696839
58,1.13,1186,374875.0,3476.04,2.19070783,15.36253795
59,0.73,415,133906.0,679.95,4.651324085,15.67008773
60,1.22,1157,367801.0,4145.09,4.76038506,15.30600711
61,1.18,412,134534.0,785.44,4.171888546,15.41832362
62,0.9,1087,199840.0,2885.63,4.531691596,16.04134912
63,1.87,1154,355105.0,2663.45,5.05829264,15.24420978
64,2.62,286,120355.0,1338.58,3.70351274,15.75613051
65,2.68,757,236297.0,1385.29,1.240004102,13.32766537
66,1.0,493,159514.0,775.95,6.058038015,16.92706248
67,1.36,1162,372820.0,1949.96,1.604888831,15.45868869
68,0.57,1197,382603.0,3479.5,5.355730016,15.66607602
69,0.98,1200,378596.0,2000.25,1.68580269,13.27393511
70,2.11,448,138765.0,838.5,2.933556922,15.88775199
71,0.95,1169,364502.0,3329.29,4.594180998,15.88907475
72,2.67,423,123531.0,1958.36,6.028673262,17.19915836
73,2.73,368,137549.0,851.67,5.443291471,16.26160972
74,0.74,1137,363205.0,3610.91,5.195645012,15.55006979
75,1.29,850,270950.0,2201.87,7.037772995,17.34366894
76,2.31,1161,355744.0,3225.63,6.460419015,17.31130542
77,1.08,1211,369827.0,1820.88,1.884020677,13.13339495
78,2.1,291,118736.0,904.62,3.930008366,16.00896706
79,2.18,435,138495.0,1362.6,5.310999591,16.58831214
80,1.06,1147,353670.0,1992.88,2.325425258,15.35534242
81,0.63,447,142333.0,709.39,1.22409381,14.79904886
82,1.2,768,288538.0,1627.82,0.649550842,14.59500005
83,2.59,707,213564.0,2090.01,6.024229127,16.40330462
84,2.61,759,249805.0,1955.77,4.320227569,15.57657172
85,2.24,782,238224.0,1657.87,4.670186608,15.71450274
86,1.85,393,121443.0,1427.94,6.355757706,17.57166582
87,3.2,315,126662.0,1308.23,5.454761311,16.39982688
88,2.69,725,154007.0,1350.3,1.733279353,12.28540293
