,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.7,463,149749.0,784.0,2.603404989,15.68823466
1,0.67,832,255757.0,1346.94,1.7862038,15.14169624
2,1.55,460,157323.0,1478.61,6.400189968,16.70268196
3,1.78,462,144652.0,1358.39,5.939238441,17.05588357
4,2.75,1158,364343.0,2437.83,1.1389617,12.65754962
5,0.63,488,268325.0,906.65,1.960422569,13.37671108
6,2.06,767,250345.0,1994.7,6.038855158,16.23684063
7,1.98,769,239907.0,2491.68,6.269497138,18.08010091
8,1.78,416,137304.0,1064.81,1.473072592,13.65890821
9,0.72,519,272292.0,1519.31,6.618858503,17.89606416
10,0.79,1188,381665.0,2907.05,6.041276995,16.63362895
11,2.44,403,115766.0,1147.61,5.622247372,16.67362625
12,2.23,1144,362825.0,2933.26,1.472474018,12.7773505
13,0.63,1180,379333.0,1606.73,1.04974538,12.37683786
14,1.76,1179,372270.0,2928.26,1.486013867,15.19963357
15,1.33,771,240882.0,1606.34,0.745032864,13.10867802
16,2.58,721,217663.0,2070.83,3.603891977,14.11706173
17,2.49,1139,364402.0,2889.07,5.944063195,16.05860845
18,1.17,784,244427.0,821.85,0.956198585,14.25809638
19,1.0,440,128529.0,1055.79,6.897531663,17.59323373
20,1.93,821,261276.0,1866.84,6.603513431,17.49462708
21,1.24,860,274656.0,2200.36,6.742047577,17.73608238
22,1.73,1154,366155.0,1579.7,1.19876608,13.86779114
23,1.41,843,250539.0,1346.69,2.171907893,16.43047408
24,0.96,1169,426358.0,2095.99,1.408341621,13.26355422
25,0.79,451,149594.0,1186.19,4.355933712,16.35955921
26,1.93,1134,338274.0,1944.61,1.659967379,15.21012002
27,3.03,797,234626.0,2433.6,7.187107757,18.020248
28,1.49,830,261086.0,1864.45,1.992637817,15.9876971
29,0.44,1167,448420.0,3870.92,3.127890399,13.39070248
30,2.5,775,341742.0,2290.56,5.612397697,16.36973268
31,1.82,772,233181.0,2768.31,7.02592679,17.77642303
32,1.17,1128,402969.0,3163.37,2.643277635,15.38674734
33,1.84,409,133889.0,1057.95,1.554572211,15.29693468
34,1.68,1182,412837.0,2380.05,1.827331588,15.43282433
35,1.67,832,252881.0,3826.75,5.625685557,17.40637307
36,1.76,368,116206.0,1560.92,5.379806413,15.60051569
37,1.37,737,250880.0,2273.12,5.156583109,16.42766739
38,1.34,843,273836.0,2566.73,4.779590166,16.32388564
39,2.27,406,123747.0,882.66,4.42772002,16.73816575
40,1.55,366,115675.0,689.06,1.366005939,15.20726342
41,2.32,777,251382.0,1914.22,1.991468223,16.16659394
42,1.23,1133,362723.0,2993.29,6.346231546,17.12550103
43,1.84,444,142649.0,1392.8,5.631247315,16.04003181
44,1.66,459,153791.0,1556.1,3.915362638,16.88960513
45,1.35,435,145547.0,820.74,5.396366064,17.27792294
46,1.17,416,108641.0,764.79,2.28420983,15.01308689
47,2.29,433,142655.0,2182.77,7.222493741,17.28634397
48,0.92,807,250840.0,1404.82,1.939884261,12.09604804
49,2.54,1101,362799.0,2915.03,5.574064663,16.13400089
50,0.79,1163,375335.0,3721.11,4.637350725,16.71988919
51,1.3,1197,377234.0,3481.49,6.709661069,17.1004045
52,0.68,860,272162.0,2261.6,6.267240682,17.05937907
53,0.66,1183,375370.0,3546.96,4.737232753,17.00747694
54,0.93,1177,366020.0,3759.91,4.311873396,16.1865911
55,0.54,845,270049.0,1676.02,2.217806756,14.43215385
56,1.68,1082,258565.0,3604.48,5.352920739,16.31568279
57,2.37,777,243027.0,1534.54,3.782448652,16.11081412
58,2.04,394,116804.0,1504.12,6.688499249,18.41481739
59,1.21,838,382390.0,3890.32,6.967300217,17.03337421
60,0.78,485,267718.0,1393.62,1.17028958,13.36428311
61,1.69,787,245741.0,1367.89,2.169719291,13.84511231
62,1.07,424,130801.0,1285.48,1.266453504,13.90229678
63,1.78,832,394324.0,2500.47,3.674913592,16.34501356
64,1.0,1181,454410.0,3823.74,1.507167862,13.77832874
65,3.2,459,135082.0,1396.07,6.484339193,17.14289052
66,1.15,1231,466092.0,3153.97,6.61742704,17.66267914
67,0.38,807,252201.0,1115.21,1.138641258,12.84761807
68,0.52,872,273634.0,2261.72,4.715131802,16.44042625
69,1.75,449,152714.0,1508.06,5.91509628,17.20569426
70,0.49,843,262419.0,1451.01,2.521153381,13.75994552
71,2.18,1103,337363.0,2934.65,4.931174779,16.07050488
72,1.59,846,267662.0,1533.44,5.507052056,16.39218487
73,1.34,420,125925.0,679.62,0.921262959,12.49005566
74,0.93,462,132546.0,1186.72,4.95319366,16.98703427
75,1.17,463,144116.0,649.61,2.709935483,14.77574454
76,1.74,1056,345779.0,3167.0,4.255676712,16.42418574
77,1.29,827,281457.0,2677.34,6.421121721,16.99525273
78,2.0,805,263648.0,2354.77,5.841399564,17.29637519
79,1.45,420,126723.0,644.27,1.576766288,15.4725745
80,1.16,1117,236152.0,2918.3,6.674646235,16.99916327
81,1.06,1142,353040.0,3782.05,5.992371055,17.23046407
82,1.01,1176,381695.0,1794.58,2.67340515,15.78876172
83,0.5,522,174779.0,1306.55,4.541411212,16.86899845
84,0.58,478,158541.0,670.67,2.101646703,15.9424093
85,3.21,762,247117.0,2646.21,4.085141096,15.38090104
86,1.99,409,127996.0,632.16,4.080299201,16.09842821
87,2.62,396,137286.0,1747.07,6.510497979,16.42878165
88,2.7,1098,311436.0,2365.17,2.065423135,15.60740402
89,3.04,1131,356662.0,3316.72,4.728751378,16.46699903
90,1.03,1016,107777.0,3468.69,4.887206254,16.05837351
91,1.31,1137,356671.0,3561.85,5.37637995,16.69068252
92,1.73,449,134343.0,947.44,1.347053268,12.96371468
93,1.88,429,138809.0,737.61,3.176040914,15.05398294
94,2.66,764,245854.0,1779.36,1.43745941,15.36021269
95,1.69,805,265410.0,2278.84,6.033916204,16.71640735
96,0.42,824,253052.0,1206.23,2.139688102,13.57833022
97,2.05,767,244566.0,1779.89,2.808312747,16.30688105
98,1.36,434,140391.0,1684.22,6.91301032,18.751025
99,0.72,1160,388345.0,3040.07,1.494861008,15.51321537
100,2.17,343,105606.0,1221.32,5.291087693,15.44840521
101,1.46,459,155090.0,2183.0,5.921789886,17.34226794
102,1.44,790,252892.0,1732.8,1.925585598,14.4587023
103,1.34,757,188921.0,3576.78,6.724904061,17.50301586
104,0.84,861,276438.0,2914.71,1.888399824,14.04380595
105,1.14,1154,358176.0,2738.56,1.163487238,13.15801913
106,1.59,378,129953.0,1322.37,6.662421925,17.70099689
107,1.15,1200,381139.0,1882.84,1.455080708,14.50988323
108,2.02,359,157665.0,1833.67,6.737915683,16.82542812
109,2.23,803,362983.0,3413.94,6.034343759,18.0235564
110,2.74,755,238927.0,2328.44,4.982910811,16.35613728
111,1.67,796,248030.0,2213.61,5.701753267,16.78540967
112,1.65,763,245113.0,1562.44,1.795176374,14.73664791
113,3.1,1142,354470.0,1619.43,1.752570191,12.99705394
114,2.4,996,360089.0,3619.09,4.636756518,15.94821273
115,1.38,820,258331.0,1691.53,5.674071677,17.11103767
116,1.58,830,254169.0,1498.94,5.527255023,16.75001495
117,2.56,739,226781.0,1961.56,4.344297563,15.91783506
118,1.44,453,137461.0,1127.44,7.025735774,17.91969003
119,2.01,409,134036.0,2094.15,6.113697281,16.99966834
120,1.82,783,245200.0,1354.87,0.942343706,11.90138313
121,2.3,419,136677.0,1330.95,6.639681503,17.1026507
122,0.8,469,159181.0,721.45,3.886770193,16.36715236
123,2.74,1100,348037.0,2258.44,0.426735322,12.88110922
124,0.77,1161,353714.0,3779.67,5.828887257,17.16462842
125,1.73,437,253363.0,980.51,1.32415948,13.96806049
126,0.75,823,252901.0,1359.22,1.703637252,13.4815672
127,0.78,839,370702.0,1873.74,2.71813478,15.36419058
128,2.48,784,241648.0,2601.83,6.578781182,17.10721891
129,1.77,452,153107.0,1060.82,4.877786412,15.56440465
130,1.27,400,118355.0,712.77,1.392624804,13.74164486
131,0.7,835,270400.0,2076.96,3.296079343,15.27584213
132,0.5,509,171218.0,1832.1,6.224805352,17.44880387
133,2.19,419,135596.0,1216.55,6.709333459,16.82646042
134,1.1,436,143044.0,1270.36,2.376456492,14.18959685
135,1.85,389,122551.0,696.2,1.981323455,15.4097214
136,0.75,862,268422.0,2461.73,4.237436901,14.57449092
137,3.06,742,240745.0,2040.98,3.306538175,15.71436077
138,2.8,800,245847.0,1779.21,4.736787356,17.00801246
139,1.28,794,240087.0,2071.12,6.565655037,17.15355638
140,1.19,817,255499.0,1242.48,1.525293218,13.52427639
141,1.21,1052,209219.0,3642.92,5.08569863,15.93226114
142,2.26,792,238565.0,2268.39,5.797936771,17.44298168
143,0.73,483,166469.0,1076.52,3.536136184,16.65167367
144,0.44,406,131705.0,586.86,0.658079989,13.22453829
145,1.51,705,223512.0,991.59,1.518279493,12.70469042
146,1.89,818,256174.0,2408.03,4.917459222,16.83814922
147,3.12,807,239375.0,2425.53,5.335109263,15.33105024
148,2.04,382,122514.0,820.7,5.362423364,16.52950292
149,0.61,497,162725.0,1331.55,3.704111798,16.38773272
150,1.6,437,124749.0,1595.78,5.783553367,16.68747745
151,0.63,1165,412124.0,3688.12,2.168657048,15.66270874
152,1.84,839,267239.0,3059.21,5.638197432,16.31986293
153,1.17,1209,378623.0,2119.25,1.840276655,14.98153679
154,1.97,1146,345649.0,3678.41,5.597670176,16.56936592
155,1.85,806,251917.0,2979.8,6.338772872,17.23345087
156,0.62,1153,366654.0,3631.56,4.58650971,15.56433178
157,1.25,743,240493.0,1415.18,1.330564279,13.03230439
158,1.14,435,141572.0,1003.78,5.466788724,16.7588678
159,2.03,437,141566.0,805.0,2.856258282,15.37012002
160,1.76,789,131070.0,1872.11,4.564664587,15.29414209
161,0.88,464,162222.0,1282.69,3.575022514,16.36366553
162,1.18,771,244944.0,1318.1,1.376100826,13.31664663
163,2.1,418,128990.0,705.92,1.592930855,15.02287026
164,2.86,409,136063.0,682.59,4.26303118,16.77901499
165,0.9,840,392062.0,3012.22,5.958521347,17.22286655
166,1.08,399,132305.0,606.1,5.777780621,17.38389799
167,1.11,822,375431.0,3189.58,5.698292294,16.58501576
168,1.4,839,264056.0,1819.26,1.929179603,15.8955287
169,2.79,756,233066.0,1408.28,1.47999708,13.66031512
170,1.45,760,230693.0,1360.95,0.178842386,12.17398045
171,2.61,804,251927.0,3250.91,6.587319057,17.07001323
172,1.56,816,261755.0,1697.16,4.628819415,15.82958824
173,2.0,791,237430.0,2257.23,6.328787844,17.16887465
174,1.24,765,233100.0,1239.97,1.931240367,13.15464875
175,1.7,792,258620.0,2015.77,1.319553267,15.02710429
176,1.93,424,145100.0,818.06,4.371961414,15.13775861
177,0.7,817,253433.0,1490.57,3.410277656,14.39983624
178,1.99,449,136777.0,1033.0,3.740707926,15.66128983
179,1.1,438,150114.0,731.78,2.272968172,15.82494778
180,2.28,1062,344801.0,2651.99,3.697650102,14.90550016
181,1.25,1162,361164.0,3378.02,6.69120794,17.54108024
182,1.21,432,136269.0,707.34,2.971630683,15.96724822
183,0.67,1153,403760.0,3113.36,1.972681859,15.36929994
184,1.13,1224,469473.0,2120.28,1.708783242,13.74942847
185,1.62,857,279559.0,2580.9,5.638893946,16.81578693
186,0.82,1199,462774.0,3916.89,5.169054218,15.93824205
