,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.74,393175.0,2522.49,4.350633936,16.87478489
1,1.46,134808.0,1074.97,6.329906706,17.28869276
2,1.79,265942.0,2854.33,6.491227458,17.09915041
3,0.85,151087.0,1657.53,4.016294711,16.31926028
4,1.42,255138.0,1325.0,3.086995629,13.95829587
5,0.83,133169.0,780.09,6.134414641,17.40536952
6,2.01,261099.0,2048.67,3.88815264,16.36203734
7,1.62,379674.0,2415.54,3.618299201,15.62405349
8,2.33,123527.0,1466.39,3.678153445,14.78432879
9,1.97,259999.0,2277.93,4.150450505,15.73519576
10,0.44,184817.0,688.72,4.940112173,17.37560121
11,1.66,275724.0,2458.39,4.982595486,16.99775799
12,1.59,247620.0,1898.69,2.221313862,13.61906522
13,1.21,261630.0,1088.83,2.427494239,13.93708141
14,1.23,366963.0,3113.03,6.299811402,16.99587375
15,1.17,258385.0,2308.63,6.519540156,16.9343079
16,1.13,369519.0,2360.48,0.68155304,12.66415125
17,1.91,145109.0,2316.51,7.321804816,16.83787267
18,1.71,254760.0,2113.09,2.50191486,13.51140266
19,1.6,340009.0,1817.52,1.0962064,12.39336967
20,0.88,246688.0,3213.59,6.389633908,17.6988116
21,0.88,273227.0,2504.9,4.479911675,16.24293998
22,2.31,237423.0,2073.99,3.342859139,15.48377641
23,1.18,364100.0,3542.43,4.51796403,16.37238459
24,1.77,243524.0,2519.62,6.280551309,17.70582857
25,0.65,153679.0,1041.13,3.705000114,17.03170494
26,2.5,355023.0,2678.83,5.833369198,16.55814914
27,0.96,370926.0,1761.1,2.141276887,12.92757769
28,1.77,250333.0,1252.52,1.593443718,12.9676886
29,0.71,356544.0,2086.85,2.168447539,13.68296606
30,0.71,152276.0,867.73,3.226097106,15.99802393
31,1.8,150421.0,1865.28,6.467637759,17.60809624
32,1.78,363287.0,2288.84,5.141149895,15.96548668
33,1.33,260605.0,3463.5,6.358793331,16.90518421
34,0.82,376528.0,2583.64,6.523664177,16.70412317
35,1.6,142382.0,2052.92,5.360726549,17.89204436
36,1.51,251445.0,1985.19,6.205615401,16.96270847
37,1.03,254917.0,1986.9,4.211199718,16.51454096
38,0.86,344879.0,4028.61,5.918005472,16.75092835
39,1.51,144571.0,1809.91,6.985334882,18.44847354
40,0.48,267722.0,1847.79,3.522836971,15.4627679
41,1.15,362865.0,2626.76,6.10331202,17.31340116
42,0.71,382466.0,3781.25,6.018673154,16.59192122
43,0.66,171405.0,972.66,2.865855399,14.85388729
