,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.01,143051.0,1164.39,2.968607301,15.72538694
1,2.07,149060.0,1010.64,3.136580201,16.1270575
2,1.53,365809.0,2276.08,1.509962196,13.57261913
3,0.57,393127.0,1925.68,3.700198062,16.5164971
4,0.5,275098.0,1268.73,4.403622443,16.30623606
5,1.6,143150.0,1193.09,2.90845482,15.65442835
6,1.38,255349.0,1823.96,3.715906418,15.9123981
7,2.2,242806.0,1399.38,2.280602606,15.46718084
8,0.77,397602.0,2378.0,4.788373223,16.81704405
9,0.71,382665.0,2153.17,3.263363395,15.9270267
10,2.13,244900.0,934.91,1.942551764,13.47609672
11,0.81,153526.0,673.96,2.941707872,16.14462484
12,0.56,165034.0,1232.23,4.067686971,16.79895424
13,1.39,355258.0,1830.0,1.320492554,13.36957669
14,1.31,243114.0,1436.36,0.718845629,13.14306491
15,1.35,140282.0,869.88,3.079761381,16.45787854
16,2.02,360161.0,1863.19,2.75975312,15.49924572
17,0.69,171547.0,1917.88,4.109095045,16.50950698
18,1.93,134227.0,988.34,3.074423014,15.47008024
19,1.68,361414.0,2308.36,1.402438789,13.26067692
20,1.54,144070.0,643.63,3.092258743,15.37239539
21,1.75,238981.0,1279.15,2.545086784,15.47176159
22,1.33,140914.0,915.97,3.20860612,14.74393438
23,1.69,362266.0,1771.49,1.678742516,14.92350437
24,1.81,356707.0,2488.45,0.819931364,12.79952372
25,1.34,251154.0,1398.18,1.748217481,14.42933892
26,0.9,266759.0,1501.72,3.364340345,15.69125267
27,1.44,272933.0,1860.86,3.726947502,15.97603777
28,0.45,250833.0,1389.69,1.600841276,13.5081372
29,1.23,384485.0,2311.24,2.082940865,14.50081803
30,0.78,381371.0,2725.13,2.986941241,15.32037297
31,1.63,150450.0,772.42,4.549552234,16.46979043
32,1.45,144272.0,904.63,4.287128533,16.01954303
33,1.92,133655.0,1174.4,2.894995807,15.79036135
34,1.25,137669.0,876.78,3.912561099,16.63187952
35,0.81,260666.0,1507.92,3.685757339,15.71565409
36,0.87,155634.0,1403.28,3.60528006,16.08276935
37,0.87,157552.0,988.93,4.327176882,16.89513019
38,1.1,257890.0,1031.36,2.798884263,14.99241582
39,1.08,166271.0,901.86,3.740508147,17.65983318
40,1.86,135148.0,1084.98,2.884809911,15.63386323
41,1.18,368062.0,2291.98,2.151402832,14.25995454
42,1.49,370404.0,2217.98,2.020741561,13.84615253
43,1.47,373702.0,1916.86,1.502173001,13.74860901
44,1.53,133112.0,684.25,2.906303837,15.58312006
45,1.65,243463.0,813.71,2.177350618,15.4538353
46,1.01,366249.0,2380.7,1.542483689,13.36245316
47,2.09,243946.0,1461.17,1.696947416,13.33789776
48,1.43,359451.0,1832.55,1.064258943,13.39098275
49,1.36,343541.0,1827.43,1.529725471,12.66366538
50,1.52,248717.0,1833.1,2.707041444,13.96053345
51,2.23,125626.0,783.45,2.797555809,14.9335817
52,2.02,366612.0,2236.47,1.793861312,15.54059083
53,2.1,121551.0,1234.07,2.111297939,14.87613505
54,1.69,238224.0,1313.89,1.74864231,13.72930501
55,1.29,373341.0,1821.25,1.57326619,13.40773567
56,1.23,378794.0,1813.65,3.000263884,15.37084501
57,1.68,144173.0,771.53,4.238666997,17.32705023
58,1.8,265915.0,1383.24,3.214438823,16.15989411
59,0.72,168496.0,1211.36,3.95834254,16.62938021
60,1.44,356205.0,1821.83,1.635660387,13.13118691
61,1.15,384837.0,2397.33,3.532808003,15.80591603
62,0.93,264466.0,1690.46,3.756679805,16.43210672
63,0.14,284460.0,1860.53,4.400933891,16.99459863
64,0.95,129558.0,911.01,1.931813767,14.84364239
65,1.26,373622.0,2517.34,1.553416735,13.4669676
66,1.52,358293.0,1855.41,1.364812197,13.22580602
67,1.29,233181.0,1312.46,1.573468391,14.15913728
68,1.4,139389.0,980.76,3.074064307,16.11641779
69,1.1,264375.0,1279.06,3.324217655,15.85131529
70,2.09,244211.0,1830.62,1.96794384,15.57184121
71,0.79,273546.0,1892.75,4.651287432,16.816997
72,1.65,379597.0,1922.71,3.72544368,15.82598349
73,0.85,276737.0,1893.23,3.840125558,16.42217751
74,1.15,141988.0,1358.08,3.211930028,15.4857564
75,1.55,357304.0,1594.17,1.983977596,15.07061277
76,2.1,343655.0,2309.92,0.430050504,11.90636679
77,1.8,235414.0,1115.24,0.589828199,15.31611659
78,1.42,241972.0,1322.23,0.573837989,12.95677737
79,0.39,156062.0,1285.67,4.209857012,16.71505441
80,1.45,118560.0,1042.65,1.398668259,13.11827656
81,1.15,141407.0,1013.47,3.826969985,16.32732732
82,0.92,372118.0,2362.23,2.932975607,14.57190047
83,0.45,170956.0,890.96,4.676299076,17.65327947
84,0.79,154457.0,678.9,3.226150624,16.54940226
85,2.07,346395.0,1646.96,1.747367339,14.29708736
86,1.67,340508.0,1861.93,0.846086537,11.76030222
87,1.44,350962.0,2244.15,0.381628671,12.57534066
88,1.1,347085.0,1952.13,1.571317346,12.52133462
89,1.34,278080.0,1854.03,4.901715801,16.73409231
90,1.13,369034.0,2526.88,1.567310743,12.54259487
91,2.46,248033.0,1358.05,0.837803131,13.24703751
92,1.6,366439.0,1866.31,3.304120663,15.80227794
93,1.85,359372.0,1850.13,2.053501284,15.19492647
94,1.34,394070.0,2010.29,4.086737119,16.37225704
95,0.75,266951.0,1819.15,4.487760515,16.92138566
96,0.79,359928.0,2288.68,1.106316091,12.75723789
97,2.08,130860.0,892.77,2.768518253,15.61234251
98,1.18,257002.0,1681.22,2.772888913,15.32180705
99,2.2,350390.0,1842.29,1.670358163,13.39767901
100,1.32,148598.0,1139.61,3.220729985,15.82831073
101,2.11,345108.0,1881.14,1.734949583,13.55907961
102,2.17,241533.0,1247.72,1.721527291,15.41434599
103,1.75,241982.0,1516.08,1.621930061,13.3516977
104,1.46,354862.0,1871.62,1.671086647,13.58139301
105,0.38,172719.0,1165.5,4.376509039,17.06854644
106,1.66,144855.0,1153.48,3.79094429,16.02887681
107,1.69,246202.0,1277.35,1.686223309,13.74901384
108,1.52,371843.0,2491.29,2.919283509,15.25209276
109,0.99,272019.0,1772.36,3.332450773,15.87256052
110,2.07,140905.0,920.12,2.986182538,15.30647293
111,0.98,386917.0,2578.75,1.866504384,13.85081103
112,2.48,240435.0,967.33,1.907102646,13.00567434
113,1.47,144663.0,1066.07,3.577054565,15.82928827
114,1.52,378110.0,2369.65,2.161513034,14.0686662
115,0.57,382753.0,2324.85,1.946513512,15.75525379
116,0.89,272827.0,2110.84,3.740817,16.21680064
117,1.79,125737.0,708.48,1.882192496,13.32527544
118,1.7,236628.0,1300.23,0.81241778,12.21733129
119,1.64,151184.0,772.12,3.891973144,17.40314846
120,1.35,267873.0,1752.33,3.630593995,16.27501949
121,1.75,127048.0,719.3,2.780671044,15.54078055
122,1.58,147301.0,903.75,3.870339379,16.31764718
123,1.82,245224.0,1338.25,3.094522188,15.69482663
124,1.73,244801.0,1553.92,2.376894091,14.83908099
125,1.5,152519.0,1145.29,3.620601675,16.26906312
126,0.92,265472.0,1648.61,3.578045585,16.37676275
127,1.12,252671.0,928.67,1.990261389,14.59505025
128,1.88,232058.0,1525.02,1.108757168,12.5436935
129,1.12,249082.0,1487.33,0.850210425,13.3643522
130,1.65,142175.0,1016.77,3.594333518,16.81093824
131,1.9,372722.0,2533.5,1.928773923,13.55902136
132,1.5,267212.0,1247.04,3.422550535,15.9271154
133,1.44,147861.0,1051.64,3.229816276,16.51105506
134,1.48,146792.0,854.29,3.695235535,15.97546583
135,0.97,383657.0,1880.52,3.842887816,16.05264983
136,0.64,375660.0,2307.6,3.134525325,16.08955763
137,2.43,350309.0,2319.98,1.650796348,12.24177095
138,0.91,163719.0,775.28,3.967996777,16.210287
139,1.82,246286.0,1473.71,3.229698667,15.41911405
140,0.8,372883.0,1801.16,3.668608836,15.75140174
141,1.72,354311.0,1835.53,1.342833518,13.6614805
142,1.46,153984.0,799.52,3.167902033,16.09237218
143,0.77,150020.0,874.89,3.96663544,16.50385834
144,1.6,244420.0,1828.19,2.439232679,15.10765901
145,1.54,150687.0,724.79,3.723208024,16.60748397
146,1.53,245230.0,1416.26,1.486955328,12.76916082
147,1.11,278555.0,2119.81,4.593314896,17.06862079
148,1.45,144371.0,1040.84,2.81186699,15.28565452
149,1.53,143328.0,1050.71,3.653211022,15.76785462
150,2.73,128468.0,906.92,2.025631331,13.80226077
151,2.53,131852.0,1425.6,3.033889447,15.38715912
152,1.25,126438.0,705.66,1.928407145,15.36579309
153,1.04,366728.0,2142.14,1.60151262,12.54150232
154,2.2,116502.0,822.69,1.489935704,13.74636333
155,0.6,370131.0,2384.19,1.903307867,15.17459308
156,1.31,133083.0,754.27,2.870312701,16.08023701
157,1.54,366302.0,2064.6,1.163734235,12.97485843
158,0.47,274580.0,1748.39,3.586302535,16.62483586
159,1.03,364370.0,1906.61,1.496925798,13.08336391
160,0.79,391413.0,2798.88,2.151542762,15.52491661
161,1.31,134245.0,775.98,2.968200157,15.92781841
162,1.27,364031.0,1877.93,1.81953799,13.6404719
163,0.5,163063.0,876.91,3.777352645,16.21907016
164,1.62,128735.0,831.51,1.591469663,13.76051669
165,1.96,230535.0,1416.19,1.033308534,12.64968417
166,0.99,173323.0,1459.93,4.625935124,16.20218478
167,0.75,148314.0,762.85,3.4956573,15.81711488
168,0.87,356925.0,2101.54,1.467775942,15.21940466
169,1.18,131958.0,709.03,2.762682261,13.81528354
170,1.78,139554.0,805.78,2.937124029,15.87018214
171,0.1,264100.0,1034.73,3.358091196,15.98299308
172,1.48,136651.0,586.86,2.906992838,16.0908378
173,1.75,353252.0,1855.24,1.828764518,13.03246948
174,1.43,154064.0,726.04,4.672607864,16.3402691
175,2.35,144422.0,1179.36,3.012658857,15.32091506
176,0.88,365773.0,2346.06,1.203740718,12.78097293
177,1.68,247645.0,1743.92,1.585192757,14.79442519
178,1.2,271720.0,1895.32,4.267177649,16.73143013
179,1.48,267870.0,2145.15,2.91045317,15.6396729
